,title,time
0,[유가증권시장 공시] 한솔홀딩스 / GKL / TCC동양 등,2016-03-03 17:36:05
1,"[Hot-Line] ""GKL, 카지노 업황 회복 기대감↑""…목표가↑",2016-04-21 08:58:02
2,"GKL, 오는 10일 1분기 실적 발표",2016-05-04 16:03:05
3,"[Hot-Line] “GKL, 수익성 개선 가시화 단계 진입”…목표가↑",2016-05-11 07:39:07
4,"GKL to benefit from strong yen, pay high dividends",2016-06-29 15:26:05
5,"[Hot-Line] “GKL, 외국인 VIP 증가에 실적 양호”",2016-07-19 08:12:04
6,"GKL, 2분기 영업이익 314억원…전년 동기比 44.8%↑",2016-08-05 17:29:04
7,마카오 카지노경기 26개월만에 회복…파라다이스·GKL `들썩`,2016-09-02 16:04:04
8,"[Hot-Line] “GKL, 중국인 VIP 정체…내년 성장 동력 부재”",2016-11-07 08:45:07
9,"검찰, ‘최순실·안종범 장애인 펜싱팀 개입 의혹’ GKL 압수수색",2016-11-09 10:37:04
10,"""박 대통령, 장애인 펜싱팀 창단에 관여…GKL에 사실상 압력 행사""",2016-11-20 18:40:06
11,"김종 측 ""GKL 펜싱팀 창단, 대통령 지시…거부할 수 없었다""",2016-12-29 10:40:06
12,"[Hot-Line] GKL, 경쟁 심화 우려에 신저가",2017-01-11 09:31:04
13,"[Hot-Line] ""GKL, 4분기 영업익 기대치 웃돌듯""",2017-01-12 08:36:04
14,카지노 볕드는데 GKL 나홀로 찬바람,2017-02-07 17:37:03
15,"[Hot-Line] ""GKL, 올해 영업이익 22% 감소 전망""…목표가↓",2017-02-23 08:52:02
16,[동정] 이기우 그랜드코리아레저(GKL) 사장,2017-02-28 18:03:03
17,[포토] GKL 장학금 전달식,2017-03-05 18:49:02
18,"[Hot-Line] ""GKL, 올해 하반기부터 실적 개선 가능할 듯""",2017-05-26 08:49:03
19,외국인·기관 카지노 업종 중 GKL만 사들이는 이유는?,2017-07-26 15:54:55
20,"GKL, 우수 대학생에 장학금",2017-08-22 17:31:39
21,[유가증권시장 공시] SK케미칼 / GKL / 롯데칠성음료,2017-10-12 17:44:05
22,"[Hot-Line] GKL, 3분기 실적 기대감에 신고가 경신",2017-10-17 09:34:45
23,GKL·아모레G·오리온…목표가 추월한 사드株,2017-11-05 17:10:43
24,"2017 GKL문학번역상 수상자 발표, 한국문학의 세계화 기대",2017-11-21 14:51:29
25,[포토] GKL 글로벌 장학캠프,2018-01-11 17:22:12
26,"[Hot-Line] ""GKL, 4분기 실적 시장 기대치 밑돌 것…중국 관광객 ↓""",2018-01-25 08:39:31
27,"[Hot-Line] ""GKL, VIP 고객 감소 줄어 4분기 실적 부진""…목표가 ↓",2018-02-12 08:19:33
28,[유가증권시장 공시] 키위미디어그룹 / GKL,2018-08-07 17:33:11
29,[원포인트 투자 레슨] 사드보복 완화로 中관광객↑…파라다이스·GKL `반짝`,2018-09-28 04:03:35
30,"[Hot-Line] GKL, 4분기 실적 부진에 약세",2019-02-12 09:23:05
31,1300만원 골프접대 받은 GKL임직원,2019-10-10 17:50:25
32,코로나19에 파라다이스·GKL 카지노 2주간 문 닫는다,2020-03-23 18:35:02
33,"[Hot-Line] “GKL, 코로나19 안정화돼도 실적 회복 더딜 것""…투자의견 `보유` 하향",2020-04-10 08:41:04
34,카지노 양대산맥 파라다이스·GKL 정반대 행보 까닭이…,2020-04-22 10:23:03
35,"[줌인 이종목] GKL, 코로나 여파속 깜짝실적",2020-05-11 17:41:03
36,[단독] 카지노 터줏대감 GKL도 뚫렸다,2020-06-18 11:26:04
37,카지노에 돈 거는 개미…강원랜드·GKL 순매수상위,2020-07-07 17:20:02
38,"[Hot-Line] ""GKL, 코로나 정상화되도 대규모 외인 카지노 공급 부정적""",2020-08-11 08:36:03
39,[유가증권시장 공시] 아이에스동서 / 포스코케미칼 / GKL,2020-09-24 17:45:06
40,"[Hot-Line] ""GKL, 내년 3분기부터 점진적 실적 개선 전망""",2020-11-10 08:32:16
41,"[Hot-Line] ""GKL, 내년 하반기 실적 리바운드 기대 심리에 주가 상승 중""",2020-11-23 08:28:39
42,[유가증권시장 공시] GKL,2020-11-24 17:34:21
43,[인사] 그랜드코리아레저(GKL) / 안전성평가연구소 / 조선대학교,2021-05-25 17:17:02
