,title,time
0,LG생활건강 ‘후 공진향: 미 리미티드 에디션’ 출시,2016-01-05 14:09:19
1,"LG생활건강, ‘보닌 더 스타일’ 리뉴얼 출시",2016-01-14 09:31:09
2,"블락비 지코 측 LG생활건강 성토..""법적 대응""",2016-01-20 14:48:04
3,"LG생활건강 ‘후’, 가로수길 플래그십 스토어 확장 오픈",2016-02-04 16:11:13
4,"LG생활건강, 백종원 모델로 한 `Mr.홈스타 싱크대 배수관 클리너` 출시",2016-02-14 14:23:03
5,"[Beauty] LG생활건강 `숨37`, `자체발광 피부`의 비결",2016-02-16 04:04:03
6,"LG생활건강, 중학교 대상 ‘빌려쓰는 지구스쿨’ 과목 개설",2016-03-15 14:18:04
7,"LG생활건강, 후·숨·리엔…럭셔리 브랜드 승승장구",2016-03-24 04:03:02
8,"LG생활건강 `숨37`, 피부 바꾸는 자연발효 화장품…유커 ""한국가면 꼭 구매 품목""",2016-03-31 04:02:03
9,"LG생활건강, 형광증백제 뺀 표백제 ‘테크 산소크린’ 출시",2016-04-27 09:34:03
10,"[Hot-Line] LG생활건강, 1분기 실적 호조에 장중 최고가",2016-05-09 09:59:12
11,"LG생활건강, 온라인 전용 브랜드 ‘오센틱’ 론칭",2016-05-16 10:59:05
12,"LG생활건강 ‘비욘드‘, 아기전용 라인 출시",2016-05-18 09:53:04
13,"LG생활건강, 이유식 들고 中 간다",2016-06-14 17:08:04
14,"[Hot-Line] ""LG생활건강, 전부문 호조 지속""",2016-06-21 07:52:03
15,"[Hot-Line] ""LG생활건강, 화장품 중국·면세점 판매 증가""",2016-07-01 08:06:04
16,"LG생활건강, 국내 최초 산양 액상분유 출시",2016-07-11 11:31:08
17,애완용품 시장 진출한 LG생활건강,2016-08-07 13:26:05
18,"[Hot-Line] ""LG생활건강, 3분기 양호한 이익 성장 기대""",2016-09-07 08:32:03
19,"LG생활건강 더 히스토리 오브 후(后),창경궁 미디어 아트 전시 개최",2016-09-27 10:09:05
20,"LG생활건강, 피부의 자생력을 높여주는 이영애 에센스",2016-09-29 04:15:04
21,"연매출 ‘5조원’ 총알 장전한 LG생활건강, 비화장품으로 ‘영토 확장’",2016-10-24 15:10:04
22,"LG생활건강·마크로젠, 소비자 유전체 시장 공동 진출",2016-10-25 14:07:07
23,"LG생활건강, 존슨앤존슨 오랄케어 아시아사업 인수",2016-11-01 14:15:10
24,"LG생활건강 화장품 ‘후’, 누적매출 1조원 돌파",2016-11-03 15:07:04
25,"LG생활건강 빌리프, 프라임 인퓨전 라인 2종 출시",2016-11-29 09:23:06
26,"LG생활건강, 총 11명 임원인사 실시…이천구 신임 부사장 승진",2016-12-01 14:23:07
27,"LG생활건강, 중화권 겨냥 럭셔리 화장품 승부수",2016-12-05 04:03:04
28,"LG생활건강, 화장품 덕에 영업익 사상 최대 눈앞",2016-12-27 17:23:07
29,"[설 선물] LG생활건강, 머리끝에서 발끝까지…한세트에 담은 피부건강",2017-01-17 04:03:03
