,title,time
0,"[Hot-Line] “LG이노텍, 모바일 수요 둔화에 따른 이익 감소 불가피”…목표가↓",2016-01-21 08:41:05
1,"LG이노텍, 지난해 4분기 영업이익 전년比 22.3%↓(상보)",2016-01-25 16:03:04
2,LG이노텍 사모사채 500억원 발행…사상 최저금리로 조달 성공,2016-02-15 11:06:15
3,"LG이노텍, 초슬림 맥박센서 모듈 개발",2016-02-16 17:15:14
4,"[Hot-Line] ""LG이노텍, 상반기 실적 우려보다 양호""",2016-02-22 09:00:11
5,"[Hot-Line] “LG이노텍, 1분기 실적 시장 기대치 못미쳐…목표가↓”",2016-02-26 08:59:03
6,"[Hot-Line] “LG이노텍, 1분기 실적 부진…목표가↓”",2016-03-21 08:34:04
7,[Hot-Line] “LG이노텍 1분기 실적 부진할 듯…목표가↓”,2016-03-23 08:36:05
8,"LG이노텍, 유선만큼 빠른 무선충전기",2016-03-31 17:30:05
9,"[Hot-Line] “LG이노텍, 1분기 실적 부진…2분기 G5 수혜 예상”",2016-04-06 08:45:04
10,"[Hot-Line] “LG이노텍, 아이폰6S 판매량 저조에 악영향”",2016-04-18 08:47:03
11,"LG이노텍, 구미 1·2공장 녹색기업 공인",2016-04-19 15:38:03
12,"LG이노텍, 영업익 전년比 99.4%↓…車 전장사업은 ‘선방’",2016-04-27 18:01:08
13,"[Hot-Line] ""LG이노텍, 상반기 실적부진은 이미 주가에 반영""",2016-04-29 08:19:05
14,LG이노텍 지문인식 모듈개발,2016-05-01 17:45:04
15,"[Hot-Line] LG이노텍, 하반기 실적 개선 기대에 4%대 강세",2016-05-20 09:40:06
16,"[Hot-Line] ""LG이노텍, 하반기 재도약 가능성 충분""",2016-05-23 07:41:04
17,"[Hot-Line] LG이노텍, 하반기 실적 개선 기대에 ‘강세’",2016-05-25 09:45:08
18,"[Hot-Line] ""LG이노텍, 소니 듀얼카메라 사업 철수""…목표가↑",2016-05-26 07:52:04
19,LG이노텍 주가 한달새 22% 급등 왜,2016-05-29 17:35:09
20,"[Hot-Line] ""LG이노텍, 듀얼카메라 시장 개화 수혜""",2016-06-13 07:44:04
21,"[Hot-Line] ""LG이노텍, 하반기 북미 글로벌社 듀얼카메라 공급""",2016-06-15 08:37:04
22,"[Hot-Line] ""LG이노텍, 2분기 부진하지만 하반기 기대""…목표가↑",2016-06-17 07:38:04
23,"[Hot-Line] “LG이노텍, 광학솔루션 3분기 흑자전환 기대”",2016-06-27 08:53:06
24,"LG이노텍, 옷감처럼 유연한 압력센서 개발",2016-06-29 17:38:05
25,"[Hot-Line] ""LG이노텍, 2분기 적자전환하지만 곧 반등""",2016-07-06 08:34:04
26,GM도 감탄한 LG이노텍 車부품,2016-07-18 17:45:07
27,"LG이노텍, 애플에 카메라 모듈 독점공급 호재",2016-07-25 17:22:03
28,"LG이노텍, 베트남 신규법인 설립 추진…228억 출자",2016-07-27 16:15:06
29,"[Hot-Line] “LG이노텍, 차익실현 하기에는 이른 시점”",2016-08-04 08:25:08
30,"""종이가격표 사라진다""…LG이노텍, GS수퍼마켓에 ESL 설치",2016-08-18 11:03:05
31,"LG이노텍, ‘어린이 과학 캠프’ 개최",2016-08-30 11:09:03
32,"[Hot-Line] ""LG이노텍, 듀얼 카메가 실적 반등 이끈다""",2016-09-02 08:28:07
33,"LG이노텍, 추석 앞두고 어려운 이웃에 명절 음식 대접",2016-09-09 14:40:08
34,"[Hot-Line] ""LG이노텍, 광학솔루션 실적 큰 폭으로 성장할 듯""",2016-09-20 07:38:04
35,"[Hot-Line] ""LG이노텍, 사업 구조 재편 필요한 시점""",2016-09-27 07:55:07
36,"LG이노텍, 일본전산 특허소송서 승소",2016-09-29 17:45:18
37,"[Hot-Line] ""LG이노텍, 북미 카메라모듈 외 실적 저조""…목표가↓",2016-10-04 08:00:04
38,"LG이노텍, 3분기 영업이익 206억원…전분기 대비 ‘흑자전환’",2016-10-26 17:18:05
39,"LG이노텍, 독일 셰플러로부터 `최우수 협력사` 선정",2016-11-06 10:19:05
40,"LG이노텍, 전자부품 전시회 ‘일렉트로니카 2016’ 참가",2016-11-09 15:18:04
41,"[Hot-Line] ""LG이노텍, 광학솔루션 수익 개선 전망""",2016-11-28 08:08:03
42,"LG이노텍, 2017년 임원인사…전무급 승진 1명·상무 승진 2명",2016-12-01 16:22:06
43,"[Hot-Line] ""LG이노텍, 듀얼 카메라로 4분기 실적 개선""",2016-12-06 08:10:07
44,"LG이노텍, 장애 아동·청소년 의료비 지원",2016-12-13 08:53:04
45,"LG이노텍, 편의성·안정성 높인 열전모듈 양산",2017-01-18 09:00:04
46,"LG이노텍, 협력사와 동반성장협약 체결",2017-01-22 09:25:03
47,"LG이노텍, 지난해 4분기 영업이익 1178억원…분기 사상 최대(종합)",2017-01-24 16:19:03
48,"[Hot-Line] ""LG이노텍 올해 영업익 역대 최대수준…목표가↑""",2017-02-09 08:39:04
49,"[Hot-Line] ""LG이노텍, 1분기 비수기에도 견조한 실적 전망""",2017-02-23 08:39:03
50,"LG이노텍, 본사 LG서울역빌딩으로 이전",2017-03-02 15:09:03
51,"LG이노텍, 유로샵 2017 참가…ESL 등 IoT 솔루션 전시",2017-03-06 11:57:02
52,"[Hot-Line] ""LG이노텍, 카메라모듈 투자로 점유율 확대·실적 호조 기대""…목표가↑",2017-03-20 08:36:03
