,title,time
0,"강원랜드, 직원 특혜 채용 의혹에 검찰 수사착수",2016-02-14 20:28:04
1,[2015년 실적] 강원랜드 작년 영업익 16%↑,2016-02-17 17:41:04
2,강원랜드 `슈퍼메가 잭팟` 터져…당첨금 4억5600만원,2016-02-28 17:53:05
3,"강원랜드, 주당 980원 배당 결정…1987억원 규모",2016-03-04 08:08:07
4,"[Hot-Line] ""강원랜드, 올해 실적 개선세 지속 전망""",2016-04-20 07:57:04
5,"강원랜드, 폐광지역 재생 뜻 모은다",2016-04-28 18:42:04
6,"[Hot-Line] “강원랜드, 기기·인력 확충에 따른 가동률 향상 기대”",2016-05-09 07:30:04
7,"[Hot-Line] ""강원랜드, 추가 매수는 4분기 이후 적합""",2016-08-01 07:27:04
8,"[Hot-Line] “강원랜드, 안정적 실적 성장세 지속”",2016-08-02 08:39:05
9,"[Hot-Line] “강원랜드, 매수 기회…새만금 카지노 현실성 낮다”",2016-08-04 08:38:04
10,"[Hot-Line]""강원랜드, 올해 영업익 8%대 증가 예상""",2016-08-30 08:14:04
11,"강원랜드, ‘노인 일자리 만들기’ 큰 호응…도시재생 효과·기업 이지미↑",2016-09-26 18:10:03
12,"[Hot-Line] ""강원랜드, 3분기 실적 시장기대치 밑돌아""",2016-11-03 08:54:04
13,"강원랜드, 사회공헌사업에 年200억 이상 투입",2016-11-09 04:03:04
14,강원FC 도전 성공할까…강원랜드에 네이밍 스폰서 제안,2016-12-22 17:11:04
15,"[Hot-Line] ""강원랜드, 올림픽 기부금 등 외부 환경 불안""…목표가↓",2017-01-09 08:54:04
16,"[Hot-Line] ""강원랜드, 올해 제한적 성장 전망""",2017-01-12 08:36:04
17,"[Hot-Line] ""강원랜드, 지난해 4분기 수익 기대치 밑돌아""",2017-02-16 08:27:03
18,"강원랜드 종합상황센터에 설치된 제이비티의 ‘스마트 통합 관제 플랫폼’, 업계 주목",2017-03-20 16:15:05
19,"[Hot-Line] ""강원랜드, 1분기 방문 부진…실적 예상치 밑돌 것""",2017-04-04 08:25:02
20,강원랜드 노숙자 5명 중 1명은 10억 이상…,2017-04-24 06:46:02
21,"일본 민진당 대표단, 강원랜드 벤치마킹 위해 방문…도박중독 문제 예방에 관심보여",2017-06-05 14:37:06
22,"강원랜드, 협력업체 비정규직 1600여명 직접 고용한다",2017-06-14 04:03:14
23,"[Hot-Line] ""강원랜드, 하반기 배당주 매력 부각""…목표가 ↑",2017-07-27 08:51:15
24,"[Hot-Line] ""강원랜드, 하반기에도 실적 개선 힘들 것""",2017-08-10 08:17:51
25,"검찰, 권성동 의원 비서관 강원랜드 부당취업 수사 착수",2017-09-05 16:23:13
26,검찰 강원랜드 부정채용 의혹 압수수색…지난 4월 기소사건 재수사 여부 관심,2017-09-20 15:00:25
27,"서울중앙지검, 강원랜드 채용비리 관련 고발사건 춘천지검에 이송",2017-09-26 19:04:45
28,"이훈 ""강원랜드 채용 청탁에 한국당 의원 더 있다…총 7명""",2017-10-16 08:57:23
29,"정우택, 함승희 강원랜드 사장에 국감서 반말 호통",2017-10-19 17:12:30
30,"이훈 ""권성동 의원 사촌도 강원랜드 인사청탁""",2017-10-24 09:54:07
31,"환노위 `문준용 의혹` 공방…""심증 있어"" vs ""강원랜드 물타기""",2017-10-31 13:44:42
32,"[Hot-Line] ""강원랜드, 4분기 영업이익 감소율 완화 전망""",2017-11-09 08:16:45
33,산은·수은·강원랜드 정부 통제 강화된다,2017-11-24 16:17:30
34,강원랜드 채용비리 관련 최흥집 前사장 구속영장,2017-12-01 00:03:59
35,강원랜드 최흥집 전 사장 구속적부심 기각,2017-12-12 18:26:47
36,문태곤 강원랜드 사장 22일 취임,2017-12-21 15:55:21
37,"문태곤 강원랜드 사장 취임 ""내부 조직 혁신에 모든 힘 쏟을것""",2017-12-24 17:12:01
38,강원랜드 채용비리 관련 염동열 국회의원 검찰소환조사 연기,2017-12-27 15:42:58
39,강원랜드 주주가 되면 받을 수 있는 할인 혜택은?,2017-12-31 13:12:54
40,"강원랜드, 평창올림픽 공식후원사 참여",2018-01-23 14:24:28
41,강원랜드 내부혁신 시동…자문단 위촉,2018-01-24 20:11:23
42,"검찰, 강원랜드 채용비리 피의자로 염동열 자유한국당 의원 소환 조사",2018-01-27 17:25:43
43,"`스트레이트` 안미현 검사 ""`강원랜드 채용 비리` 권성동 의원 외압 있었다""",2018-02-05 09:57:54
44,`강원랜드 채용비리` 별도 수사단 구성,2018-02-06 19:50:09
45,"강원랜드비리 수사단, 오늘 오후 안미현 검사 참고인 조사",2018-02-12 12:14:02
46,"[Hot-Line] “강원랜드, 강화된 규제에 매력도 낮아져""…목표가↓",2018-02-13 08:29:33
47,"檢, 강원랜드 채용청탁 10명 사무실 압수수색",2018-02-20 15:54:25
48,강원랜드 수사 외압 의혹…현직검사 사무실 압수수색,2018-02-22 23:43:38
49,"강원랜드 수사단, ""참고인 불러 본격 수사하겠다""",2018-02-28 16:20:44
50,강원랜드 12일자로 고강도 조직개편 단행,2018-03-06 15:13:18
51,"강원랜드 수사단, 권성동·염동열 국회 사무실 압수수색",2018-03-08 09:01:34
52,"검찰, `강원랜드 채용 청탁 의혹` 문체부 압수수색",2018-03-10 18:40:47
53,"文 ""강원랜드 부정합격 226명 전원 면직""",2018-03-15 17:35:52
54,강원랜드 부정합격 226명 이달 말 퇴출,2018-03-19 17:53:14
55,"강원랜드, 채용비리 226명 퇴출 절차 돌입",2018-03-23 10:21:01
56,"정부, 강원랜드 채용비리 피해자 4명 바로 채용",2018-03-26 13:44:01
57,"강원랜드 수사 외압 의혹… 검찰, 현직 검사장 소환 조사",2018-03-27 07:14:01
58,"[Hot-Line] “강원랜드, 비우호적 영업환경에 1분기 실적 부진 전망""",2018-03-29 08:49:01
59,강원랜드 부정합격 198명 채용취소 통보(종합),2018-03-30 19:43:01
60,"강원랜드 수사단, 6일 염동열 자유한국당 의원 소환 조사키로",2018-04-03 13:30:01
61,강원랜드 채용청탁 혐의…염동열 의원 피의자로 檢소환,2018-04-06 11:05:01
62,"검찰, `강원랜드 채용비리` 염동열 구속영장 청구",2018-04-11 14:15:01
63,"강원랜드, 채용비리 피해자 6월 말까지 우선 채용한다",2018-05-07 17:37:01
64,강원랜드 채용비리 10명 추가 확인,2018-05-09 15:03:02
65,"[Hot-Line] ""강원랜드, 내년 1분기에나 실적 정상화""…투자의견 `중립` 하향",2018-05-11 08:27:02
66,강원랜드 수사놓고 검찰총장-수사단 충돌,2018-05-15 17:52:04
67,강원랜드 수사단 `고발장 대필` 파문,2018-05-22 22:26:02
68,"문무일 총장 ""자초지종 살펴보겠다""…핵심 빠진 해명으로 자충수 둔 강원랜드 수사단",2018-05-23 16:09:03
69,`강원랜드 채용청탁` 권성동 의원 체포동의안 국회 제출,2018-05-25 14:24:02
70,"권성동 ""강원랜드 채용 청탁 안 했다""…혐의 부인",2018-05-29 15:29:02
71,`강원랜드 채용청탁 혐의` 권성동 구속영장 기각,2018-07-05 01:00:04
72,`강원랜드 채용 비리` 권성동·염동열 기소,2018-07-16 17:43:05
73,"[Hot-Line] 강원랜드, 주가 저점 분석에 강세",2018-08-10 09:34:53
74,"[Bull&Bear] 강원랜드, 리조트 흥행 `콧노래`",2018-08-23 17:09:29
75,"`강원랜드 채용비리` 권성동 ""채용 청탁한 적 없어""…첫 공판준비기일서 혐의 부인",2018-08-27 16:08:11
76,"[Hot-Line] ""강원랜드, 하반기부터 영업 정상화""…투자의견 `매수` 상향",2018-08-31 08:42:35
77,강원랜드 기획관리본부장에 고광필 전 산자부 중부광산안전사무소장,2018-09-28 15:59:10
78,"檢 ""강원랜드 수사외압 없었다""",2018-10-09 18:10:57
79,[여행알쓸신잡] 내비 검색 인기 여행지 1위는 강원랜드,2018-10-29 04:04:15
80,"`강원랜드 채용비리` 권성동, 첫 재판서 혐의 전면 부인",2018-11-05 16:18:35
81,"[Hot-Line] ""강원랜드, 정책 불확실성 해소 필요""",2018-11-12 08:53:46
82,"최홍집 전 강원랜드 사장 ""권성동·염동열 의원이 직접 청탁했다""",2018-11-16 15:32:18
83,고용세습 국조엔 합의했지만 강원랜드 포함 여부 `시한폭탄`,2018-11-22 17:47:04
84,강원랜드 인사팀장 “임원이 ‘권성동 청탁’이라며 명단 전달”,2018-11-26 21:54:02
85,"[Hot-Line] ""강원랜드, 매출총량 규제 완화로 실적 개선""…목표가↑",2018-11-30 08:31:02
86,"[단독] 檢, 한국당 당직자 압수수색…강원랜드 수사 본격 재개",2018-12-07 19:12:03
87,공공부문 채용비리 국정조사 대상에 강원랜드 포함,2018-12-18 15:28:04
88,"검찰, 한국당 당직자 소환…강원랜드 불법자금 의혹 수사 재점화",2018-12-19 06:19:03
89,"강원랜드 노조, 근무방식 변경 철회 주장 ""직원들 죽음으로 내모는 것""",2018-12-26 10:40:05
90,"[Hot-Line] ""강원랜드, 근무제 변경으로 테이블 가동률 오를 것""…목표가↑",2019-01-04 08:42:04
91,채용비리 최흥집 전 강원랜드 사장 1심에서 징역 3년,2019-01-08 15:16:04
92,"[줌인 이종목] 강원랜드, 규제완화 기대 `신바람`",2019-01-28 17:31:05
93,"[Hot-Line] ""강원랜드, 매출총량규제 완화 시점 지연""…목표가↓",2019-02-15 08:31:04
94,[팝업투어] 강원랜드 하늘길 트레킹,2019-02-25 04:03:05
95,"강원랜드 前 사장 ""회사·지역 발전 도움받으려고…""",2019-03-11 13:06:02
96,"[줌인 이종목] 강원랜드, 배당성향 61%…상장후 최대",2019-03-18 17:12:04
97,"檢, `강원랜드 비리` 권성동 징역 3년 구형",2019-05-13 21:42:01
98,"`420억 미지급임금 소송` 강원랜드 최종 승소...대법 ""조건부 상여금은 통상임금 아냐""",2019-05-17 21:05:01
99,"[Hot-Line] “강원랜드, 2분기부터 실적 성장 전환""",2019-05-27 08:36:02
100,`강원랜드 채용비리 의혹` 권성동 1심 무죄,2019-06-24 17:50:05
101,"강원랜드, 2분기 영업익 1728억원…전년비 50.2%↑",2019-08-08 16:27:04
102,"강원랜드, 카지노 게이밍 엑스포에서 `머신 세일즈`",2019-10-17 10:03:28
103,"[여행 알쓸신잡] 강원랜드, 교육기부대상",2019-10-28 04:03:26
104,`복합 리조트`로 영토 넓히는 강원랜드,2019-11-03 17:26:58
105,"강원랜드, 폐광지역에 희망의 씨앗 뿌린다",2019-11-10 13:20:37
106,"검찰, `강원랜드 채용비리` 염동열 의원에게 징역 3년 구형",2019-11-18 17:29:02
107,"강원랜드, 플리마켓 모금액 태풍 이재민 구호물품 전달",2019-11-21 17:47:00
108,"강원랜드, 2019 사회혁신 유공 표창 수상",2019-11-27 21:17:00
109,"강원랜드, 시설관리 전문 자회사 설립한다",2019-11-29 14:32:00
110,"강원랜드, 사내벤처 2기 출범",2020-01-06 14:58:01
111,"檢, `강원랜드 채용비리` 권성동 항소심에서 징역 3년 구형",2020-01-09 15:35:02
112,"강원랜드, 부패방지 시책평가 `최우수 기관` 선정",2020-01-28 15:54:01
113,`강원랜드 채용비리` 염동열 징역 1년…법정구속은 안해,2020-01-30 13:21:03
114,강원랜드 현금상자 턴 외국인 3인조 인터폴 수배 요청,2020-02-10 19:41:01
115,"`강원랜드 채용비리` 권성동, 2심서도 무죄 선고",2020-02-13 11:29:01
116,[유가증권시장 공시] 한일홀딩스 / 강원랜드 / 송원산업 등,2020-02-24 17:51:04
117,"[Hot-Line] ""강원랜드, 코로나19 소멸시 강한 주가 반등 기대""",2020-02-27 08:36:06
118,[유가증권시장 공시] 강원랜드 / 현대위아,2020-02-28 17:38:02
119,강원랜드 43개소 임대업장 임대료 30% 감면,2020-03-04 11:06:04
120,"강원랜드 복지재단, 청소년 컴퓨터지원 사업 앞당겨 실시",2020-04-10 11:23:04
121,코로나에 폐광기금까지…우울한 강원랜드,2020-04-26 17:14:04
122,"강원랜드, 넥스트 유니콘 프로젝트 3개 기업 최종 선발",2020-05-20 16:36:04
123,"다시 문여는 강원랜드, 실적 부진 벗어날까",2020-05-28 17:50:04
124,강원랜드 청소·경비부문 협력업체 790명 정규직 전환,2020-06-18 16:01:03
125,카지노에 돈 거는 개미…강원랜드·GKL 순매수상위,2020-07-07 17:20:02
126,"""언제 문 여나…"" 강원랜드 장기 휴장에 폐광지역 `휘청`",2020-07-10 18:46:02
127,강원랜드 5개월 만에 문 열어…20일부터 제한영업 개시,2020-07-20 10:45:06
128,강원랜드 직원도 코로나 확진…식음업장이어 카지노도 일시 폐쇄,2020-08-21 11:31:06
129,강원랜드 카지노 23일 오전 10시부터 긴급 휴장,2020-08-22 19:22:03
130,"강원랜드, 세무회계 `낙제점`…추징세 864억 1위",2020-10-06 10:58:06
131,[단독] 태신인팩·농심NDS 등 강원랜드 카지노기기 독식 의혹…입찰 규정 어기고도 계약 따내,2020-10-21 08:43:14
132,"강원랜드 장기휴장 여파, 정선군 세입 손실 규모 `429억원`",2020-10-26 10:34:08
133,강원랜드 자체 개발 신규 게임 9종 선보여,2020-11-18 16:04:31
134,"강원랜드, 중소기업 판로지원 `동반성장몰` 오픈",2020-12-11 14:23:38
135,"강원랜드, 태백시 웰니스산단에 노인요양시설 조성",2020-12-16 17:51:13
136,"[단독] 강원랜드 2천명 무급휴업, 마사회 200명 구조조정",2021-01-20 15:19:22
137,"강원랜드, 부패방지 시책평가 2년 연속 '최우수 기관'",2021-01-26 15:20:28
138,"강원랜드 폐광기금 소송, 강원도 패소",2021-02-09 19:23:46
139,"네오위즈, 강원랜드와 맞손…슬롯머신 콘텐츠 활용 계약 체결",2021-03-08 09:59:34
140,강원랜드 차기 대표 후보에 이삼걸 전 차관,2021-03-09 16:29:57
141,'9억8719만원'…강원랜드 역대 최대 잭팟 터졌다,2021-03-18 09:40:31
142,강원랜드 차기대표에 이삼걸 전 행안부 2차관 선임,2021-03-30 16:26:50
143,"""지역과 상생해 강원랜드 100년 기틀 다질 것""",2021-04-08 14:40:16
