,title,time
0,"[Hot-Line] “금호석유, 지난 4분기 감익 예상…올해 실적개선 기대”",2016-01-15 08:44:07
1,"금호석유화학그룹, 여수 열병합발전소 증설로 신재생 에너지사업 `재도약`",2016-03-24 04:03:02
2,[iR52 장영실상] 금호석유화학 / 투명용 에폭시 코팅 첨가제,2016-05-02 17:28:04
3,"[Hot-Line] ""금호석유화학, 오는 6월 합성고무 실적 둔화 예상""",2016-05-17 08:08:04
4,"[Hot-Line]""금호석유, 2분기 영업이익 전년보다 감소할 것""",2016-06-21 08:22:04
5,[유가증권시장 공시] 금호석유화학 / 영진약품공업 / 하나금융지주 등,2016-08-24 17:32:04
6,"[Hot-Line] 금호석유, 3분기 실적 부진에 약세",2016-10-31 09:29:05
7,"[Hot-Line] ""금호석유, 합성고무·BD 시황 좋아질 것""",2017-01-09 08:39:03
8,"금호석유화학, `고무` 원자재값 급등에 비상등",2017-01-15 18:19:03
9,"금호석유화학, `고무` 원자재값 급등에 비상등",2017-01-18 06:03:03
10,"금호석유화학, 고부가제품 개발·신사업 발굴…글로벌 화학전문그룹 꿈꾼다",2017-03-24 04:04:39
11,"금호석유화학그룹, 학원비 등 자격증 비용 일체 지원",2017-09-28 04:05:16
12,"금호석유화학, R&D 혁신 ""세계 1등제품 확 늘린다""",2017-10-19 04:13:45
13,"[Hot-Line] 금호석유, 실적 개선 기대감에 강세",2017-11-27 09:23:50
14,"[Hot-Line] 금호석유, 실적 개선 전망에 신고가",2017-12-19 09:26:30
15,"[Hot-Line] ""금호석유, 원료 수급 안정화로 수익성 개선""…목표가↑",2017-12-21 08:42:08
16,"[Hot-Line] ""금호석유, 합성고무 시황 개선으로 실적 더 좋아질 것""",2018-02-02 08:13:49
17,"[Hot-LIne] ""금호석유, 1분기도 이익 강세 이어질 수 있어""",2018-03-07 09:01:30
18,"금호석유화학, 합성고무 등 4大 사업군 실적 탄탄",2018-03-23 04:03:36
19,"[Hot-Line] 금호석유, `깜짝 실적`에 10%대 급등",2018-04-30 09:18:02
20,[BULL 이 종목] 금호석유 `BPA 대박`…올 들어 실적 `훨훨`,2018-05-03 17:42:02
21,"금호석유, 목표가 올려놓고 투자의견 `중립`",2018-05-08 17:36:05
22,"[Hot-Line] 금호석유, 증권사 호실적 전망에 강세",2018-06-21 09:33:03
23,금호석유 영업이익 1년새 3배 `괴력`,2018-07-15 17:32:04
24,"[Hot-Line] ""금호석유, 주력 제품 시황 긍정적""…목표가↑",2018-08-06 08:27:28
