,title,time
0,"[Hot-Line] “호텔신라, 시장 경쟁심화 우려”…목표가↓",2016-01-06 08:29:25
1,"한국투자 “호텔신라, 업종 벨류에이션 하락…목표주가↓”",2016-01-19 09:30:05
2,"호텔신라, `맛있는 제주만들기` 식당 13호점으로 `올레낭쿰` 선정",2016-01-25 08:43:03
3,"[Hot-Line] 호텔신라, 4분기 실적 부진에 약세",2016-01-29 09:38:12
4,"[Hot-Line] ""호텔신라, 면세점 규제 완화에 주가 회복 전망""",2016-03-09 08:52:05
5,"[Hot-Line] “호텔신라, 면세점 특허수수료 부담”…목표가↓",2016-04-01 07:54:04
6,호텔신라 `드림메이커` 5기 오리엔테이션,2016-04-03 11:43:02
7,"호텔신라, ‘맛있는 제주만들기’ 14번호점에 ‘어머니밥상’ 선정",2016-04-05 11:02:11
8,면세점 1분기 실적 부진 탓 우울한 하나투어·호텔신라,2016-04-17 17:10:03
9,힘 못쓰는 호텔신라 왜?,2016-05-02 17:53:03
10,호텔신라 ‘맛있는 제주만들기’ 14호점 새단장 마치고 재개장,2016-05-19 16:57:07
11,"[Hot-Line] ""호텔신라, 인천공항 영업적자 추정치 증가""…목표가↓",2016-06-07 08:14:04
12,호텔신라 ‘맛있는 제주만들기’ 15호점 선정,2016-06-29 16:44:05
13,호텔신라 ‘신라스테이’ 9호점 천안에 진출,2016-07-04 15:30:07
14,"[Hot-Line] ""호텔신라, 메르스 기저효과로 외형 성장""",2016-07-13 07:44:03
15,"[Hot-Line] ""호텔신라, 면세사업 외형 성장에도 이익률은 감소""…목표가↓",2016-07-14 08:45:04
16,"[Hot-Line] 호텔신라, 2분기 실적 부진에 약세",2016-07-25 09:24:03
17,"[Hot-Line] 호텔신라, 부진한 2분기 실적에 하락",2016-07-26 09:24:04
18,"[Hot-Line] ‘실적 부진’ 호텔신라, 연일 신저가",2016-07-28 09:42:04
19,"[Hot-Line] “호텔신라, 면세점 경쟁 강도 약해질 것”",2016-08-29 08:43:09
20,"호텔신라, ‘맛있는 제주만들기’ 16호점에 ‘아버지와 만나’ 선정",2016-10-11 09:37:03
21,"호텔신라, ‘맛있는 제주 만들기’ 식당과 봉사활동",2016-10-27 14:40:09
22,"[Hot-Line] ""호텔신라, 中 정부 해외 여행 제재의 실질적 영향은 제한적""",2016-10-31 08:31:03
23,호텔신라 ‘맛있는 제주만들기’ 16호점 제주콩순옥 재탄생,2016-11-17 11:53:05
24,"호텔신라, 푸껫 면세점 개장",2016-11-20 17:58:03
25,"[Hot-Line] ""호텔신라, 서울 면세점 수요 둔화·경쟁 심화""",2016-11-23 08:32:04
26,"[Hot-Line] “호텔신라, 면세점 경쟁 지속…수익성 둔화”",2016-12-15 08:37:04
27,"[Hot-Line] 면세점 선정서 고배 마신 호텔신라, 4%대 약세",2016-12-19 10:06:04
28,면세점 과당경쟁…호텔신라株 울상,2017-01-01 17:36:04
29,"호텔신라, `맛있는 제주만들기` 올해 첫 시동…17호점 선정",2017-01-04 16:22:07
30,"[Hot-Line] 호텔신라, 사드 우려에 신저가 경신",2017-01-10 09:37:04
31,"[Hot-Line] ""호텔신라, 부적절한 규제로 수익성 저하 장기화""…목표가↓",2017-01-19 08:52:06
32,"호텔신라, 맛있는 제주만들기 사장님들 쌀 기증해 훈훈",2017-01-24 14:30:04
33,"[Hot-Line] ""호텔신라, 4분기 실적 시장기대치 부합""",2017-01-26 08:26:03
34,호텔신라 주력이 호텔업? 영업부문 주석을 꼭 확인하라,2017-02-14 15:03:03
35,"[Hot-Line] 호텔신라우, 차익실현에 장 초반 급락",2017-02-20 09:14:02
36,"[Hot-Line] 호텔신라우, 2거래일 째 이상 급등",2017-02-22 09:22:03
37,"호텔신라의 삼색 전략-전세계 국빈들이 찾는 최고 5星급부터 럭셔리 리조트, 스마트한 호텔까지",2017-02-23 16:46:03
38,호텔신라 상승 이유있네…면세점 등 실적개선 기대,2017-02-27 17:48:04
