,title,time
0,"길경석 해양대 교수, 한국조선해양IT학회 회장 취임",2016-01-05 10:21:03
1,비아이피㈜ 한국조선해양기자재인의날 장관표창 수상,2017-02-24 05:56:03
2,강환구 한국조선해양플랜트협회장,2017-03-06 17:42:04
3,"한국조선해양플랜트협회, 안전 컨퍼런스 개최",2017-06-15 15:06:11
4,부산시는 21일 한국조선해양기자재연구원 미음연,2017-07-19 11:28:12
5,"한국조선해양기자재연구원, 선박용 LNG 볼륨 측정 시험평가용 테스트 설비 구축",2018-08-26 19:13:46
6,한국조선해양기자재연구원 러 선급 4개 분야 추가 인정,2018-12-04 19:11:25
7,"송철호 울산시장 ""한국조선해양 본사 울산 존속해야""(종합)",2019-05-07 17:30:42
8,[취재후 Talk] 한국조선해양 본사 서울로…울산은 그저 바라볼 뿐,2019-05-17 14:15:14
9,"울산동구의회, 한국조선해양 본사 존치 특위 구성",2019-05-21 14:47:47
10,한국조선해양 본사 울산 존치 범시민 촉구대회,2019-05-22 14:23:43
11,"울산시장·지역 국회의원 ""한국조선해양 울산 존치"" 한목소리",2019-05-23 14:30:26
12,금속노조ㆍ울산 정치권 “한국조선해양 본사 존치하라”,2019-05-29 17:33:18
13,"권오갑 ""한국조선해양 게임체인저로 키울것""",2019-06-11 17:38:02
14,한국조선해양플랜트협회 부회장에 이병철씨 선임,2019-07-11 13:53:36
15,"한국조선해양, 2분기 영업이익 554억…현대重은 571억 적자 전환",2019-07-25 18:20:24
16,"한국조선해양, 日에 현대重-대우조선 기업결합 심사 신청",2019-09-04 15:35:05
17,"[공시]한국조선해양, 자회사 현대중공업 8월 매출 6089억…전년比 2.56%↑",2019-09-19 16:29:37
18,"한국조선해양기자재연구원, UL·CE 해외인증 설명회 엽니다",2019-10-07 09:03:13
19,산은이 지분 받기로한 한국조선해양 들여다보니…,2019-11-04 09:46:11
20,'선시공 후계약'…현대重 과징금 208억원·한국조선해양 檢고발(종합),2019-12-18 15:14:14
