,title,time
0,화승엔터프라이즈 코스피 상장 '순풍',2016-10-05 19:39:03
1,"새내기주 화승엔터프라이즈, 주가 꾸준한 우상향",2016-10-12 09:57:02
2,"화승엔터프라이즈, 인도네시아 계열사에 약 114억 대여 결정",2016-11-01 18:00:13
3,[fnRASSI]화승엔터프라이즈(241590) 전일대비 5.39% 상승,2016-12-09 10:21:05
4,[fnRASSI]화승엔터프라이즈(241590) 현재 5.45% ↑,2017-02-06 15:22:04
5,"화승엔터프라이즈, 실적개선 전망에 52주 신고가",2017-02-22 14:20:02
6,"하나금투 ""화승엔터프라이즈 4분기 호실적…목표가↑""",2017-02-28 08:14:51
7,"[특징주]화승엔터프라이즈, 실적성장 기대감에 '52주 신고가'",2017-03-09 09:10:03
8,"화승엔터프라이즈, 주당 35원 현금배당 결정",2017-03-10 16:27:15
9,4월 화승엔터프라이즈 등 46개사 의무보호예수 해제,2017-04-02 14:27:03
10,"화승엔터프라이즈, 아디다스 공급 증가 기대에 상승세",2017-04-17 14:28:02
11,[fnRASSI]화승엔터프라이즈(241590) 현재 +5.63%,2017-04-18 14:45:05
12,"[ET투자뉴스]화승엔터프라이즈, ""가장 빠르게 성장하…"" 매수(유지)-한국투자증권",2017-04-28 10:12:08
13,"[ET투자뉴스]화승엔터프라이즈, ""2017년 영업이익…"" 매수-하나금융투자",2017-05-15 13:09:07
14,"화승엔터프라이즈, 22일 기업설명회 개최",2017-05-17 16:40:23
15,"""화승엔터프라이즈, 올해 견조한 실적 기대"" - 하나",2017-05-24 08:40:25
16,"화승엔터프라이즈, 생산능력 매년 25% 증가…목표가↑-대신",2017-05-29 08:23:15
17,브랜드 운동화 뛸 때 덩달아 ‘점프’…화승엔터프라이즈ㆍ백산,2017-05-30 09:26:05
18,"화승엔터프라이즈, 외상수출어음 한도 약정 설정",2017-06-01 13:56:04
19,"화승엔터프라이즈, 7월17일 임시 주총 결의",2017-06-05 17:19:05
20,"[Hot-Line] ""화승엔터프라이즈, 2분기 실적 기대치 하향""…목표가 ↓",2017-07-05 08:18:31
21,"[ET투자뉴스]화승엔터프라이즈, ""하반기 갈수록 실적…"" 매수-하나금융투자",2017-07-28 12:39:08
22,"화승엔터프라이즈, 17일 기업설명회 개최",2017-08-07 15:05:06
23,"동부증권 ""화승엔터프라이즈, 2분기 실적 저조…목표가↓""",2017-08-14 08:37:41
24,"하나금투 ""화승엔터프라이즈, 증자로 주식가치 희석""",2017-08-22 09:06:10
25,화승엔터프라이즈가 신발공장을 넘겨받은 이유,2017-08-24 18:35:12
26,"[ET투자뉴스][화승엔터프라이즈 지분 변동] 국민연금공단 외 1명 0.04%p 증가, 7.16% 보유",2017-10-10 11:35:04
27,"화승엔터프라이즈, 현석호 부회장 지분 0.26% 매수",2017-10-17 09:48:27
28,"화승엔터프라이즈, 4분기 성장 모멘텀 재개-한국證",2017-10-19 08:32:08
