corp_code,corp_name,stock_code,modify_date
00260985,한빛네트,036720,20170630
00264529,엔플렉스,040130,20170630
00358545,동서정보기술,055000,20170630
00231567,애드모바일,032600,20170630
00247939,씨모스,037600,20170630
00359614,리더컴,056140,20170630
00153551,허메스홀딩스,012400,20170630
00344746,유티엑스,045880,20170630
00261188,글로포스트,037830,20170630
00268020,쏠라엔텍,030390,20170630
00269287,보홍,041320,20170630
00475286,동북아1호선박투자회사,078420,20170630
00250775,에듀아크,046350,20170630
00114321,데코,013650,20170630
00191108,엘앤씨피,015390,20170630
00167378,희훈디앤지,019640,20170630
00225210,퓨쳐인포넷,058690,20170630
00223346,쓰리디넷,035400,20170630
00174129,제일저축은행,024100,20170630
00114826,제일창업투자,026540,20170630
00173333,현대DSF,016510,20170630
00687599,네프로아이티,950030,20170630
00256292,자강,036790,20170630
00271431,케이엠에스,038830,20170630
00154727,에버리소스,020070,20170630
00246189,제이에스,037110,20170630
00154204,태창기업,007490,20170630
00152631,에이치비이에너지,017300,20170630
00107923,남한제지,001950,20170630
00358095,코어비트,056850,20170630
00510215,동북아8호선박투자회사,082110,20170630
00347619,한국통신데이타,045760,20170630
00372013,케너텍,062730,20170630
00353735,다휘,055250,20170630
00186540,코오롱아이넷,022520,20170630
00128759,캠브리지코오롱,004620,20170630
00535588,네오세미테크,089240,20170630
00264981,디에이치패션,045260,20170630
00231521,핸디소프트,032380,20170630
00159908,케이엠에이치,009690,20170630
00259493,씨엘엘씨디,035710,20170630
00359641,현대푸드시스템,114410,20170630
00103325,고제,002540,20170630
00161639,메리츠종합금융,012420,20170630
00211271,제넥셀세인,034660,20170630
00388272,쓰리디월드,065340,20170630
00264796,스톰이앤에프,043680,20170630
00134909,소예,035010,20170630
00236368,엠엔에프씨,048640,20170630
00684547,하이트맥주,103150,20170630
00251385,보광티에스,066690,20170630
00262682,아인스엠앤엠,040740,20170630
00234555,씨엔씨엔터프라이즈,038420,20170630
00507257,아이알디,084810,20170630
00417963,바이나믹,067850,20170630
00543523,코크렙제7호위탁관리부동산투자회사,086720,20170630
00300566,엔빅스,054170,20170630
00299376,선팩테크,054010,20170630
00112068,마이크로닉스,001190,20170630
00257194,블루스톤디앤아이,033720,20170630
00477372,신지소프트,078700,20170630
00465410,맥쿼리센트럴오피스기업구조조정부동산투자회사,076850,20170630
00331760,테스텍,048510,20170630
00200761,중앙디자인,030030,20170630
00268297,에코페트로시스템,042870,20170630
00161301,한림창업투자,021060,20170630
00237260,헤쎄나,036270,20170630
00297970,미래에셋굿라이프혼합형자녀를위한투자회사10-1,037510,20170630
00107358,일공공일안경콘택트,032030,20170630
00115427,신동방CP,004660,20170630
00267474,지앤알,043630,20170630
00134051,셀런,013240,20170630
00596066,한국베트남15-1유전해외자원개발투자회사,093820,20170630
00347363,에이치원바이오,052310,20170630
00150226,씨앤중공업,008400,20170630
00152914,FnC코오롱,001370,20170630
00158839,제너비오믹스,017010,20170630
00159281,케드콤,011050,20170630
00210537,지엔텍홀딩스,065410,20170630
00240370,동부씨엔아이,044640,20170630
00247887,아이피에스,051820,20170630
00268358,에스브이에이치,046240,20170630
00316488,제이콤,060750,20170630
00264130,옥션,043790,20170630
00540304,네이쳐글로벌,088020,20170630
00617299,GB블루오션베트남주식혼합형투자회사1호,094950,20170630
00262275,엠씨티티코어,052210,20170630
00200798,에이스앤파트너스,032930,20170630
00335924,지앤디윈텍,061050,20170630
00111591,인터피온반도체,014010,20170630
00189343,솔로몬저축은행,007800,20170630
00252588,엠트론스토리지테크놀로지,046320,20170630
00267997,에스티앤아이,031800,20170630
00367376,사이노젠,064060,20170630
00299686,유퍼트,060670,20170630
00463050,엑스로드,074140,20170630
00238913,선우중공업,068770,20170630
00107446,남양,003020,20170630
00114303,엘지데이콤,015940,20170630
00318617,LG파워콤,045820,20170630
