날짜,당기금액,전기금액,label,변동량,최종
20160516,"149,403,768,00097,329,386,000","100,010,344,00065,603,778,000",1,1,1
20160816,"71,921,048,00018,879,890,000","62,328,212,00029,468,300,000",1,1,1
20161114,"116,688,921,00065,037,487,000","50,210,726,00068,588,226,000",0,1,0
20170331,"353,548,750,000197,322,348,000","253,666,762,000157,826,727,000",1,0,0
20170515,"91,020,464,00043,090,443,000","149,403,768,00097,329,386,000",1,0,0
20170814,"43,148,166,000128,702,000","71,921,048,00018,879,890,000",0,0,1
20171114,"263,477,180,000252,722,662,000","116,688,921,00065,037,487,000",1,0,0
20180406,"412,797,743,000239,233,707,000","353,548,750,000197,322,348,000",1,0,0
20180515,"72,149,886,000172,184,910,000","91,020,464,00043,090,443,000",0,0,1
20180814,"783,380,630,000757,738,536,000","43,148,166,000128,702,000",1,0,0
20181114,"120,764,865,00075,486,619,000","263,477,180,000252,722,662,000",0,0,1
20190401,"925,388,625,000926,268,831,000","412,797,743,000239,233,707,000",1,0,0
20190515,"40,940,401,00034,507,695,000","72,149,886,000172,184,910,000",0,0,1
20190814,"39,492,700,0002,538,906,000","783,380,630,000757,738,536,000",0,0,1
20191114,"17,079,077,00069,865,798,000","120,764,865,00075,486,619,000",1,0,0
20200330,"191,028,303,000-74,461,490,000","925,388,625,000926,268,831,000",0,1,0
20200515,"451,924,437,000407,770,479,000","40,940,401,00034,507,695,000",1,0,0
20201104,"158,017,419,00019,487,798,000","39,492,700,0002,538,906,000",0,1,0
20201116,"189,178,038,00051,593,434,000","17,079,077,00069,865,798,000",1,0,0
20210318,"786,425,538,000340,868,145,000","191,028,303,000-74,461,490,000",1,0,0
20160516,"1,187,000,000-54,104,000,000","475,751,000,000334,772,000,000",0,0,1
20160816,"-83,916,000,000-138,592,000,000","362,576,000,000168,505,000,000",0,0,1
20161114,"189,554,000,000116,500,000,000","198,632,000,00084,552,000,000",0,0,1
20170331,"931,508,000,000967,078,000,000","1,023,456,000,000968,209,000,000",1,0,0
20170515,"679,497,000,000514,112,000,000","1,187,000,000-54,104,000,000",1,0,0
20170814,"736,668,000,000477,855,000,000","-83,916,000,000-138,592,000,000",1,0,0
20171114,"477,244,000,000281,341,000,000","189,554,000,000116,500,000,000",1,0,0
20180402,"1,937,052,000,0001,779,721,000,000","931,508,000,000967,078,000,000",0,0,1
20180515,"-48,982,000,000-80,364,000,000","679,497,000,000514,112,000,000",0,0,1
20180814,"-300,543,000,000-417,239,000,000","736,668,000,000477,855,000,000",0,1,0
20181114,"17,508,000,00023,273,000,000","477,244,000,000281,341,000,000",0,0,1
20190401,"-179,443,000,000-442,291,000,000","1,937,052,000,0001,779,721,000,000",0,1,0
20190515,"-62,640,000,000-113,941,000,000","-48,982,000,000-80,364,000,000",1,1,1
20190814,"-550,180,000,000-407,764,000,000","-300,543,000,000-417,239,000,000",1,0,0
20191114,"-442,204,000,000-575,046,000,000","17,508,000,00023,273,000,000",0,1,0
20200330,"-2,872,078,000,000-2,639,893,000,000","-179,443,000,000-442,291,000,000",1,1,1
20200515,"-198,897,000,000-337,577,000,000","-62,640,000,000-113,941,000,000",0,0,1
20200814,"-503,830,000,000-456,084,000,000","-550,180,000,000-407,764,000,000",0,1,0
