date,보고자,보유비율 증감,label,변동량,최종
20200403,국민연금공단,1.03,1,0,0
20200623,국민연금공단,0.06,1,1,1
20200902,국민연금공단,-1.02,0,1,0
20201201,국민연금공단,-1.12,0,1,0
20190830,LG전자,0.0,0,1,0
20200703,국민연금공단,-2.07,0,1,0
20200807,LG전자,-0.01,0,0,1
20210129,BlackRockFundAdvisors,0.11,1,0,0
20210224,국민연금공단,1.26,1,0,0
20210428,BlackRockFundAdvisors,-1.01,0,0,1
20190830,LG,0.0,0,1,0
20200207,국민연금공단,-0.13,0,1,0
20200330,LG,-0.01,0,1,0
20200703,국민연금공단,1.04,1,1,1
20200703,BlackRockFundAdvisors,-1.02,0,1,0
20201006,국민연금공단,1.06,1,1,1
20201201,국민연금공단,-1.05,0,1,0
20190723,HarrisAssociatesL.P.,0.02,1,1,1
20200106,국민연금공단,1.01,1,1,1
20200207,국민연금공단,0.32,1,1,1
20200403,HarrisAssociatesL.P.,-1.04,0,0,1
20200507,국민연금공단,1.01,1,1,1
20210105,국민연금공단,-1.01,0,1,0
20190610,"TheCapitalGroupCompanies,Inc.",-0.69,0,1,0
20191011,"TheCapitalGroupCompanies,Inc.",-0.65,0,0,1
20191111,"TheCapitalGroupCompanies,Inc.",-1.97,0,1,0
20191209,BlackRockFundAdvisors,-1.06,0,0,1
20200106,국민연금공단,1.03,1,1,1
20200207,국민연금공단,0.04,1,1,1
20200326,SK텔레콤,-0.01,0,0,1
20200507,국민연금공단,1.03,1,1,1
20190621,CreditSuisseGroupAG,5.01,1,1,1
20190701,한진칼,0.01,1,0,0
20190703,국민연금공단,-1.05,0,0,1
20190813,CreditSuisseGroupAG,-1.26,0,1,0
20190909,한진칼,0.0,0,0,1
20190927,한진칼,0.0,0,0,1
20191105,한진칼,0.0,0,1,0
20200207,국민연금공단,0.36,1,1,1
20200304,한진칼,0.01,1,1,1
20200403,국민연금공단,-1.01,0,0,1
20200507,국민연금공단,-1.04,0,1,0
20200602,국민연금공단,-1.05,0,0,1
20200626,한국산업은행,14.04,1,0,0
20200703,국민연금공단,3.58,1,1,1
20200713,한진칼,0.0,0,0,1
20200713,한진칼,10.65,1,0,0
20200804,국민연금공단,-4.46,0,0,1
20200909,한진칼,-13.05,0,1,0
20200928,한진칼,0.0,0,1,0
20201005,한진칼,0.0,0,1,0
20201103,국민연금공단,1.1,1,1,1
20201124,한진칼,6.11,1,1,1
20201215,한진칼,6.41,1,0,0
20201230,한진칼,0.0,0,1,0
20210222,한진칼,9.82,1,0,0
20210303,국민연금공단,5.76,1,1,1
20210318,한진칼,-16.91,0,1,0
20210331,한진칼,0.0,0,1,0
20200207,국민연금공단,0.64,1,1,1
20200325,삼성물산,0.01,1,0,0
20210503,삼성물산,-0.06,0,1,0
20210507,삼성물산,0.0,0,0,1
20190610,삼성중공업(주)우리사주조합,-4.76,0,1,0
20191004,국민연금공단,1.05,1,0,0
20200703,국민연금공단,-2.04,0,1,0
20210326,삼성전자,-0.09,0,1,0
20190618,송암사,0.0,0,0,1
20190715,송암사,0.0,0,1,0
20190911,송암사,0.19,1,0,0
20191213,송암사,0.0,0,1,0
20200113,송암사,0.0,0,1,0
20200212,송암사,-4.04,0,1,0
20200212,아든헬스케어제2호사모투자,-1.81,0,1,0
20200220,송암사,-1.2,0,1,0
20200312,송암사,0.0,0,0,1
20200407,송암사,0.0,0,0,1
20200410,한국증권금융,-2.81,0,1,0
20200522,장지이,-1.72,0,1,0
20200610,송암사,0.0,0,1,0
20200714,송암사,0.0,0,1,0
20200908,송암사,0.0,0,0,1
20201109,송암사,0.0,0,0,1
20201214,송암사,0.0,0,0,1
20210108,송암사,0.0,0,1,0
20210312,송암사,0.0,0,0,1
20210407,장지이,-1.12,0,0,1
20210427,송암사,-3.53,0,1,0
20210507,송암사,0.0,0,0,1
20190523,김범수,-3.31,0,0,1
20190611,김범수,0.0,0,1,0
20190703,국민연금공단,1.02,1,0,0
20190816,김범수,-0.11,0,1,0
20190918,김범수,-0.06,0,1,0
20191101,김범수,-0.04,0,1,0
20191108,김범수,-0.74,0,1,0
20191119,김범수,-0.01,0,0,1
20200106,국민연금공단,1.01,1,1,1
20200130,김범수,-1.83,0,0,1
20200207,국민연금공단,0.36,1,1,1
20200224,김범수,-0.09,0,0,1
20200512,김범수,-0.11,0,1,0
20200819,김범수,-0.31,0,0,1
20201006,국민연금공단,-1.04,0,1,0
20201012,김범수,-0.07,0,0,1
20201026,김범수,-0.09,0,0,1
20201110,김범수,-0.01,0,0,1
20210119,김범수,-0.14,0,1,0
20210219,BlackRockFundAdvisors,0.22,1,1,1
20210416,김범수,-1.1,0,1,0
20210512,김범수,-0.03,0,0,1
20200115,현대자동차,0.0,0,1,0
20200226,현대자동차,0.0,0,1,0
20200304,현대자동차,0.0,0,1,0
20200623,국민연금공단,0.29,1,1,1
20200902,국민연금공단,-1.02,0,1,0
20210401,현대자동차,0.0,0,0,1
20190703,국민연금공단,1.03,1,0,0
20190709,"TheCapitalGroupCompanies,Inc.",0.59,1,1,1
20191004,국민연금공단,1.0,1,0,0
20191010,"TheCapitalGroupCompanies,Inc.",0.09,1,1,1
20200115,"TheCapitalGroupCompanies,Inc.",-2.56,0,1,0
20200205,"TheCapitalGroupCompanies,Inc.",5.01,1,0,0
20200207,국민연금공단,0.41,1,1,1
20200309,"TheCapitalGroupCompanies,Inc.",0.23,1,0,0
20200326,현대모비스,0.27,1,0,0
20200409,"TheCapitalGroupCompanies,Inc.",-1.08,0,0,1
20200602,국민연금공단,1.01,1,0,0
20201030,현대모비스,-0.0,0,0,1
20201218,현대모비스,-0.0,0,0,1
20210105,국민연금공단,-1.0,0,1,0
20210202,국민연금공단,-1.04,0,0,1
20210205,국민연금공단,-0.14,0,0,1
20210331,현대모비스,0.0,0,1,0
