,title,time
0,"SK텔레콤-노키아, 유선(코어네트워크) '5G 핵심기술' 시연",2016-01-11 11:43:03
1,"SK텔레콤, 가입자간 데이터 사고 팔기 막는다",2016-01-12 13:30:03
2,"SK텔레콤, LG ‘K10’ 출시",2016-01-13 10:07:42
3,"[롤챔스]SK텔레콤-kt, 개막전 나란히 2:0 승리(종합)",2016-01-13 21:12:06
4,"신한금투 ""SK텔레콤, 성장정체의 늪…목표가↓""",2016-01-15 08:58:02
5,"SK텔레콤, 루나 후속작 '쏠' 출시…출고가 39만9300원",2016-01-17 11:20:46
6,"SK텔레콤 ""요금미납 신용등급 반영 즉시 중단""",2016-01-19 14:46:08
7,"SK텔레콤, 스마트 무전기 ‘오키토키’ 출시",2016-01-20 10:43:04
8,"SK텔레콤, 데이터 송수신 속도 두 배로 높여",2016-01-25 10:18:20
9,SK텔레콤 ‘일대다(一對多) 일괄전송’ 기술 개발,2016-01-26 10:54:05
10,"""아마존 대시 보드를 만들어라""...SK텔레콤-인텔 IoT 해커톤 개최",2016-01-27 15:04:10
11,"SK텔레콤, 5G 시대 준비 위해 페이스북과 손잡는다",2016-01-28 15:00:04
12,SK텔레콤 ‘T데이터쿠폰 프로모션 시행,2016-01-29 09:43:06
13,"SK텔레콤, LTE 데이터 로밍 요금제 출시",2016-02-01 10:03:06
14,"SK텔레콤, 매출과 영업익 동반 하락…가입자당매출은 증가(상보)",2016-02-02 11:23:03
15,"SK텔레콤, 무선 성장 둔화 불가피.. 유선분야 성장 기대",2016-02-03 08:07:03
16,"SK텔레콤, 20대와 ICT 연결할 ‘캠퍼스리포터’ 13기 모집",2016-02-05 09:42:03
17,"SK텔레콤-에릭슨, 5G 시험망 구축 위해 손잡았다",2016-02-11 09:45:13
18,"SK텔레콤, 달.콤커피 전국 매장 '스마트 사이니지' 구축",2016-02-15 11:41:03
19,"달콤커피, SK텔레콤과 스마트 사이니지 사업개발 MOU 체결",2016-02-16 10:00:04
20,"[MWC2016]SK텔레콤, 재난망 핵심기술 시연",2016-02-18 09:12:56
21,"SK텔레콤, 앱 개발검증 서비스 'mAppCheck' 출시",2016-02-19 08:58:04
22,"[MWC2016]SK텔레콤 커넥티드카, 스페인 달린다",2016-02-22 08:00:33
23,SK텔레콤-도이치텔레콤 파트너십 체결,2016-02-23 08:14:13
24,"SK텔레콤, 월 5000~8000원 내면 매일 1GB 제공",2016-02-25 14:42:04
25,"SK텔레콤, 신한은행과 데이터 특화 상품 출시",2016-02-29 11:12:10
26,"[포토] SK텔레콤 4연승 마무리 어윤수, 인사 '꾸벅'",2016-02-29 19:53:04
27,"SK텔레콤, 'SK테크엑스' '원스토어' 별도 법인 설립",2016-03-02 15:50:04
28,"SK텔레콤, 갤럭시S7 출고가 83.6만원...예판 스타트",2016-03-04 09:22:03
29,"SK텔레콤, '갤럭시S7카드' 단독 출시",2016-03-09 09:22:57
30,"SK텔레콤, 구글주도 통신혁신 프로젝트 합류..아시아 최초",2016-03-10 08:59:03
31,SK텔레콤 갤럭시7 1호 가입자는 '이건희',2016-03-11 10:32:59
32,"SK텔레콤, 간편 결제 'T페이' 출시",2016-03-14 09:17:44
33,"SK텔레콤, 창조경제 벤처업체와 상생협력 대폭 강화",2016-03-15 09:48:04
