,title,time
0,"강원랜드, 신입사원 입문교육 실시",2016-01-05 10:31:39
1,"[인터뷰]강원랜드 이색 신입사원 ""지역 상생 위해 뭉쳤다""",2016-01-07 06:00:00
2,"강원랜드, 폐광지역 초등학생 과학 체험견학",2016-01-08 14:47:12
3,"강원랜드, 영월지역 투자·지원사업 모두 '휘청'",2016-01-11 08:25:13
4,"강원랜드, 지역학생 스키장 체험행사 제공",2016-01-13 14:56:38
5,"강원랜드 복지재단, 폐광지 불우이웃에 '온정'",2016-01-14 11:04:03
6,"강원랜드중독관리센터, 도박중독 예방 캠페인",2016-01-15 15:09:45
7,"강원랜드 스케이트장, '한국 방문의 해' 특별 할인",2016-01-18 13:07:02
8,"강원랜드, 지역과의 소통 위해 SNS '어울림' 구축",2016-01-21 16:44:32
9,'폐광주민 뿔났다'…강원랜드 부사장 퇴진운동,2016-01-25 08:21:45
10,"강원랜드 함승희 대표, 직원들과 소통강화",2016-01-26 14:13:38
11,"강원랜드, 교육환경 개선 복지프로그램 지원",2016-01-28 17:20:06
12,"강원랜드, 설 명절 지역경제활성화 동참",2016-02-01 15:08:00
13,"강원랜드 신입사원, 연탄 나눔 봉사 실시",2016-02-02 13:35:07
14,"강원랜드 임직원, 전통시장서 물품구매",2016-02-05 14:11:55
15,"강원랜드, 졸업·입학 시즌 특별 할인 실시",2016-02-12 13:29:48
16,"강원랜드, 대규모 직원 특혜 채용 의혹…검찰 수사착수",2016-02-14 18:54:02
17,"검찰, 레고·강원랜드 비리의혹 수사…지역정가 '긴장'",2016-02-16 11:43:51
18,"염동열 의원 ""강원랜드 인사 개별청탁·대가수수 없어""",2016-02-18 11:38:02
19,"강원랜드, 부패방지 시책평가 '우수기관' 선정",2016-02-22 13:37:10
20,강원랜드 '사후면세점' 운영,2016-02-23 13:11:24
21,강원랜드 '명상과 힐링Ⅱ' 작품전,2016-02-24 10:51:23
22,강원랜드 '슈퍼메가 잭팟' 터져…당첨금 4억5천6백만원,2016-02-28 17:47:28
23,"강원랜드, 해빙기 재난예방 안전점검 실시",2016-03-02 14:31:27
24,"강원랜드, 군 모범장병 격려행사 지원",2016-03-04 11:00:53
25,"강원랜드, 폐광지역 '초중고 신입생지원'사업 확대",2016-03-08 12:10:02
26,"강원랜드, '엔젤스태프' 서비스 호응",2016-03-09 14:31:05
