,title,time
0,친환경·스마트카 뒤처진 현대기아차…격차 좁히기 안간힘,2016-01-05 09:45:03
1,기아차 2030년 완전 자율주행 꿈꾼다…CES 화려한 데뷔,2016-01-06 09:00:11
2,기아차 '호주오픈 테니스' 볼키즈 20명 파견,2016-01-08 08:52:18
3,현대기아차 점유율 상승 가능성 톱4…1위는 도요타,2016-01-12 06:33:34
4,기아차 호주오픈 테니스 대회 운영 차량 지원,2016-01-13 11:19:54
5,'엔고' 날개단 자동차株.. 대표적 수출경합업종 기아차·쌍용차 상승,2016-01-14 18:01:03
6,기아차 신형 K7 초반 흥행 돌풍…누적계약 5천대 돌파,2016-01-18 08:13:00
7,현대기아차 친환경차 판매 세계 4위 올랐다,2016-01-19 06:33:34
8,"기아차, '제3회 유네스코 키즈 해외캠프' 실시",2016-01-21 10:48:05
9,"기아차, '2016 기아스타 어워즈' 개최",2016-01-24 14:43:04
10,"기아차, 풀 체인지 '올 뉴 K7' 출시…사전계약 7500대",2016-01-26 10:36:00
11,"기아차, 작년 영업이익 2조3543억원…전년比 8.5%↓",2016-01-27 10:03:43
12,현대기아차 작년 글로벌 점유율 8.7%…전년비 0.1%P↓,2016-01-28 06:10:01
13,"현대기아차, 4개 차종이 iF 디자인상 수상",2016-01-29 10:06:03
14,기아차 1월 판매 21만3천980대…전년비 15.4%↓,2016-02-01 15:04:02
15,기아차 '올 뉴 K7' 판매 돌풍…1만대 계약,2016-02-02 11:25:47
16,개소세 인하 부응…현대기아차 최대 60만원 추가 할인,2016-02-03 14:35:19
17,기아차 직접 개발한 전용 스포츠카 나온다,2016-02-04 09:07:22
18,현대차 이어 기아차도 이사회 내 투명경영委 만든다,2016-02-11 06:13:01
19,"기아차, 시카고오토쇼서 친환경 SUV '니로' 최초 공개",2016-02-12 09:45:04
20,기아차 광주공장 '제2도약의 해' 선포,2016-02-15 14:37:28
21,기아차 '더 뉴 모하비' 출시…사전계약 4천500대 넘어,2016-02-16 09:34:14
22,"유엔 ""엘니뇨로 지구촌 1억명 기아로 고통""",2016-02-17 15:22:24
23,기아차 친환경 SUV '니로' 유럽 공략 시동,2016-02-18 09:24:50
24,기아차 노사 '기아 드림 장학금' 5억 지원,2016-02-19 09:04:29
25,현대·기아·르노·닛산 등 2만6000여대 리콜,2016-02-22 06:01:03
26,현대기아차 개소세 환급 개시…최대 210여만원,2016-02-23 06:13:13
27,기아차 쏘렌토 컨슈머리포트 최고車 선정,2016-02-24 08:51:48
28,현대기아차 미국서 내구품질 평가 좋아졌다,2016-02-25 08:17:10
29,"렉서스, 美 내구성 품질 1위 ...기아차 17위·현대차 19위",2016-02-26 10:24:05
30,삼성만 있나…현대기아차도 '최첨단 가상현실' 과시,2016-02-29 07:03:14
31,현대기아차 친환경 '아이오닉·니로' 유럽 첫 공개,2016-03-01 16:00:04
32,"기아 스포티지, 지난달 뉴질랜드서 가장 많이 팔려",2016-03-03 10:54:21
33,"기아차, '해피 모빌리티 나눔 캠페인 실시",2016-03-04 09:46:03
34,광주-기아 챔피언스 필드 새 단장,2016-03-07 15:05:02
35,기아차 '운전 잘하는 방법' 팝아트 카툰 배포,2016-03-08 08:56:04
36,기아차 쏘울 '최고의 가족용 차량' 2년 연속 선정,2016-03-10 01:42:52
