,title,time
0,"맥쿼리인프라, 사업의 안정성 확보와 현금흐름 개선",2016-01-19 10:57:05
1,"맥쿼리인프라, 2015년 투자자산 운영성과 양호",2016-02-01 13:16:03
2,"맥쿼리인프라, 영종·인천대교 보유…영종 복합리조트 수혜-키움",2016-02-29 08:51:04
3,"한화손해보험, 맥쿼리인프라 지분율 7.35%→8.42%",2016-03-15 14:39:05
4,"'기관이 돈 묻어두는 종목' 맥쿼리인프라, 인천대교·공항고속도로 투자…배당수익률 5.7%",2016-03-22 18:26:04
5,맥쿼리인프라 등 리츠주 '고공 행진',2016-05-27 18:54:03
6,"[특징주] 맥쿼리인프라, 52주 최고가",2016-06-16 13:58:45
7,"[@테마]맥쿼리인프라_주가와 거래량은 강세, 투자심리는 보통",2016-06-20 14:18:12
8,"[@기업분석리포트]맥쿼리인프라, ""2Q16 성과보수 …"" OUTPERFORM(MAINTAIN)",2016-07-04 12:51:09
9,"맥쿼리인프라, 한화손해보험이 주식 892만여주 매도",2016-07-11 14:10:04
10,"[@테마]맥쿼리인프라_증권사 목표주가 9,000원, 현재주가는 목표주가에 근접",2016-07-18 11:36:12
11,"[@테마]맥쿼리인프라_투심 약세 ,거래량 침체, 현재주가는 보통",2016-08-16 14:09:04
12,"[@테마]맥쿼리인프라_투심 보통 ,거래량 침체, 현재주가는 약세",2016-08-29 12:48:03
13,"[@테마]맥쿼리인프라_현재주가 근처인 8,770원대에 주요매물대가 존재.",2016-08-30 12:03:08
14,"[클릭 e종목]""맥쿼리인프라, 초저금리에 확실한 배당주…목표가 1만원""",2016-09-19 08:47:45
15,[@테마]맥쿼리인프라_상장주식수 대비 거래량은 0.1%로 적정수준,2016-09-20 12:39:05
16,"KB투자증권 ""맥쿼리인프라 상승 여력 낮아…'중립'""",2016-09-22 08:23:03
17,"[@기업분석리포트]맥쿼리인프라, ""분배금 감소는 아쉽…"" MARKETPERFORM(유지)-키움",2016-10-05 19:42:04
18,"[@기업분석리포트]맥쿼리인프라, ""드디어 시작되는 신…"" MARKETPERFORM(MAINTA",2016-10-24 11:42:07
19,"맥쿼리인프라, 8년만에 신규 투자",2016-10-25 12:01:23
20,"[로봇뉴스]맥쿼리인프라, ""3분기 투자자산 운…"" 매수(유지)-NH투자증권",2016-10-31 15:36:08
21,"[로봇뉴스]맥쿼리인프라_현재주가 근처인 8,810원대에 주요매물대가 존재.",2016-11-02 13:03:06
22,[로봇뉴스]맥쿼리인프라_업종평균에 비해서 변동성 대비 성과가 좋지 않아,2016-11-03 13:39:03
23,"[Hot-Line] ""맥쿼리인프라, 현 주가에서는 배당 수익률에 집중""",2016-11-22 08:27:06
24,"[로봇뉴스]맥쿼리인프라_투심 보통 ,거래량 침체, 현재주가는 약세",2016-11-23 09:54:05
25,"[로봇뉴스]맥쿼리인프라_주가와 투자심리는 약세, 거래량은 침체",2016-11-24 13:48:06
26,"[로봇뉴스]맥쿼리인프라_주가와 투자심리는 약세, 거래량은 침체",2016-11-28 10:12:14
27,"[오늘의종목]맥쿼리인프라, 중장기 투자처로 여전히 Good",2016-12-15 09:00:03
28,"[로봇뉴스]맥쿼리인프라_관련종목들은 하락 우위, 금융업업종 +0.3%",2016-12-16 09:24:10
29,"맥쿼리인프라,리스크 해소+현금흐름 개선-키움",2016-12-19 08:11:29
30,맥쿼리인프라·맵스리얼티1…힘 못쓰는 '채권형 배당주',2017-01-23 19:01:01
31,"""맥쿼리인프라, 사업재구조화…유동성 확보·불확실성 해소""-NH",2017-02-01 08:03:01
32,"[ET투자뉴스]맥쿼리인프라, ""신규투자와 수익률 …"" OUTPERFORM(MAINTAIN)",2017-02-15 09:57:09
33,"맥쿼리인프라, 1분기 성과보수 8,961원 예상-키움증권",2017-02-24 08:51:03
34,"[ET투자뉴스]맥쿼리인프라, ""17년 DPS 51…"" OUTPERFORM(MAINTAIN)",2017-04-06 11:30:04
35,"맥쿼리인프라, 英 투자법인이 지분율 8.2%로 늘려",2017-04-12 16:18:16
36,"[ET투자뉴스]맥쿼리인프라, ""신규 배당수익 인식…"" 매수-삼성증권",2017-05-02 12:51:07
37,"[ET투자뉴스]맥쿼리인프라_외국인/개인 순매수, 기관은 순매도(한달누적)",2017-05-18 11:40:07
38,"""맥쿼리인프라, 우량 인프라 펀드"" - SK",2017-05-23 08:00:04
39,"[ET투자뉴스]맥쿼리인프라_현재주가 근처인 8,700원대에 주요매물대가 존재.",2017-06-29 11:37:12
40,"[ET투자뉴스]맥쿼리인프라, ""하반기 주당분배금 …"" OUTPERFORM(유지)-키움증권",2017-07-31 15:07:28
41,"[ET투자뉴스]맥쿼리인프라_거래비중 기관 30.9%, 외국인 20.81%",2017-08-04 09:53:09
42,"[ET투자뉴스]맥쿼리인프라_외국인투자자의 거래참여 활발, 거래비중 24.84%",2017-08-18 12:08:15
43,"맥쿼리인프라, 1500억 규모 유상증자",2017-08-22 14:46:24
44,[ET투자뉴스]맥쿼리인프라_상장주식수 대비 거래량은 0.08%로 적정수준,2017-09-07 09:43:28
45,"[ET투자뉴스]맥쿼리인프라_거래비중 기관 21.17%, 외국인 18.12%",2017-09-08 13:44:11
46,"맥쿼리인프라, 유상증자 앞두고 공매도 급증",2017-09-12 07:05:15
47,맥쿼리인프라투융자회사(MKIF) 유상증자 청약,2017-09-14 13:17:50
48,"[ET투자뉴스]맥쿼리인프라_투심 약세 ,거래량 침체, 현재주가는 보통",2017-09-28 12:50:23
49,"[ET투자뉴스]맥쿼리인프라, ""4분기 성과보수 발…"" OUTPERFORM(MAINTAIN)",2017-10-16 13:03:52
50,"[ET투자뉴스]맥쿼리인프라, ""하반기 주당분배금 …"" OUTPERFORM(MAINTAIN)",2017-11-01 14:28:53
51,"[ET투자뉴스]맥쿼리인프라, ""금리 상승 부담 상…"" 매수-삼성증권",2017-11-03 08:39:06
52,"[ET투자뉴스]맥쿼리인프라_주가와 투자심리는 약세, 거래량은 침체",2017-11-27 09:08:39
53,"[ET투자뉴스]맥쿼리인프라, ""시가 배당수익률 5…"" 중립(유지)-SK증권",2017-11-29 11:01:05
54,"[ET투자뉴스]맥쿼리인프라_거래비중 기관 20.63%, 외국인 21.22%",2017-12-06 09:19:48
55,"[ET투자뉴스]맥쿼리인프라, ""2017년 하반기 …"" 매수(유지)-NH투자증권",2017-12-18 09:46:25
56,"[ET투자뉴스]맥쿼리인프라_투심과 거래량은 약세, 현재주가는 보통",2017-12-26 13:06:28
