,title,url,text,date
0,저작권료 인상에 음원가격도 들썩,http://news.mk.co.kr/newsRead.php?year=2019&no=1108,"국내 음원 업체들이 새 저작권 징수 규정 적용으로 신규 가입자에 대한 서비스 요금을 인상했다. 지니뮤직은 실시간 듣기(스트리밍) 가격을 올렸지만 대부분 업체들은 스트리밍 가격을 동결하고, 다운로드 상품 가격은 올렸다. 1일 음원 제공 업체들은 음원 스트리밍을 이용할 때 저작권자에게 돌아가는 비율을 종전 60%에서 65%로 5%포인트 올렸지만 스트리밍 요금은 대부분 동결하거나 소폭 인상했다. 하지만 MP3 파일 다운로드가 포함된 스트리밍·다운로드 결합 상품 요금은 비교적 큰 폭으로 올렸다. 이는 스트리밍 서비스는 1만원당 저작권료가 500원꼴이어서 원가 인상 부담이 덜하지만 다운로드 패키지인 `묶음 상품`의 할인율은 크게 줄었기 때문이다.이에 따라 시장 점유율 1위 업체인 멜론은 모바일 무제한 듣기에 MP3 파일 50곡 다운로드가 결합된 상품의 한 달 이용권을 지난해 월 1만5500원에서 올해 2만원으로 약 30% 인상했다. googletag.display(""google_dfp_MC_2x1,fluid"");하지만 모바일 기기에서 무제한 듣기가 가능한 `모바일 스트리밍 클럽` 요금은 7400원으로 동결했다. 카카오 관계자는 ""원가는 높아졌지만 음악 산업을 확대시키자는 취지에 따라 스트리밍 요금은 변동하지 않았다""고 말했다. 벅스뮤직은 `모든 기기 무제한 듣기+30곡 다운로드` 요금(정기 결제)을 월 8400원에서 9400원으로 올렸지만 모바일 스트리밍만 이용하면 5400원으로 동일하다. googletag.display(""google_dfp_MC_250x250""); 반면 지니뮤직은 스마트폰 전용 요금 `스마트 음악감상`을 7400원, `무제한 스트리밍 음악감상`을 8400원으로 지난해보다 각각 600원 인상했다. 음원 가격 인상은 당분간 이어질 가능성이 크다. 묶음 상품의 할인율이 해마다 계속해서 줄어드는 데다 결합 상품(스트리밍+다운로드) 중 스트리밍 서비스에 적용되는 할인율(50%)도 2021년부터는 사라지기 때문이다. 새 규정은 음원 스트리밍을 이용할 때 저작권자에게 돌아가는 비율을 종전 60%에서 65%로 5%포인트 올리는 내용을 골자로 한다. 다만 이번에 인상된 가격은 신규 가입자들에게만 적용된다. 예전부터 자동 결제 방식으로 가입해 이용한 경우는 같은 가격으로 계속 이용할 수 있다.[이동인 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]        window.jQuery || document.write(""<script src='//common.mk.co.kr/common/include/mklib/jquery.js'>"")",2019.01.01
1,"신재민, 국채발행 외압 증거 제시…기재부 ""檢 고발할것""",http://news.mk.co.kr/newsRead.php?year=2019&no=1192," 청와대가 적자국채 발행을 강요했다고 폭로한 신재민 전 기획재정부 사무관(32·행정고시 57회)이 당시 기재부 담당 차관보와의 소셜네트워크서비스(SNS) 대화 내용 캡처를 그 근거로 공개했다. 그는 각종 보고서와 차관보의 지시 내용 등 적자채무 발행과 관련한 증거를 더 가지고 있다며 추가로 공개하겠다는 뜻도 밝혔다.기재부는 신 전 사무관이 공무상 비밀을 누설했다며 검찰에 고발할 예정이다. 기재부는 또 적자성 국채 추가발행을 놓고 청와대와 논의한 것은 인정하면서도 이는 신 전 사무관의 주장처럼 강압이 아닌 적법한 절차였다고 반론했다.googletag.display(""google_dfp_MC_2x1,fluid"");신 전 사무관은 1일 고려대 재학생·졸업생 인터넷 커뮤니티인 `고파스` 게시판에 `국채관련 카톡 증거입니다`라는 제목의 글을 올렸다. 이 글에는 2017년 11월 14일 신 전 사무관과 이름을 가린 채 직위만 나와 있는 `차관보` `과장` 등 세 명이 들어와 있는 카카오톡 대화방을 캡처한 이미지가 게시됐다. 캡처 이미지 속에서 차관보는 ""핵심은 17년 국가채무비율을 덜 떨어뜨리는 겁니다"" ""올해 추경부대의견 0.5조 이미 갚았는가?""라고 말했고, 대화를 캡처한 당사자는 ""네, 이미 상환조치하였습니다""라고 답했다.신 전 사무관은 게시판 글에 ""언론에 보도되고 있는 당시 담당 사무관님 핸드폰 유출된 것에 `차관이 받아와서`라는 표현이 이미 나와있다""고도 적었다.신 전 사무관이 이날 게재한 글은 기재부 차관이 국채 추가발행 주문을 받아오고, 차관보가 이를 수행한 정황을 정리한 내용으로 보인다. 기재부가 지난달 31일 브리핑을 통해 ""청와대의 강압이 없었다""고 반론한 것에 대한 재반박인 셈이다.신 전 사무관은 ""청와대 관련 추가 폭로나 KT&G건 증거는 더 없다""면서도 ""적자국채 관련 당시 카톡, 보고서들을 내일이나 모레 영상을 찍으며 다 공개하겠다""고 덧붙였다.googletag.display(""google_dfp_MC_250x250""); 기재부는 1일 보도참고자료를 배포해 ""공무원이 직무상 취득한 비밀을 누설하는 것은 금지돼 있다""며 신 전 사무관을 검찰에 고발할 계획이라 밝혔다. 기재부는 또 청와대와 국채 추가발행을 논의한 사실은 인정하면서도 이는 강압이 아니었다고 반론했다. 기재부는 ""청와대도 의견을 제시했으나 강압적 지시는 전혀 없었고, 청와대와 협의를 거쳐 기재부가 최종적으로 결정한 것""이라며 ""만약 강압적인 지시가 있었다면, 궁극적으로 적자국채 추가발행으로 연결됐을 것이나, 추가적인 적자국채 발행은 없었다""고 했다.  [김태준 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]        window.jQuery || document.write(""<script src='//common.mk.co.kr/common/include/mklib/jquery.js'>"")",2019.01.01
2,카풀 대립·가짜뉴스 단속…`묘수` 찾을까,http://news.mk.co.kr/newsRead.php?year=2019&no=1107,"◆ 카카오, 택시 갈등 넘어 성공할까새해에도 `모빌리티 바람`은 거셀 것으로 보인다. 공유경제 확산과 이동 수단 변화는 세계적인 흐름이다. 시장조사업체 내비건트리서치에 따르면, `컨버전스의 꽃`인 세계 자율주행차시장은 2020년 전체 자동차시장의 2%인 2000억달러를 차지할 것으로 예상된다. 일론 머스크 테슬라 최고경영자(CEO)는 100% 자율주행이 가능한 지하 고속 터널을 선보였고, 드론은 물품 배달을 넘어 사람 운송에까지 다가서고 있다. 국내에서는 카카오가 택시업계와 갈등을 어떻게 봉합하고 카풀 서비스를 본격화할 것인지에 관심이 쏠린다. 택시업계가 파업과 반발 끝에 대화 창구마저 닫아버린 가운데, 별다른 서비스 개선책 없이 서울시가 택시요금을 인상할 예정이어서 고객 불만은 높아지고 있다.◆ 유튜브 등 가짜뉴스 단속 약발 먹힐까googletag.display(""google_dfp_MC_2x1,fluid"");최근 내로라하는 정치인이 대거 유튜브로 전선을 옮겼다. 유튜브는 유명인이 아니어도 기득권을 공격할 수 있는 강력한 플랫폼으로 새해에도 이슈의 중심이 될 것으로 보인다. 문제는 가짜뉴스다. 정치권에서 반대 진영의 영상물을 `가짜뉴스`라고 몰아세우며 격론을 벌이고 있는 가운데, 유튜브에 방송법을 적용하는 방안 등도 논란이 될 전망이다. 특히 전문가들은 말을 배우기도 전에 유튜브를 시작하는 아이부터 유튜브를 소일거리로 삼는 노년층까지 각자의 채널에 추천된 콘텐츠를 소비하는 `확증편향 효과`를 우려한다. 비슷한 사람끼리 뭉쳐 있을 때 편협한 사고방식이 증폭되는 현상이 심화하고 있기 때문이다. googletag.display(""google_dfp_MC_250x250""); ◆ 다음 유니콘 스타트업은 어디?2017년까지 한국의 유니콘 기업(매출 1조원 이상 기업)은 쿠팡, 옐로모바일 등 2곳에 불과했다. 그러나 작년 엘앤피코스메틱(마스크팩 `메디힐`), 비바리퍼블리카(금융 서비스 `토스`), 크래프톤(인기 게임 `배틀그라운드` 운영), 우아한형제(배달 애플리케이션 서비스 `배달의 민족`) 등 4곳의 유니콘 기업이 탄생했다. 이로써 국내 유니콘 기업은 6개로 늘어났고 역대 최대 규모인 3조4000억원이 스타트업에 투자됐다. 올해는 하이퍼커넥트, 직방, 베스핀글로벌, 야놀자, 마켓컬리, 빅히트엔터테인먼트 등의 기업가치가 상승하면서 최소 3~4개의 유니콘 기업이 탄생할 것으로 기대된다. [신현규 기자 / 이동인 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]        window.jQuery || document.write(""<script src='//common.mk.co.kr/common/include/mklib/jquery.js'>"")",2019.01.01
3,"카카오M, 김성수 신임대표 취임…""콘텐츠 제작 강화""",http://news.mk.co.kr/newsRead.php?year=2019&no=1843,"김성수 카카오M 신임대표 [사진 제공 : 카카오] 종합 콘텐츠 기업 카카오M은 2일 주주총회를 열고 김성수 신임대표를 선임했다고 밝혔다.김 신임대표는 지난 1995년 투니버스 방송본부장을 시작으로 2001년부터 온미디어 대표이사, 2011년 CJ ENM 대표이사를 역임한 콘텐츠 산업분야 전문 경영인이다. 콘텐츠에 대한 과감한 투자와 특유의 리더십을 바탕으로, 수 많은 드라마와 예능 히트작을 성공시키며 대한민국 방송 콘텐츠 산업의 지형도를 변화시킨 인물이란 평가를 받는다.김 신임대표는 ""카카오M의 음악 및 영상 콘텐츠 사업 강점과, 성장 잠재력, 콘텐츠 생태계를 더욱 성장시킬 비즈니스 포트폴리오를 통해 글로벌 콘텐츠 강자로 성장시켜 나갈 것""이라고 포부를 밝혔다.googletag.display(""google_dfp_MC_2x1,fluid"");그는 먼저 카카오M의 경우 오리지널 콘텐츠의 중요성이 커지고 있는 만큼 드라마를 비롯한 디지털 영상 콘텐츠 제작을 강화해 K-콘텐츠 리더로 자리매김 하겠단 각오다. 특히, 1020세대를 중심으로 콘텐츠 소비 습관이 변화하고, 글로벌 시장에서 모바일 콘텐츠 제작이 활성화된 요즘 트렌드에 발맞춰 모바일 유통에 용이한 웰메이드 숏폼(Short-form) 콘텐츠 제작 사업을 강화하기로 했다. 아울러 기존에 크리스피 스튜디오를 중심으로 선보였던 웹드라마와 웹예능에 더해 올해에는 다양한 장르와 다수의 오리지널 작품을 선보이며 콘텐츠 제작 투자와 지원에 나설 방침이다. 카카오M에서 제작된 콘텐츠는 카카오가 보유한 모바일 플랫폼을 통해 유통된다.googletag.display(""google_dfp_MC_250x250""); 앞서 카카오M은 지난해 영상 콘텐츠 시장 내 경쟁력 확보를 위해 ▲BH엔터테인먼트(이병헌, 한효주, 한지민, 김고은 등 소속) ▲제이와이드 컴퍼니(김태리, 이상윤, 최다니엘 등) ▲숲 엔터테인먼트(공유, 공효진, 전도연 등) 3개 사를 비롯해 국내 광고모델 캐스팅 1위 사업자인 레디 엔터테인먼트 인수를 완료했다. 이로써 기존에 보유하고 있던 킹콩 바이 스타쉽(유연석, 이광수, 이동욱 등)과 E&T스토리 엔터테인먼트(김소현)에 더해 100여명의 소속 배우를 확보, 영상산업 전 분야에 걸친 밸류체인에서 영향력을 갖게 될 것으로 보인다. 카카오M은 멜론을 통한 음원 유통 시장 내 부동의 1위를 유지하고 있는 음악콘텐츠 사업과 더불어 드라마 제작사 `메가몬스터`, 모바일 영상 제작소 `크리스피 스튜디오`를 중심으로 영상 콘텐츠 사업도 운영하고 있다. ▲페이브(아이유 등) ▲크래커(더 보이즈) ▲스타쉽(케이윌, 소유, 다솜 등) ▲플랜에이(에이핑크) ▲문화인(박정현 등) 등 아티스트 매니지먼트와 다수의 배우 매니지먼트 역시 보유하고 있다.[디지털뉴스국 배윤경 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]        window.jQuery || document.write(""<script src='//common.mk.co.kr/common/include/mklib/jquery.js'>"")",2019.01.02
4,"카카오엠, 엔터社 잇단 인수…콘텐츠플랫폼 확장 `잰걸음`",http://news.mk.co.kr/newsRead.php?year=2019&no=3670,"카카오엠(M)이 연예 매니지먼트 회사 지분을 대거 인수하며 엔터테인먼트 사업 강화에 나섰다. 카카오는 향후 `대형 종합 콘텐츠 플랫폼` 회사로 거듭날 것이란 계획을 세우고 있다.2일 카카오엠은 BH엔터테인먼트, 숲엔터테인먼트, 제이와이드컴퍼니, 레디엔터테인먼트 지분을 인수했다고 공시를 통해 밝혔다. 이들은 모두 연예인 매니지먼트를 주요 사업으로 하는 회사다. 카카오엠이 이번에 인수한 지분은 BH엔터테인먼트 7만주(189억원), 숲엔터테인먼트 28만200주(140억원), 제이와이드컴퍼니 7만주(59억5000만원), 레디엔터테인먼트 5만6000주(111억원) 등이다. 총인수비용은 약 500억원이며 이번 인수로 카카오엠은 이들 회사 지분 100%를 소유하게 됐다. 카카오엠은 지난해 6월에도 이들 업체에 지분투자를 한 바 있으며 이번 인수를 통해 나머지 지분까지 모두 사들이며 경영권을 확보했다. 카카오엠이 인수한 BH엔터테인먼트에는 이병헌 한가인 한효주 한지민 등이 소속돼 있다. 숲엔터테인먼트 소속 연예인으로는 공유 서현진 공효진 정유미 등이 있으며, 제이와이드컴퍼니에는 이상윤 김태리 강예원 등이 소속돼 있다. 레디엔터테인먼트는 국내 1위 광고 모델 캐스팅 에이전시다.카카오엠은 이번 인수에 대해 ""향후 시장 경쟁력 강화와 기업가치 제고 효과가 기대된다""고 설명했다. 카카오는 2016년에는 가수 아이유가 소속돼 있던 로엔엔터테인먼트 지분 76.4%를 1조8700억원에 인수한 바 있다. 카카오엠은 로엔엔터테인먼트의 후신이다. 음악·영상 콘텐츠 제공을 주요 사업으로 하는 카카오엠은 이번 인수로 기존에 인수한 엔터테인먼트사 소속 연예인들과 협업해 콘텐츠 시장 경쟁력을 확보해나갈 것으로 전망된다. 카카오엠은 기존에 보유하고 있던 킹콩 바이 스타쉽(유연석 이광수 이동욱 등), E&T스토리 엔터테인먼트(김소현)에 더해 100여 명에 이르는 방대한 소속 배우 리스트를 확보하게 됐다. 카카오는 엔터테인먼트사 인수와 함께 멜론, 카카오페이지라는 플랫폼 라인업을 구축해 종합 콘텐츠 회사로 거듭난다는 복안이다. 멜론의 국내 음원 스트리밍 서비스 시장점유율은 60%에 달한다.또 카카오는 지난해 카카오페이지를 통해 국내 최대 출판 만화업체인 대원씨아이 지분 19.80%를 150억원에 인수했다. 또 학산문화사 지분 19.80%와 서울미디어코믹스 지분 22.22%도 각각 146억원과 100억원에 사들였다. [박재영 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]        window.jQuery || document.write(""<script src='//common.mk.co.kr/common/include/mklib/jquery.js'>"")",2019.01.02
5,"카카오, 택시회사 50곳과 손잡고 `승차거부 없는` 프리미엄 서비스",http://news.mk.co.kr/newsRead.php?year=2019&no=6379,"카풀 문제로 택시업계와 갈등을 빚고 있는 카카오모빌리티가 명분보다 실리를 앞세운 택시 업체들과 상생에 나섰다. 택시운송가맹사업자 타고솔루션즈와 업무협약을 맺고 `승차거부 없는` 프리미엄 택시 서비스를 도입한다.카카오모빌리티는 택시운송가맹사업자 타고솔루션즈와 택시 서비스 고급화와 택시 수익 구조 개선을 목적으로 하는 `택시 산업 혁신을 위한 공동 사업 업무 협약`을 체결했다고 3일 밝혔다.이 협약에 따라 카카오모빌리티는 택시 호출 시 도착지를 가려 승차 거부를 방지할 계획이다. 여성전용택시도 도입한다. 타고솔루션즈는 오광원 한미산업운수 대표가 설립한 택시운송 가맹 사업체다. 타고솔루션즈는 50개 택시 법인이 5000대 이상의 택시를 운행한다. googletag.display(""google_dfp_MC_2x1,fluid"");택시운송 가맹 사업이란 택시 이용 편의성을 높일 수 있도록 기존 택시 운수 범위를 확대해 다양한 택시 부가서비스를 제공하는 사업이다. 서울시는 여객자동차운수사업법에 따른 요건을 갖추고 4000대 이상의 택시를 가맹점 회원으로 모집하면 여성전용택시, 펫택시, 대절택시, 수요응답형 택시 서비스 등 다양한 사업을 할 수 있도록 했다. 이 회사는 다양한 택시 부가 서비스를 개발해 사용자 요구에 맞추고 택시 기사의 수입도 올려 택시 업계의 근무 환경을 개선한다는 목표를 갖고 있다.카카오모빌리티와 타고솔루션즈는 `승차거부 없고 친절한 고품격 택시 서비스`를 선보인다. 무엇보다 특화된 택시 부가 서비스를 시행해 승객에게는 쾌적하고 승차거부 없는 친절한 택시 서비스를 선보인다. 택시 기사의 수입 구조도 개선해 후생을 증진할 수 있는 토대를 제공하는 데도 앞장설 예정이다.googletag.display(""google_dfp_MC_250x250""); 두 회사는 다양한 형태의 프리미엄 택시 서비스를 단계적으로 선보일 예정이다. 서울을 시작으로 점차 전국으로 확대해 나간다는 계획이다. 또한 택시 호출 시스템을 개편해 프리미엄 택시 서비스와 여성전용 택시 등 서비스를 시작할 예정이다. 타고솔루션즈는 기존 택시 서비스와 차별화하기 위해 전문교육기관과 제휴하고, 기사 대상으로 고급 택시 전문 교육도 진행한다. 정주환 카카오모빌리티 대표는 ""고품격 택시서비스가 택시 시장의 변화와 성장을 일으키는 스마트 교통시스템으로 자리 잡을 수 있도록 지원을 아끼지 않을 것""이라고 말했다. [이동인 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]        window.jQuery || document.write(""<script src='//common.mk.co.kr/common/include/mklib/jquery.js'>"")",2019.01.03
6,"카카오뱅크, 이용우·윤호영 공동대표이사 연임 결정",http://news.mk.co.kr/newsRead.php?year=2019&no=5999,"이용우·윤호영 카카오뱅크 공동대표 [사진제공 = 카카오뱅크] 한국카카오은행은 3일 이사회를 열고 이용우(Yan)·윤호영(Daniel) 현 공동대표이사의 연임을 결정했다. 이용우·윤호영 카카오뱅크 공동대표이사는 ""카카오뱅크는 앞으로도 금융 상품과 서비스에 대한 재해석을 통해, 더 편리하고 더 많은 혜택을 드릴 수 있는 은행이 되도록 최선을 다하겠다""고 말했다. 공동대표이사의 임기는 2019년 1월 3일부터 2년이다. [디지털뉴스국 김진솔 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]        window.jQuery || document.write(""<script src='//common.mk.co.kr/common/include/mklib/jquery.js'>"")",2019.01.03
7,"KB손보, 고객맞춤 `통합 모바일 앱` 선보여",http://news.mk.co.kr/newsRead.php?year=2019&no=4600," KB손해보험은 3일 보험관련 서비스를 하나의 앱으로 통합한 고객 맞춤형 모바일 앱을 출시했다고 밝혔다.이번에 출시한 통합 모바일 앱은 업계 최대인 6가지 방식(패턴,간편비밀번호,지문, 카카오페이,휴대폰인증,공인인증)의 로그인 수단을 적용해 이용 편의성을 높였다. 또 고객별로 달라지는 초기화면 및 보험정보 안내 메시지 제공을 통해 빠른 계약관리를 지원한다.보험금 청구 서비스도 편리해졌다.청구절차를 기존 7단계에서 4단계로 간소화 하고 청구서류함을 신설해 보다 쉽게 보험금 청구를 할 수 있도록 했다. googletag.display(""google_dfp_MC_2x1,fluid"");업계 최초로 청구 단계별 중간저장 기능을 적용한 것도 주목할 만하다.기존에는 청구과정에서 중도에 종료 시 기록이 사라져 불편했으나 중간저장 기능을 신설해 앱과 홈페이지 구분없이 직전 청구 단계에 이어서 진행이 가능토록 구현했다.이 외에도 걸음 정보 연동 건강안내와 대기 및 기상상태에 따른 질병 예측 예방정보(감기,식중독,천식) 등을 제공하는 헬스케어 기반 `라이프 케어`서비스를 도입했다. 동작 인식을 통한 긴급출동 접수 기능, QR코드를 활용한 서류접수 기능 등 스마트기기에 특화한 다채로운 서비스를 새롭게 제공한 점도 특징이다.googletag.display(""google_dfp_MC_250x250""); 허영재 고객컨택부 부장은 ""이번 통합 모바일 앱 출시로 기존 모바일 홈페이지와 더불어 고객이 보다 스마트하게 서비스를 이용할 수 있게 됐다""며 ""앞으로도 고객 맞춤형서비스의 추가적인 개발을 통해 고객 입장에서 서비스를 제공해 나가겠다""고 말했다. KB손해보험은 신규 앱 출시를 기념해 1월 말까지 계약보유 고객을 대상으로 모바일 앱을 설치하고 로그인 시 추첨을 통해 다양한 경품을 제공한다.[디지털뉴스국 류영상 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]        window.jQuery || document.write(""<script src='//common.mk.co.kr/common/include/mklib/jquery.js'>"")",2019.01.03
8,"서울시 ""앞으로 세금납부 새로운 앱으로 간편하게 하세요""",http://news.mk.co.kr/newsRead.php?year=2019&no=8105,"서울시 세금납부 개선 홍보 포스터 [사진제공 = 서울시] 지난 2일부터 지방세, 상하수도 요금 등 각종 서울시 세금 납부가 더욱 편리해졌다.서울시는 그동안 앱(STAX)을 통해 세금을 납부한 경우 우리은행 계좌로만 이체가 가능했지만, 앞으로는 총 23개 은행계좌로 납부할 수 있다고 4일 밝혔다. 또 신용카드 자동납부 신청과 본인인증도 기존 간편비밀번호(6자리) 외에 지문·패턴·얼굴인식(Face ID) 같은 간편 인증방식이 추가됐다.다만 STAX 앱 이용자는 기존 앱을 삭제하고 새로운 앱을 내려받아야 한다.googletag.display(""google_dfp_MC_2x1,fluid"");세금납부 홈페이지(ETAX)도 개편했다. 검색창이 하나로 통합해 메인화면에서 전자납부번호, 납세번호, 상하수도고객번호 중 하나만 입력하면 간편하게 본인의 납부세금을 조회할 수 있다. 상하수도 요금도 지방세처럼 예약이체가 가능하고, 신청만 하면 `카카오 알림톡`으로 지방세 납부안내를 받아볼 수 있다. googletag.display(""google_dfp_MC_250x250""); 아울러 세금납부 고객센터(콜센터)에선 대기인원 수·예상 대기시간 안내, 콜백(call back) 같은 새로운 서비스를 도입했다. 하철승 시 재무국장은 ""시금고가 104년 만에 처음으로 변경됨에 따라 기존 콜센터 전화번호 변경, 세금납부 앱(STAX) 재설치 등이 필요하다""면서 ""세금납부 서비스가 더 쉽고 편리하게 개선된 만큼 다소 불편하더라도 양해를 바라며 앞으로도 다양한 서비스를 지속 발굴할 예정이다""라고 말했다.[디지털뉴스국 조성신 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]        window.jQuery || document.write(""<script src='//common.mk.co.kr/common/include/mklib/jquery.js'>"")",2019.01.04
9,"‘로드오브다이스’, 2주년 업데이트 사전예약 ‘돌입’",http://game.mk.co.kr/view.php?year=2019&no=8568,"카카오게임즈(각자대표 남궁훈, 조계현)와 엔젤게임즈(대표 박지훈)는 모바일게임 ‘로드오브다이스 for kakao’의 서비스 2주년 기념 업데이트 ‘두번째 생일파티’의 사전예약을 오는 21일까지 진행한다. 참여자에게는 ‘다이서 선택 상자’가 제공되며 친구 초대 이벤트를 통해 최대 1000개의 ‘마법석’과 ‘5성 다이서 소환권’이 추가 지급될 예정이다.오는 23일 예정된 ‘두번째 생일파티’ 업데이트의 경우 신규 던전 콘텐츠 ‘시험의 탑’을 비롯해 웨딩 컨셉트 스킨, 진영 카드 시스템 추가 등이 골자다.‘시험의 탑’은 기존의 협동 콘텐츠인 보스 처치 전투 방식에서 탈피해 두 명의 이용자가 협동해서 다양한 목표를 공략하는 던전이다.또 이용자를 대상으로 진행한 ‘보고 싶은 다이서 스킨 투표’에서 1위를 차지한 ‘웨딩 컨셉트 스킨’이 추가되고 ‘다이서 5성 히든 스킬’ 전체 공개와 ‘다이서 잔영 카드’ 시스템이 도입된다.여기에 신규 및 복귀 이용자들을 위해 튜토리얼 개선과 재료 재화 시스템 업그레이드도 이뤄진다.이에 앞서 오는 12일에 이용자 간담회를 열고 향후 업데이트 방향을 발표하고 Q&A, PvP 토너먼트, 경품 추첨 행사 등의 프로그램을 진행한다.[임영택기자 ytlim@mkinternet.com][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]                        window.jQuery || document.write(""<script src='http://common.mk.co.kr/common/include/mklib/jquery.js'>"")",2019.01.04
