,title,time
0,"현대미포조선, 2016년 우려보다는 희망차다",2016-01-11 14:11:04
1,"""현대미포조선 자회사, 순자산가치에 부정적"" - 유진",2016-01-18 08:28:02
2,"NH투자 ""현대미포조선 적자 공사 마무리…목표가↑""",2016-01-20 08:02:56
3,"울산현대미포조선 뉴페이스 김무건, U-19 대표팀 제주 훈련 소집 명단 발탁",2016-01-21 15:13:02
4,"[특징주]현대미포조선, 외국계 증권사 매수세 유입되며 강세",2016-01-22 14:18:17
5,현대미포조선·BGF리테일·한샘·대림산업…'공매도 공세' 꿋꿋하게 견딘다,2016-01-28 18:11:03
6,"현대미포조선, 노환균 변호사를 사외이사 신규선임..3월18일 주총",2016-02-23 16:36:03
7,"현대미포조선, 2월 매출 2746억…전년比 5.2%↑",2016-03-15 18:55:36
8,"현대미포조선, 매출 4조6천524억·영업이익 665억",2016-03-18 14:38:16
9,"NH투자증권 ""현대미포조선, 이익개선 가시화·신규수주 기대""",2016-03-23 08:39:22
10,"[등기임원 연봉]현대미포조선, 강환구 사장 작년 보수 6.1억 지급",2016-03-30 18:17:04
11,"국민연금, 현대미포조선 지분 4.16% 취득",2016-04-05 15:33:04
12,"하나금투 ""현대미포조선, 가장 빠른 실적 성장""",2016-04-15 08:47:33
13,"현대미포조선, ‘실적 개선세’에 강세",2016-04-27 09:49:03
14,현대미포조선 하청 근로자 사망사고 발생,2016-05-11 10:38:06
15,수주 가뭄 속 현대미포조선 PC선 2척 수주,2016-05-12 09:59:27
16,"""연속 흑자인데 왜 희망퇴직"" 현대미포조선 노조 반발",2016-05-14 07:07:01
17,"교보증권 ""현대미포조선, 가장 빨리 턴어라운드 성공""",2016-05-23 08:38:38
18,"<특징주> 현대미포조선, 구조조정 수혜 기대감에 강세",2016-05-26 09:31:59
19,"동부증권 ""현대미포조선, 구조조정 수혜…최선호주 추천""",2016-06-07 08:44:23
20,"-실업축구- 울산현대미포조선, 김해시청과 2-2 무승부",2016-06-08 18:50:07
21,"현대미포조선, 하반기부터 신규 수주 증가-NH",2016-06-17 08:31:02
22,"[@기업분석리포트]현대미포조선, ""16.2Q 무난한 …"" HOLD(M)-유안타증권",2016-06-29 08:54:04
23,"NH투자증권 ""현대미포조선 2분기 실적, 기대치 웃돌 듯""",2016-07-05 08:55:47
24,"포스코·현대미포조선, 세계 최초 고망간강 적용 LNG 벌크선 건조",2016-07-06 14:44:07
25,"[@테마]현대미포조선_증권사 목표주가 87,400원, 현재주가 대비 28% 추가 상승여",2016-07-11 11:30:11
26,"현대미포조선 “하이투자증권 매각주관사 최종 선정""",2016-07-13 18:40:03
27,"[특징주]현대미포조선, 외국인 '사자'…7만원선↑",2016-07-15 09:37:15
28,"안산시민구단, 선수단 베이스는 '울산현대미포조선'",2016-07-22 14:44:02
29,"이베스트증권 ""현대미포조선 2분기 깜짝 실적""",2016-07-28 08:43:38
30,"[fnRASSI]현대미포조선, 52주 신고가 달성...2.86% ↑",2016-08-01 13:44:03
31,"[Hot-Line] 현대미포조선, 2분기 호실적에 연일 신고가",2016-08-04 09:30:12
32,[빅데이터MSI]빅데이터MSI 톱5…현대미포조선·한화케미칼·코스맥스·강원랜드·세방전지,2016-08-05 10:02:17
33,"현대미포조선 노조, '그룹 조선 3사 연대파업' 동참 힘들듯",2016-08-19 10:13:30
34,현대미포조선 파업 찬반투표 돌입,2016-08-22 11:14:22
35,"""현대미포조선, 수주 공백 지속…매출 급감 우려""-현대",2016-08-30 08:07:03
36,"NH투자 ""현대미포조선, 수주 증가로 저평가 해소""",2016-08-31 08:10:12
37,"메리츠증권 ""현대미포조선, 9월 실적 변곡점 될 듯""",2016-09-08 08:57:23
38,현대미포조선 올해 임단협 타결 '20년 무분규' 기록,2016-09-12 13:19:16
39,현대미포조선 한달새 수주잔량 7.5% 감소...말라가는 韓 도크,2016-09-19 10:54:57
40,"현대미포조선 노사, 임단협 조인식…'20년 무분규'(종합)",2016-09-21 14:58:30
41,"현대미포조선, 8월 매출액 2583억…전년比 20%↓",2016-09-22 17:46:05
42,"[@기업분석리포트]현대미포조선, ""Shale의 영향력…"" 매수-하나금융투자",2016-10-11 08:45:06
43,"일감 없으면 고용 없다…현대미포조선 노조 ""수주 지원"" 선언",2016-10-19 07:07:01
44,"현대미포조선, MR탱커 수주 전망 개선-하나",2016-10-25 08:16:07
45,"[@기업분석리포트]현대미포조선, ""수주 전망은 분명 …"" 매수-하나금융투자",2016-10-27 09:09:07
46,"현대미포조선, 한영석 대표이사 선임",2016-11-03 15:26:17
47,"우승 마지막 기회 울산현대미포조선, 내셔널리그 챔프 1차전 승리",2016-11-09 21:48:03
48,"<특징주> 현대미포조선, 현대重 사업분사 수혜 기대감에 강세",2016-11-16 09:24:19
49,<실업축구> 역사 속으로 사라지는 현대미포조선…마지막 우승상금 전액 기부,2016-11-17 11:32:46
50,"현대미포조선, 올들어 두번째 사망사고 발생",2016-11-24 15:23:05
51,"하나금투 ""PC탱커 발주량 증가…현대미포조선 수혜""",2016-12-01 08:38:10
52,"<특징주> 현대미포조선, 중동 수주 개선 기대감에 강세",2016-12-12 09:08:59
53,"<울산소식> 현대미포조선, '1천원의 사랑나눔' 성금 전달",2016-12-20 14:16:20
54,"현대미포조선, 구조조정으로 이익률 개선될 것-케이프",2017-01-02 08:42:02
55,"현대미포조선, 올해 예상 매출액 2조3000억원",2017-01-03 08:37:00
56,"[로봇뉴스]현대미포조선_외국인과 개인은 순매도, 기관은 순매수(한달누적)",2017-01-04 10:36:03
57,"[장마감공시]현대미포조선 ""하이투자증권 주식 매각 연내 마무리""",2017-01-16 08:32:54
58,"""현대미포조선, 부족한 수주잔고에 대한 관심 필요"" - KB",2017-01-18 08:16:09
59,현대미포조선 이웃나눔 성금품 전달,2017-01-19 16:34:55
60,"[fnRASSI]현대미포조선, 52주 신저가 기록...-2.39% ↓",2017-01-31 11:20:01
61,[로봇뉴스]현대미포조선_상장주식수 대비 거래량은 0.58%로 적정수준,2017-02-03 12:54:03
62,"중형선 전문 현대미포조선, 잇단 수주 낭보",2017-02-06 17:52:07
63,"[ET투자뉴스]현대미포조선, ""아직은 안개 속 구…"" HOLD(유지)-동부증권",2017-02-10 09:15:07
64,경총 노사협력 대상에 현대미포조선·한전,2017-02-28 11:10:02
65,"[ET투자뉴스]현대미포조선, ""MR탱커의 수주상담…"" 매수-하나금융투자",2017-03-13 09:42:06
66,"[특징주]현대미포조선, 신설 현대로보틱스 지분 매각 기대↑",2017-03-16 09:20:03
67,"[STOCK] 현대미포조선, 환율강세에 수주전망 긍정적 '매수'",2017-03-20 09:21:03
68,"[ET투자뉴스]현대미포조선, ""일급 선사들이 움직…"" 매수-하나금융투자",2017-03-21 08:39:03
69,"[특징주]현대미포조선, 지배구조 개편 수혜로 52주 신고가 눈앞",2017-03-22 11:00:03
70,그룹 분할ㆍ지배구조 개편 기대… 현대중공업ㆍ현대미포조선 신고가 경신,2017-03-23 10:12:02
71,"[Hot-Line] “현대미포조선, 유례 없는 불황에 수주 쏠림 현상 가능성""…목표가↑",2017-03-24 08:46:03
72,[빅데이터MSI]시장심리 톱5…신한지주·SKC·삼성전기·현대미포조선·삼성SDI,2017-03-29 09:10:02
73,"[ET투자뉴스]현대미포조선, ""Slot이 동나고 …"" 매수(유지)-이베스트투자증권",2017-03-31 09:15:03
74,"신한금투 ""현대미포조선, 수주 회복 기대…목표가↑""",2017-04-06 08:33:35
75,"폐업한 현대미포조선 하청 조합원 2명 고공농성…""고용승계""",2017-04-11 08:33:41
76,"현대미포조선, 올 3월 4.8억弗 수주…전년比 921.28%↑",2017-04-17 17:29:36
77,현대미포조선 1분기 영업익 512억원…11.1% 감소,2017-04-27 10:08:11
78,"현대미포조선, 최장 1개월 무급휴직 노조에 제의(종합)",2017-04-28 11:12:14
79,"[ET투자뉴스]현대미포조선, ""주가는 선가와 실적…"" 매수-하나금융투자",2017-05-16 08:40:07
