Date,Open,High,Low,Close,Adj Close,Volume
2016-05-12,24400.000000,25450.000000,24350.000000,25350.000000,24522.800781,1396488
2016-05-13,25100.000000,25150.000000,24350.000000,24550.000000,23748.906250,1410734
2016-05-16,24650.000000,24850.000000,24400.000000,24450.000000,23652.169922,481660
2016-05-17,24700.000000,25000.000000,24300.000000,24400.000000,23603.800781,628123
2016-05-18,24500.000000,25000.000000,24300.000000,24900.000000,24087.484375,772539
2016-05-19,24900.000000,25050.000000,24300.000000,24500.000000,23700.537109,797303
2016-05-20,24700.000000,25600.000000,24650.000000,25500.000000,24667.906250,1864825
2016-05-23,25600.000000,25750.000000,25250.000000,25450.000000,24619.537109,654909
2016-05-24,25750.000000,26000.000000,25400.000000,25600.000000,24764.642578,827666
2016-05-25,25950.000000,26100.000000,25700.000000,26100.000000,25248.328125,1130701
2016-05-26,26000.000000,26100.000000,25500.000000,25600.000000,24764.642578,683459
2016-05-27,25450.000000,25950.000000,25400.000000,25800.000000,24958.117188,635835
2016-05-30,26100.000000,26100.000000,25550.000000,25700.000000,24861.380859,533459
2016-05-31,25600.000000,25950.000000,25400.000000,25800.000000,24958.117188,1218400
2016-06-01,26000.000000,26200.000000,25500.000000,25500.000000,24667.906250,870933
2016-06-02,25600.000000,25650.000000,25150.000000,25300.000000,24474.433594,833919
2016-06-03,25150.000000,25350.000000,24000.000000,24150.000000,23361.958984,2692962
2016-06-07,24200.000000,24650.000000,24150.000000,24650.000000,23845.642578,1561296
2016-06-08,24650.000000,24700.000000,24300.000000,24600.000000,23797.275391,935823
2016-06-09,24600.000000,24600.000000,23950.000000,24050.000000,23265.222656,1963553
2016-06-10,24000.000000,24350.000000,24000.000000,24050.000000,23265.222656,898721
2016-06-13,24000.000000,24150.000000,23750.000000,24050.000000,23265.222656,686228
2016-06-14,23750.000000,24000.000000,23550.000000,23600.000000,22829.906250,998248
2016-06-15,23750.000000,24650.000000,23700.000000,24450.000000,23652.169922,1508134
2016-06-16,24600.000000,24650.000000,24100.000000,24100.000000,23313.589844,640705
2016-06-17,24200.000000,24500.000000,24150.000000,24200.000000,23410.326172,648228
2016-06-20,24600.000000,24950.000000,24400.000000,24850.000000,24039.117188,843461
2016-06-21,24750.000000,25150.000000,24400.000000,25150.000000,24329.328125,1207417
2016-06-22,25200.000000,25650.000000,24950.000000,25450.000000,24619.537109,1062869
2016-06-23,25400.000000,25450.000000,25000.000000,25300.000000,24474.433594,594817
2016-06-24,25500.000000,25500.000000,23650.000000,24600.000000,23797.275391,2019693
2016-06-27,24150.000000,24700.000000,24150.000000,24650.000000,23845.642578,764378
2016-06-28,24350.000000,25150.000000,24350.000000,25050.000000,24232.589844,739726
2016-06-29,25400.000000,25850.000000,25200.000000,25650.000000,24813.013672,1116744
2016-06-30,26250.000000,26700.000000,26000.000000,26400.000000,25538.539063,2294529
2016-07-01,26500.000000,26900.000000,26150.000000,26650.000000,25780.380859,1422346
2016-07-04,26700.000000,27350.000000,26700.000000,26800.000000,25925.486328,1941750
2016-07-05,26800.000000,27000.000000,26300.000000,26900.000000,26022.222656,663647
2016-07-06,26850.000000,27100.000000,26600.000000,26700.000000,25828.748047,924287
2016-07-07,27050.000000,27800.000000,26950.000000,27800.000000,26892.853516,1964215
2016-07-08,27800.000000,28900.000000,27700.000000,28850.000000,27908.591797,2608159
2016-07-11,29050.000000,29100.000000,28200.000000,28900.000000,27956.960938,1424759
2016-07-12,28950.000000,28950.000000,28250.000000,28550.000000,27618.382813,933141
2016-07-13,28650.000000,28900.000000,28150.000000,28150.000000,27231.433594,1339483
2016-07-14,28400.000000,28850.000000,28350.000000,28500.000000,27570.011719,1208054
2016-07-15,28650.000000,29150.000000,28500.000000,28900.000000,27956.960938,1141992
2016-07-18,29000.000000,29200.000000,28500.000000,28750.000000,27811.855469,748189
2016-07-19,29200.000000,29700.000000,29100.000000,29550.000000,28585.750000,1866012
2016-07-20,29700.000000,29850.000000,29100.000000,29700.000000,28730.855469,1156886
2016-07-21,29750.000000,30150.000000,29550.000000,29800.000000,28827.593750,1389020
2016-07-22,30000.000000,30100.000000,29600.000000,30100.000000,29117.802734,1077856
2016-07-25,29950.000000,30050.000000,29100.000000,29100.000000,28150.435547,1026182
2016-07-26,29200.000000,29500.000000,28850.000000,29250.000000,28295.541016,999809
2016-07-27,29450.000000,30500.000000,29000.000000,30450.000000,29456.382813,1812251
2016-07-28,31000.000000,31400.000000,30050.000000,30650.000000,29649.855469,2366912
