Date,Open,High,Low,Close,Adj Close,Volume
2016-06-01,1042000.000000,1061000.000000,1038000.000000,1057000.000000,1014894.437500,31198
2016-06-02,1048000.000000,1100000.000000,1048000.000000,1082000.000000,1038898.687500,38616
2016-06-03,1081000.000000,1084000.000000,1071000.000000,1084000.000000,1040819.000000,23160
2016-06-07,1116000.000000,1117000.000000,1082000.000000,1088000.000000,1044659.625000,24485
2016-06-08,1099000.000000,1104000.000000,1072000.000000,1100000.000000,1056181.625000,33964
2016-06-09,1091000.000000,1102000.000000,1082000.000000,1102000.000000,1058101.875000,36185
2016-06-10,1092000.000000,1099000.000000,1056000.000000,1067000.000000,1024496.125000,38469
2016-06-13,1049000.000000,1065000.000000,1042000.000000,1056000.000000,1013934.375000,28708
2016-06-14,1056000.000000,1073000.000000,1050000.000000,1072000.000000,1029296.937500,32567
2016-06-15,1071000.000000,1072000.000000,1052000.000000,1055000.000000,1012974.062500,25498
2016-06-16,1056000.000000,1070000.000000,1050000.000000,1061000.000000,1018735.187500,18642
2016-06-17,1061000.000000,1068000.000000,1039000.000000,1039000.000000,997611.500000,24346
2016-06-20,1059000.000000,1059000.000000,1042000.000000,1055000.000000,1012974.062500,12734
2016-06-21,1055000.000000,1085000.000000,1055000.000000,1085000.000000,1041779.125000,20893
2016-06-22,1093000.000000,1093000.000000,1063000.000000,1081000.000000,1037938.312500,23770
2016-06-23,1088000.000000,1099000.000000,1071000.000000,1090000.000000,1046580.000000,18275
2016-06-24,1080000.000000,1095000.000000,1045000.000000,1064000.000000,1021615.625000,31906
2016-06-27,1064000.000000,1084000.000000,1057000.000000,1074000.000000,1031217.312500,22739
2016-06-28,1069000.000000,1095000.000000,1065000.000000,1080000.000000,1036978.250000,22319
2016-06-29,1079000.000000,1138000.000000,1079000.000000,1112000.000000,1067703.625000,36781
2016-06-30,1122000.000000,1166000.000000,1107000.000000,1117000.000000,1072504.375000,46348
2016-07-01,1128000.000000,1149000.000000,1120000.000000,1126000.000000,1081146.000000,19219
2016-07-04,1136000.000000,1157000.000000,1128000.000000,1150000.000000,1104189.750000,24650
2016-07-05,1162000.000000,1169000.000000,1146000.000000,1154000.000000,1108030.500000,26254
2016-07-06,1148000.000000,1164000.000000,1135000.000000,1156000.000000,1109950.875000,24591
2016-07-07,1157000.000000,1181000.000000,1156000.000000,1181000.000000,1133955.000000,18593
2016-07-08,1166000.000000,1199000.000000,1093000.000000,1128000.000000,1083066.125000,95705
2016-07-11,1103000.000000,1119000.000000,1061000.000000,1088000.000000,1044659.625000,109078
2016-07-12,1096000.000000,1116000.000000,1088000.000000,1115000.000000,1070584.125000,50169
2016-07-13,1111000.000000,1123000.000000,1088000.000000,1095000.000000,1051380.625000,44583
2016-07-14,1096000.000000,1120000.000000,1096000.000000,1120000.000000,1075384.875000,39505
2016-07-15,1122000.000000,1141000.000000,1113000.000000,1120000.000000,1075384.875000,35621
2016-07-18,1128000.000000,1150000.000000,1120000.000000,1145000.000000,1099389.000000,26110
2016-07-19,1155000.000000,1166000.000000,1142000.000000,1146000.000000,1100349.250000,39986
2016-07-20,1143000.000000,1148000.000000,1122000.000000,1136000.000000,1090747.375000,21275
2016-07-21,1142000.000000,1142000.000000,1111000.000000,1113000.000000,1068663.750000,27188
2016-07-22,1117000.000000,1128000.000000,1100000.000000,1112000.000000,1067703.625000,24021
2016-07-25,1128000.000000,1145000.000000,1080000.000000,1089000.000000,1045619.750000,38898
2016-07-26,1089000.000000,1098000.000000,1082000.000000,1092000.000000,1048500.250000,40356
2016-07-27,1078000.000000,1079000.000000,1003000.000000,1003000.000000,963045.562500,203687
2016-07-28,1032000.000000,1042000.000000,1002000.000000,1010000.000000,969766.750000,164029
2016-07-29,1018000.000000,1029000.000000,1001000.000000,1008000.000000,967846.437500,96355
2016-08-01,990000.000000,995000.000000,942000.000000,947000.000000,909276.375000,148745
2016-08-02,949000.000000,962000.000000,938000.000000,955000.000000,916957.625000,71483
2016-08-03,950000.000000,969000.000000,945000.000000,960000.000000,921758.437500,62397
2016-08-04,960000.000000,964000.000000,946000.000000,963000.000000,924638.937500,37698
2016-08-05,955000.000000,958000.000000,912000.000000,920000.000000,883351.812500,106934
2016-08-08,925000.000000,956000.000000,901000.000000,952000.000000,914077.125000,130315
2016-08-09,960000.000000,967000.000000,939000.000000,946000.000000,908316.125000,55423
2016-08-10,946000.000000,979000.000000,945000.000000,977000.000000,938081.312500,55127
2016-08-11,983000.000000,989000.000000,967000.000000,983000.000000,943842.250000,41391
2016-08-12,986000.000000,991000.000000,978000.000000,990000.000000,950563.500000,48422
2016-08-16,994000.000000,998000.000000,972000.000000,976000.000000,937121.125000,39016
2016-08-17,971000.000000,986000.000000,960000.000000,969000.000000,930400.000000,30865
