Date,Open,High,Low,Close,Adj Close,Volume
2016-06-01,86200.000000,88200.000000,85900.000000,87000.000000,85757.242188,169168
2016-06-02,86800.000000,87800.000000,84800.000000,85100.000000,83884.375000,171974
2016-06-03,84700.000000,86200.000000,83800.000000,84700.000000,83490.085938,182618
2016-06-07,84700.000000,85600.000000,83800.000000,85600.000000,84377.234375,176390
2016-06-08,85200.000000,85600.000000,84400.000000,85300.000000,84081.515625,115259
2016-06-09,85000.000000,87300.000000,84900.000000,86200.000000,84968.671875,246808
2016-06-10,86200.000000,86200.000000,84200.000000,85000.000000,83785.812500,97042
2016-06-13,84500.000000,84800.000000,83700.000000,84200.000000,82997.226563,71491
2016-06-14,83300.000000,83900.000000,81300.000000,82000.000000,80828.664063,134836
2016-06-15,82100.000000,84800.000000,81300.000000,84300.000000,83095.804688,136141
2016-06-16,83800.000000,84300.000000,81300.000000,82900.000000,81715.796875,191295
2016-06-17,83700.000000,84300.000000,81600.000000,81600.000000,80434.367188,113399
2016-06-20,82600.000000,84100.000000,81800.000000,83300.000000,82110.085938,108302
2016-06-21,82800.000000,83300.000000,80300.000000,81000.000000,79842.945313,156438
2016-06-22,81000.000000,82000.000000,80400.000000,81600.000000,80434.367188,102253
2016-06-23,81100.000000,81300.000000,79500.000000,80800.000000,79645.804688,126011
2016-06-24,81100.000000,81300.000000,76400.000000,77300.000000,76195.796875,288792
2016-06-27,75300.000000,79500.000000,74900.000000,79000.000000,77871.523438,135716
2016-06-28,77000.000000,78800.000000,76700.000000,77800.000000,76688.656250,153861
2016-06-29,78500.000000,79300.000000,78000.000000,78100.000000,76984.382813,124533
2016-06-30,79000.000000,79100.000000,78300.000000,78800.000000,77674.367188,59563
2016-07-01,78800.000000,80700.000000,78800.000000,80700.000000,79547.234375,123105
2016-07-04,80700.000000,81000.000000,80000.000000,81000.000000,79842.945313,110428
2016-07-05,80500.000000,80900.000000,79100.000000,79500.000000,78364.367188,120769
2016-07-06,79100.000000,79600.000000,76500.000000,77800.000000,76688.656250,145227
2016-07-07,78700.000000,78900.000000,77100.000000,78500.000000,77378.664063,115216
2016-07-08,78500.000000,79900.000000,78000.000000,79900.000000,78758.656250,92338
2016-07-11,80500.000000,80800.000000,78400.000000,79300.000000,78167.226563,98350
2016-07-12,79100.000000,83200.000000,78500.000000,83200.000000,82011.515625,266211
2016-07-13,83600.000000,84800.000000,81700.000000,82000.000000,80828.664063,187606
2016-07-14,82700.000000,89500.000000,82700.000000,89200.000000,87925.804688,687116
2016-07-15,89100.000000,91700.000000,88400.000000,91000.000000,89700.093750,340467
2016-07-18,90700.000000,91700.000000,89500.000000,91200.000000,89897.234375,146369
2016-07-19,91200.000000,91500.000000,89700.000000,89700.000000,88418.664063,142311
2016-07-20,89500.000000,91200.000000,88500.000000,90000.000000,88714.382813,117620
2016-07-21,89700.000000,93000.000000,89100.000000,92200.000000,90882.953125,175842
2016-07-22,92200.000000,92700.000000,90500.000000,91200.000000,89897.234375,95482
2016-07-25,91200.000000,92100.000000,89600.000000,90100.000000,88812.953125,107827
2016-07-26,90300.000000,92800.000000,89800.000000,92300.000000,90981.539063,160179
2016-07-27,92400.000000,93700.000000,91300.000000,92900.000000,91572.960938,137510
2016-07-28,92900.000000,92900.000000,89700.000000,90200.000000,88911.531250,189492
2016-07-29,90200.000000,90800.000000,88200.000000,89400.000000,88122.953125,180494
