Date,Open,High,Low,Close,Adj Close,Volume
2016-06-01,206500.000000,211000.000000,206000.000000,209000.000000,174166.359375,234024
2016-06-02,208500.000000,209000.000000,203000.000000,205500.000000,171249.687500,311295
2016-06-03,207000.000000,208000.000000,202000.000000,203000.000000,169166.390625,298378
2016-06-07,209000.000000,217500.000000,208500.000000,217000.000000,180833.046875,569744
2016-06-08,218500.000000,224500.000000,218500.000000,224500.000000,187083.031250,490261
2016-06-09,221000.000000,224000.000000,215500.000000,216500.000000,180416.375000,1416562
2016-06-10,217500.000000,220000.000000,216000.000000,216500.000000,180416.375000,242979
2016-06-13,214000.000000,217500.000000,211000.000000,211000.000000,175832.968750,257039
2016-06-14,210500.000000,212500.000000,204000.000000,206000.000000,171666.390625,402773
2016-06-15,205000.000000,209000.000000,203500.000000,206500.000000,172083.078125,355375
2016-06-16,208500.000000,209500.000000,202500.000000,204000.000000,169999.718750,282818
2016-06-17,205000.000000,206500.000000,198000.000000,199000.000000,165833.078125,579584
2016-06-20,202000.000000,206000.000000,201500.000000,205000.000000,170833.062500,407995
2016-06-21,207000.000000,207500.000000,204000.000000,206500.000000,172083.078125,229335
2016-06-22,207000.000000,208000.000000,204500.000000,205000.000000,170833.062500,205716
2016-06-23,204000.000000,205000.000000,201000.000000,204500.000000,170416.375000,215669
2016-06-24,206000.000000,206500.000000,188000.000000,194000.000000,161666.375000,884589
2016-06-27,190000.000000,196500.000000,189500.000000,196500.000000,163749.734375,413465
2016-06-28,195000.000000,199500.000000,194000.000000,199000.000000,165833.078125,422269
2016-06-29,201000.000000,204000.000000,200500.000000,202000.000000,169611.500000,475225
2016-06-30,204500.000000,205000.000000,199000.000000,201500.000000,169191.703125,234719
2016-07-01,202500.000000,203000.000000,200500.000000,201000.000000,168771.890625,198962
2016-07-04,203500.000000,210000.000000,202000.000000,210000.000000,176328.828125,419090
2016-07-05,211000.000000,211000.000000,206500.000000,207500.000000,174229.625000,198482
2016-07-06,206000.000000,206000.000000,199000.000000,201000.000000,168771.890625,300359
2016-07-07,202500.000000,203500.000000,200500.000000,202500.000000,170031.359375,170363
2016-07-08,200500.000000,202000.000000,197500.000000,200500.000000,168352.031250,303646
2016-07-11,203500.000000,208000.000000,202500.000000,207000.000000,173809.843750,285198
2016-07-12,209500.000000,213000.000000,208500.000000,212500.000000,178427.984375,379373
2016-07-13,221000.000000,227000.000000,220000.000000,227000.000000,190603.031250,806843
2016-07-14,226000.000000,230000.000000,223000.000000,225500.000000,189343.546875,522176
2016-07-15,227000.000000,229000.000000,223500.000000,224500.000000,188503.906250,302977
2016-07-18,227500.000000,229500.000000,224500.000000,228000.000000,191442.703125,401378
2016-07-19,227500.000000,228000.000000,218000.000000,220000.000000,184725.421875,384684
2016-07-20,217000.000000,219000.000000,215000.000000,218500.000000,183465.937500,349817
2016-07-21,219500.000000,219500.000000,214000.000000,215500.000000,180946.968750,200283
2016-07-22,216500.000000,222500.000000,215500.000000,219500.000000,184305.578125,328243
2016-07-25,218500.000000,222500.000000,215500.000000,222500.000000,186824.578125,335566
2016-07-26,220500.000000,227000.000000,218500.000000,227000.000000,190603.031250,403897
2016-07-27,227000.000000,230500.000000,225500.000000,227500.000000,191022.875000,284890
2016-07-28,229000.000000,231000.000000,227500.000000,228500.000000,191862.531250,199369
2016-07-29,226500.000000,229000.000000,223000.000000,226500.000000,190183.187500,224076
2016-08-01,225500.000000,229500.000000,224500.000000,228000.000000,191442.703125,182457
2016-08-02,223500.000000,228500.000000,221500.000000,227500.000000,191022.875000,234708
2016-08-03,224000.000000,227000.000000,222000.000000,223000.000000,187244.406250,244653
2016-08-04,223500.000000,224500.000000,217000.000000,218000.000000,183046.125000,245753
2016-08-05,218000.000000,222000.000000,216500.000000,221500.000000,185984.906250,181098
2016-08-08,215000.000000,217000.000000,208000.000000,214000.000000,179687.453125,619599
2016-08-09,214000.000000,222000.000000,213500.000000,221000.000000,185565.093750,248658
2016-08-10,218000.000000,222000.000000,216500.000000,220500.000000,185145.234375,194235
2016-08-11,219500.000000,219500.000000,215500.000000,215500.000000,180946.968750,190748
2016-08-12,217000.000000,222500.000000,216500.000000,221000.000000,185565.093750,257446
2016-08-16,223000.000000,226000.000000,221000.000000,224500.000000,188503.906250,346953
2016-08-17,222500.000000,223500.000000,220000.000000,223000.000000,187244.406250,133325
2016-08-18,222500.000000,224500.000000,219500.000000,220000.000000,184725.421875,253206
2016-08-19,219500.000000,221500.000000,216500.000000,218000.000000,183046.125000,167578
2016-08-22,218500.000000,219000.000000,215000.000000,218000.000000,183046.125000,127631
2016-08-23,217000.000000,219000.000000,214500.000000,217000.000000,182206.437500,169196
2016-08-24,217000.000000,225500.000000,217000.000000,224000.000000,188084.078125,322217
2016-08-25,224500.000000,227000.000000,221000.000000,224500.000000,188503.906250,318110
2016-08-26,224500.000000,225500.000000,222000.000000,222500.000000,186824.578125,205840
2016-08-29,221500.000000,227500.000000,220000.000000,226500.000000,190183.187500,331679
2016-08-30,229000.000000,231000.000000,226500.000000,229500.000000,192702.203125,296000
2016-08-31,228000.000000,234500.000000,228000.000000,231000.000000,193961.687500,482620
2016-09-01,230500.000000,234500.000000,228500.000000,232000.000000,194801.343750,256012
2016-09-02,232000.000000,234500.000000,229000.000000,231000.000000,193961.687500,267242
