Date,Open,High,Low,Close,Adj Close,Volume
2016-06-01,222000.000000,222500.000000,214500.000000,218500.000000,178405.671875,267695
2016-06-02,216000.000000,217500.000000,215000.000000,216000.000000,176364.421875,143748
2016-06-03,218500.000000,220000.000000,216500.000000,220000.000000,179630.453125,129860
2016-06-07,219000.000000,221500.000000,216000.000000,221500.000000,180855.171875,122945
2016-06-08,219000.000000,220000.000000,217000.000000,219000.000000,178813.921875,193471
2016-06-09,217500.000000,219000.000000,214000.000000,217000.000000,177180.937500,380552
2016-06-10,214500.000000,215000.000000,212000.000000,212000.000000,173098.421875,172038
2016-06-13,212000.000000,212000.000000,208000.000000,211000.000000,172281.906250,134159
2016-06-14,211000.000000,217000.000000,210000.000000,216000.000000,176364.421875,173458
2016-06-15,214000.000000,217500.000000,213500.000000,216000.000000,176364.421875,141843
2016-06-16,214000.000000,216000.000000,210500.000000,210500.000000,171873.671875,111792
2016-06-17,211500.000000,212500.000000,209000.000000,210000.000000,171465.406250,105528
2016-06-20,211000.000000,213000.000000,209000.000000,209500.000000,171057.156250,146755
2016-06-21,210000.000000,210500.000000,208500.000000,209500.000000,171057.156250,101612
2016-06-22,209000.000000,212000.000000,209000.000000,210000.000000,171465.406250,119387
2016-06-23,209000.000000,211500.000000,209000.000000,210000.000000,171465.406250,75945
2016-06-24,210500.000000,212500.000000,204500.000000,208500.000000,170240.656250,206943
2016-06-27,208500.000000,214000.000000,207500.000000,211500.000000,172690.171875,190822
2016-06-28,210000.000000,213000.000000,210000.000000,212500.000000,173506.671875,149553
2016-06-29,211000.000000,218000.000000,211000.000000,217000.000000,178018.671875,181552
2016-06-30,218000.000000,219500.000000,215000.000000,215500.000000,176788.125000,97543
2016-07-01,215000.000000,219000.000000,215000.000000,218500.000000,179249.218750,129341
2016-07-04,216000.000000,219500.000000,215500.000000,219000.000000,179659.390625,109169
2016-07-05,217500.000000,218500.000000,215500.000000,216500.000000,177608.500000,73690
