"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 12월 30일","389,500","384,500","394,000","383,500","809.94K","1.30%"
"2020년 12월 29일","384,500","380,500","385,500","378,000","0.08K","3.08%"
"2020년 12월 28일","373,000","374,000","377,000","369,500","0.02K","-0.27%"
"2020년 12월 27일","374,000","374,000","374,000","374,000","-","0.00%"
"2020년 12월 24일","374,000","378,500","380,000","372,000","461.50K","-0.93%"
"2020년 12월 23일","377,500","381,000","385,500","377,000","0.07K","0.40%"
"2020년 12월 22일","376,000","380,000","389,500","376,000","0.04K","-0.92%"
"2020년 12월 21일","379,500","367,500","380,000","367,000","0.69K","3.41%"
"2020년 12월 20일","367,000","367,000","367,000","367,000","-","0.00%"
"2020년 12월 18일","367,000","369,000","369,500","365,500","425.19K","-0.54%"
"2020년 12월 17일","369,000","373,500","374,000","368,500","0.05K","-0.81%"
"2020년 12월 16일","372,000","373,000","375,000","371,000","0.20K","0.27%"
"2020년 12월 15일","371,000","373,000","375,500","369,000","0.03K","-0.67%"
"2020년 12월 14일","373,500","376,000","381,000","372,500","0.44K","-0.27%"
"2020년 12월 13일","374,500","374,500","374,500","374,500","-","0.00%"
"2020년 12월 11일","374,500","374,000","380,000","373,000","435.67K","1.08%"
"2020년 12월 10일","370,500","371,000","378,000","367,500","0.00K","-1.20%"
"2020년 12월 09일","375,000","375,000","378,000","373,000","576.66K","0.13%"
"2020년 12월 08일","374,500","387,500","387,500","374,000","0.16K","-2.73%"
"2020년 12월 07일","385,000","394,500","395,000","380,500","0.44K","-1.16%"
"2020년 12월 06일","389,500","389,500","389,500","389,500","-","0.00%"
"2020년 12월 04일","389,500","374,000","392,500","371,000","1.55M","4.14%"
"2020년 12월 03일","374,000","373,000","374,000","369,000","0.07K","0.27%"
"2020년 12월 02일","373,000","375,500","375,500","371,000","417.61K","-0.40%"
"2020년 12월 01일","374,500","369,500","375,000","369,000","0.02K","1.77%"
"2020년 11월 30일","368,000","373,000","374,000","368,000","533.94K","-1.34%"
"2020년 11월 29일","373,000","373,000","373,000","373,000","-","0.00%"
"2020년 11월 27일","373,000","375,500","377,500","371,000","334.04K","-0.27%"
"2020년 11월 26일","374,000","367,500","374,500","367,000","0.07K","1.91%"
"2020년 11월 25일","367,000","377,000","377,000","366,000","0.15K","-1.61%"
"2020년 11월 24일","373,000","367,000","376,500","367,000","0.10K","1.63%"
"2020년 11월 23일","367,000","368,000","369,000","365,000","0.21K","0.41%"
"2020년 11월 22일","365,500","365,500","365,500","365,500","-","0.00%"
"2020년 11월 20일","365,500","366,500","368,000","362,000","263.46K","0.00%"
"2020년 11월 19일","365,500","367,000","371,500","365,500","0.06K","0.00%"
"2020년 11월 18일","365,500","360,000","368,500","360,000","0.35K","0.97%"
"2020년 11월 17일","362,000","358,500","365,000","356,000","0.16K","0.00%"
"2020년 11월 16일","362,000","370,500","371,000","359,500","0.13K","-0.96%"
"2020년 11월 15일","365,500","365,500","365,500","365,500","-","0.00%"
"2020년 11월 13일","365,500","355,000","366,000","355,000","532.86K","2.24%"
"2020년 11월 12일","357,500","360,000","364,000","355,000","0.23K","0.56%"
"2020년 11월 11일","355,500","352,000","358,500","348,000","0.01K","-0.14%"
"2020년 11월 10일","356,000","357,500","361,500","354,000","0.40K","-4.17%"
"2020년 11월 09일","371,500","375,000","375,500","367,500","0.68K","0.27%"
"2020년 11월 08일","370,500","370,500","370,500","370,500","-","0.00%"
"2020년 11월 06일","370,500","367,000","380,500","365,500","1.31M","2.07%"
"2020년 11월 05일","363,000","357,000","368,500","353,500","0.04K","0.97%"
"2020년 11월 04일","359,500","340,000","361,000","340,000","1.57K","6.84%"
"2020년 11월 03일","336,500","334,500","339,000","332,000","0.04K","0.60%"
"2020년 11월 02일","334,500","330,500","335,500","328,000","318.11K","1.36%"
"2020년 11월 01일","330,000","330,000","330,000","330,000","-","0.00%"
"2020년 10월 30일","330,000","343,000","344,000","330,000","549.57K","-3.79%"
"2020년 10월 29일","343,000","342,000","345,000","338,500","1.02K","-1.01%"
"2020년 10월 28일","346,500","335,500","346,500","335,000","0.08K","3.74%"
"2020년 10월 27일","334,000","324,500","343,500","324,500","0.02K","1.37%"
"2020년 10월 26일","329,500","337,500","341,000","328,000","0.10K","-3.09%"
"2020년 10월 25일","340,000","340,000","340,000","340,000","-","0.00%"
"2020년 10월 23일","340,000","348,500","350,000","340,000","614.06K","-2.58%"
"2020년 10월 22일","349,000","351,500","351,500","345,500","0.35K","-1.27%"
"2020년 10월 21일","353,500","351,000","361,000","351,000","0.23K","0.28%"
"2020년 10월 20일","352,500","348,000","352,500","340,000","0.01K","-0.14%"
"2020년 10월 19일","353,000","358,500","362,500","352,000","1.04K","-1.26%"
"2020년 10월 18일","357,500","357,500","357,500","357,500","-","0.00%"
"2020년 10월 16일","357,500","361,000","362,000","355,000","398.18K","-1.24%"
"2020년 10월 15일","362,000","368,500","368,500","360,000","0.17K","-1.76%"
"2020년 10월 14일","368,500","370,000","375,000","366,500","0.07K","-0.94%"
"2020년 10월 13일","372,000","374,500","377,000","371,500","0.02K","0.13%"
"2020년 10월 12일","371,500","383,000","383,000","371,000","0.05K","-1.98%"
"2020년 10월 11일","379,000","379,000","379,000","379,000","-","0.00%"
"2020년 10월 08일","379,000","383,500","387,000","379,000","621.77K","-0.39%"
"2020년 10월 07일","380,500","378,000","381,500","376,000","0.02K","-0.26%"
"2020년 10월 06일","381,500","373,000","383,500","370,000","0.22K","2.97%"
