"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 09일","558,000","554,000","561,000","551,000","770.29K","1.82%"
"2021년 04월 08일","548,000","539,000","561,000","534,000","902.31K","1.11%"
"2021년 04월 07일","542,000","544,000","544,000","527,000","0.17K","-0.37%"
"2021년 04월 06일","544,000","506,000","545,000","505,000","0.18K","8.37%"
"2021년 04월 05일","502,000","503,000","505,000","500,000","306.96K","0.20%"
"2021년 04월 04일","501,000","501,000","501,000","501,000","-","0.00%"
"2021년 04월 02일","501,000","508,000","508,000","499,000","296.10K","0.40%"
"2021년 04월 01일","499,000","501,000","504,000","492,000","0.04K","0.20%"
"2021년 03월 31일","498,000","498,500","499,000","496,500","0.01K","0.91%"
"2021년 03월 30일","493,500","490,000","497,000","489,500","308.30K","1.23%"
"2021년 03월 29일","487,500","496,000","496,000","485,000","0.08K","-1.52%"
"2021년 03월 28일","495,000","495,000","495,000","495,000","-","0.00%"
"2021년 03월 26일","495,000","488,000","495,000","486,000","372.68K","2.06%"
"2021년 03월 25일","485,000","489,000","491,000","482,000","0.18K","-1.42%"
"2021년 03월 24일","492,000","487,000","492,000","482,000","0.05K","0.31%"
"2021년 03월 23일","490,500","496,000","503,000","485,500","0.03K","-0.71%"
"2021년 03월 22일","494,000","493,500","496,500","488,000","0.01K","0.30%"
"2021년 03월 21일","492,500","492,500","492,500","492,500","-","0.00%"
"2021년 03월 19일","492,500","488,500","497,000","484,000","513.70K","-1.10%"
"2021년 03월 18일","498,000","489,000","504,000","486,500","0.08K","2.68%"
"2021년 03월 17일","485,000","479,000","491,000","478,000","0.57K","1.25%"
"2021년 03월 16일","479,000","481,000","485,000","478,000","0.55K","0.00%"
"2021년 03월 15일","479,000","480,000","482,000","472,000","0.00K","-0.42%"
"2021년 03월 14일","481,000","481,000","481,000","481,000","-","0.00%"
"2021년 03월 12일","481,000","489,000","490,000","477,000","430.60K","0.42%"
"2021년 03월 11일","479,000","461,000","484,500","457,500","0.02K","4.13%"
"2021년 03월 10일","460,000","452,500","464,500","449,500","0.41K","4.31%"
"2021년 03월 09일","441,000","448,000","451,500","434,500","0.00K","-2.86%"
"2021년 03월 08일","454,000","472,000","474,000","454,000","0.58K","-3.61%"
"2021년 03월 07일","471,000","471,000","471,000","471,000","-","0.00%"
"2021년 03월 05일","471,000","469,000","474,000","463,000","707.09K","-2.28%"
"2021년 03월 04일","482,000","487,500","490,000","481,000","0.35K","-2.33%"
"2021년 03월 03일","493,500","490,500","495,000","488,000","0.17K","0.41%"
"2021년 03월 02일","491,500","499,000","504,000","490,000","0.05K","0.72%"
"2021년 03월 01일","488,000","488,000","488,000","488,000","-","0.00%"
"2021년 02월 26일","488,000","497,500","502,000","480,500","1.60M","0.72%"
"2021년 02월 25일","484,500","478,000","484,500","473,500","2.17K","2.32%"
"2021년 02월 24일","473,500","487,000","492,500","472,500","0.01K","-2.77%"
"2021년 02월 23일","487,000","482,000","492,500","477,500","0.55K","-0.71%"
"2021년 02월 22일","490,500","509,000","509,000","490,000","0.14K","-2.68%"
"2021년 02월 21일","504,000","504,000","504,000","504,000","-","0.00%"
