"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 13일","84,000","83,000","84,500","82,800","15.01M","0.96%"
"2021년 04월 12일","83,200","84,000","84,100","83,100","16.47K","-0.48%"
"2021년 04월 11일","83,600","83,600","83,600","83,600","-","0.00%"
"2021년 04월 09일","83,600","84,700","84,900","83,400","17.79M","-1.30%"
"2021년 04월 08일","84,700","85,700","85,700","84,100","19.17M","-1.05%"
"2021년 04월 07일","85,600","86,100","86,200","85,400","5.60K","-0.47%"
"2021년 04월 06일","86,000","86,100","86,200","85,100","10.26K","0.70%"
"2021년 04월 05일","85,400","85,800","86,000","84,800","0.84K","0.71%"
"2021년 04월 04일","84,800","84,800","84,800","84,800","-","0.00%"
"2021년 04월 02일","84,800","84,000","85,200","83,900","22.89M","2.29%"
"2021년 04월 01일","82,900","82,400","83,000","82,000","0.93K","1.84%"
"2021년 03월 31일","81,400","82,100","82,100","81,400","0.54K","-0.97%"
"2021년 03월 30일","82,200","81,600","82,300","81,300","13.05M","0.74%"
"2021년 03월 29일","81,600","81,700","81,700","81,000","9.87K","0.12%"
"2021년 03월 28일","81,500","81,500","81,500","81,500","-","0.00%"
"2021년 03월 26일","81,500","81,400","81,600","81,000","12.73M","0.37%"
"2021년 03월 25일","81,200","80,900","82,100","80,800","0.45K","0.25%"
"2021년 03월 24일","81,000","81,100","81,600","80,700","14.93K","-0.98%"
"2021년 03월 23일","81,800","82,500","82,800","81,800","5.98K","-0.24%"
"2021년 03월 22일","82,000","82,000","82,300","81,700","12.55M","0.12%"
"2021년 03월 21일","81,900","81,900","81,900","81,900","-","0.00%"
"2021년 03월 19일","81,900","82,100","82,500","81,800","15.69M","-1.21%"
"2021년 03월 18일","82,900","82,800","83,800","82,600","2.15K","0.73%"
"2021년 03월 17일","82,300","82,800","82,800","82,100","32.00K","-0.60%"
"2021년 03월 16일","82,800","82,300","83,000","82,100","3.55K","1.22%"
"2021년 03월 15일","81,800","82,800","82,900","81,800","0.40K","-1.21%"
"2021년 03월 14일","82,800","82,800","82,800","82,800","-","0.00%"
"2021년 03월 12일","82,800","83,100","83,500","82,400","13.41M","0.98%"
"2021년 03월 11일","82,000","81,000","82,500","81,000","0.96K","1.36%"
"2021년 03월 10일","80,900","82,400","82,500","80,700","8.86K","-0.61%"
"2021년 03월 09일","81,400","81,500","81,900","80,600","1.24K","-0.73%"
"2021년 03월 08일","82,000","83,000","83,000","81,600","6.72K","-0.12%"
"2021년 03월 07일","82,100","82,100","82,100","82,100","-","0.00%"
"2021년 03월 05일","82,100","81,100","82,600","81,100","20.35M","-0.36%"
"2021년 03월 04일","82,400","82,700","83,100","82,200","8.75K","-1.90%"
"2021년 03월 03일","84,000","83,400","84,000","82,800","3.80K","0.48%"
"2021년 03월 02일","83,600","85,000","85,300","83,000","7.76K","1.33%"
"2021년 03월 01일","82,500","82,500","82,500","82,500","-","0.00%"
"2021년 02월 26일","82,500","82,800","83,400","82,000","36.72M","-3.28%"
"2021년 02월 25일","85,300","84,000","85,400","83,000","6.35K","4.02%"
"2021년 02월 24일","82,000","81,900","83,600","81,400","0.98K","0.00%"
"2021년 02월 23일","82,000","81,300","82,900","81,100","7.03K","-0.24%"
"2021년 02월 22일","82,200","83,800","84,200","82,200","17.48K","-0.48%"
"2021년 02월 21일","82,600","82,600","82,600","82,600","-","0.00%"
"2021년 02월 19일","82,600","82,300","82,800","81,000","25.47M","0.61%"
"2021년 02월 18일","82,100","83,200","83,600","82,100","24.28K","-1.32%"
"2021년 02월 17일","83,200","83,900","84,200","83,000","16.79K","-2.00%"
"2021년 02월 16일","84,900","84,500","86,000","84,200","24.26K","0.83%"
"2021년 02월 15일","84,200","83,700","84,500","83,400","0.80K","3.19%"
"2021년 02월 14일","81,600","81,600","81,600","81,600","-","0.00%"
"2021년 02월 10일","81,600","82,600","82,600","81,600","22.58M","-1.33%"
"2021년 02월 09일","82,700","84,000","84,800","82,700","5.17K","-0.36%"
"2021년 02월 08일","83,000","83,800","84,200","83,000","2.14K","-0.60%"
"2021년 02월 07일","83,500","83,500","83,500","83,500","-","0.00%"
"2021년 02월 05일","83,500","83,100","84,000","82,500","17.14M","1.21%"
"2021년 02월 04일","82,500","83,500","83,800","82,100","2.51K","-2.48%"
"2021년 02월 03일","84,600","84,800","85,400","83,400","8.89K","0.24%"
"2021년 02월 02일","84,400","84,100","86,300","83,700","0.51K","1.69%"
"2021년 02월 01일","83,000","81,800","83,400","81,000","1.45K","1.22%"
"2021년 01월 31일","82,000","82,000","82,000","82,000","-","0.00%"
"2021년 01월 29일","82,000","84,500","85,000","82,000","36.70M","-2.03%"
"2021년 01월 28일","83,700","83,400","85,600","83,300","2.27K","-2.22%"
"2021년 01월 27일","85,600","86,700","87,700","85,600","25.96K","-1.27%"
"2021년 01월 26일","86,700","88,800","89,200","86,500","6.49K","-3.02%"
"2021년 01월 25일","89,400","87,100","89,900","86,400","25.11K","3.00%"
"2021년 01월 24일","86,800","86,800","86,800","86,800","-","0.00%"
"2021년 01월 22일","86,800","89,000","89,700","86,800","30.43M","-1.48%"
"2021년 01월 21일","88,100","87,500","88,600","86,500","5.95K","1.03%"
"2021년 01월 20일","87,200","88,900","88,900","86,500","3.38K","0.23%"
"2021년 01월 19일","87,000","84,600","88,000","83,600","7.56K","2.35%"
"2021년 01월 18일","85,000","86,700","87,300","84,200","19.68K","-3.41%"
"2021년 01월 17일","88,000","88,000","88,000","88,000","-","0.00%"
"2021년 01월 15일","88,000","89,800","91,800","88,000","33.12M","-1.90%"
"2021년 01월 14일","89,700","88,800","90,000","88,700","8.26K","0.00%"
"2021년 01월 13일","89,700","89,900","91,100","89,200","35.22K","-0.99%"
"2021년 01월 12일","90,600","90,500","91,300","87,900","29.49K","-0.44%"
"2021년 01월 11일","91,000","90,100","96,700","90,000","41.26K","2.48%"
"2021년 01월 10일","88,800","88,800","88,800","88,800","-","0.00%"
"2021년 01월 08일","88,800","83,300","90,000","83,000","57.52M","7.12%"
"2021년 01월 07일","82,900","82,800","84,200","82,700","32.47M","0.85%"
"2021년 01월 06일","82,200","83,400","84,400","82,100","13.53K","-2.03%"
"2021년 01월 05일","83,900","81,700","83,900","81,700","8.14K","1.08%"
"2021년 01월 04일","83,000","81,000","84,300","80,300","24.25K","2.47%"
"2020년 12월 30일","81,000","77,400","81,300","77,300","29.12M","3.45%"
"2020년 12월 29일","78,300","78,800","78,900","77,300","12.86K","-0.51%"
"2020년 12월 28일","78,700","79,000","80,100","78,300","31.84K","1.16%"
"2020년 12월 27일","77,800","77,800","77,800","77,800","-","0.00%"
"2020년 12월 24일","77,800","74,100","78,800","74,000","32.32M","5.28%"
"2020년 12월 23일","73,900","72,300","74,000","72,300","6.05K","2.21%"
"2020년 12월 22일","72,300","72,500","73,200","72,200","0.89K","-0.96%"
"2020년 12월 21일","73,000","73,100","73,400","72,000","1.65K","0.00%"
"2020년 12월 20일","73,000","73,000","73,000","73,000","-","0.00%"
"2020년 12월 18일","73,000","73,300","73,700","73,000","17.38M","-0.41%"
"2020년 12월 17일","73,300","73,500","73,700","72,600","1.69K","-0.68%"
"2020년 12월 16일","73,800","74,200","74,500","73,400","0.66K","0.00%"
"2020년 12월 15일","73,800","73,800","74,100","73,300","20.48M","0.00%"
"2020년 12월 14일","73,800","73,600","74,500","73,200","6.44K","0.54%"
"2020년 12월 13일","73,400","73,400","73,400","73,400","-","0.00%"
"2020년 12월 11일","73,400","73,500","73,800","73,100","18.42M","0.69%"
"2020년 12월 10일","72,900","72,800","73,800","72,500","0.99K","-1.35%"
"2020년 12월 09일","73,900","72,100","73,900","72,100","5.79K","3.07%"
"2020년 12월 08일","71,700","72,300","72,900","71,600","4.53K","-1.65%"
"2020년 12월 07일","72,900","72,400","73,500","72,000","6.47K","1.96%"
"2020년 12월 06일","71,500","71,500","71,500","71,500","-","0.00%"
"2020년 12월 04일","71,500","70,400","72,100","70,100","27.84M","2.58%"
"2020년 12월 03일","69,700","69,500","70,500","69,300","0.22K","0.29%"
"2020년 12월 02일","69,500","68,400","69,900","68,300","27.83M","2.51%"
"2020년 12월 01일","67,800","67,200","68,300","67,100","0.26K","1.65%"
"2020년 11월 30일","66,700","68,400","68,600","66,700","39.86M","-2.20%"
"2020년 11월 29일","68,200","68,200","68,200","68,200","-","0.00%"
"2020년 11월 27일","68,200","68,000","68,400","67,600","13.93M","0.29%"
"2020년 11월 26일","68,000","66,300","68,000","66,100","2.15K","2.10%"
"2020년 11월 25일","66,600","67,800","68,300","66,500","6.03K","-1.62%"
"2020년 11월 24일","67,700","67,800","69,400","67,000","2.23K","0.30%"
"2020년 11월 23일","67,500","64,800","67,800","64,800","1.02K","4.33%"
