Date,Open,High,Low,Close,Adj Close,Volume
2016-05-10,26843.830078,27602.666016,26748.974609,27555.238281,27274.544922,312399
2016-05-11,27555.238281,27602.666016,27033.539063,27318.101563,27039.822266,300756
2016-05-12,26891.257813,27365.529297,26796.402344,27033.539063,26758.158203,362167
2016-05-13,27033.539063,27934.656250,27033.539063,27934.656250,27650.097656,433022
2016-05-16,28029.511719,28171.792969,27697.519531,27697.519531,27415.376953,207163
2016-05-17,28124.365234,28266.646484,27080.966797,27175.820313,26898.990234,416824
2016-05-18,27175.820313,27412.957031,26938.683594,26938.683594,26664.271484,254554
2016-05-19,27033.539063,27080.966797,25895.285156,26132.419922,25866.220703,489360
2016-05-20,25800.429688,26227.275391,25658.148438,26084.994141,25819.277344,315245
2016-05-23,26084.994141,26322.128906,25800.429688,26037.566406,25772.332031,198177
2016-05-24,25800.429688,25942.710938,25421.011719,25468.439453,25209.001953,292746
2016-05-25,25658.148438,25847.857422,25373.583984,25373.583984,25115.113281,286754
2016-05-26,25421.011719,25515.867188,25326.158203,25326.158203,25068.169922,197676
2016-05-27,25421.011719,26084.994141,25278.730469,25942.710938,25678.443359,300584
2016-05-30,25942.710938,26227.275391,25705.576172,25705.576172,25443.724609,231916
2016-05-31,25847.857422,26416.984375,25753.001953,26274.703125,26007.054688,415520
2016-06-01,26274.703125,26322.128906,25705.576172,25895.285156,25631.500000,297211
2016-06-02,25847.857422,26132.419922,25705.576172,25753.001953,25490.666016,187742
2016-06-03,25895.285156,25942.710938,25705.576172,25705.576172,25443.724609,140934
2016-06-07,25800.429688,26084.994141,25515.867188,25895.285156,25631.500000,282256
2016-06-08,25800.429688,26464.412109,25563.292969,26416.984375,26147.886719,282001
2016-06-09,26274.703125,26606.693359,25895.285156,25942.710938,25678.443359,582857
2016-06-10,25895.285156,26369.556641,25895.285156,26227.275391,25960.109375,185849
2016-06-13,25610.720703,25800.429688,25183.875000,25373.583984,25115.113281,424980
2016-06-14,25231.302734,25468.439453,24757.029297,25041.593750,24786.503906,326818
2016-06-15,25041.593750,25089.021484,24662.175781,24757.029297,24504.839844,241441
2016-06-16,24757.029297,25041.593750,24187.902344,24282.757813,24035.400391,280307
2016-06-17,24282.757813,25041.593750,24282.757813,24851.884766,24598.728516,192062
2016-06-20,24994.166016,26084.994141,24946.738281,26084.994141,25819.277344,352010
2016-06-21,26132.419922,26227.275391,25658.148438,25658.148438,25396.779297,224387
2016-06-22,25658.148438,25847.857422,25326.158203,25373.583984,25115.113281,154751
2016-06-23,25373.583984,25563.292969,24946.738281,25231.302734,24974.281250,218482
2016-06-24,25421.011719,25515.867188,23713.630859,24472.466797,24223.175781,657459
2016-06-27,23903.339844,24282.757813,23666.203125,24282.757813,24035.400391,409399
2016-06-28,24045.621094,24425.039063,23903.339844,24140.476563,23894.568359,200708
2016-06-29,24425.039063,24709.603516,24235.330078,24662.175781,24410.953125,157946
2016-06-30,24709.603516,24899.312500,24377.611328,24614.748047,24364.007813,165948
2016-07-01,24567.320313,24804.457031,24519.894531,24662.175781,24410.953125,159745
2016-07-04,24709.603516,24899.312500,24614.748047,24614.748047,24364.007813,150699
2016-07-05,24614.748047,24757.029297,24187.902344,24330.185547,24082.343750,240436
2016-07-06,24377.611328,24377.611328,24045.621094,24045.621094,23800.677734,177425
2016-07-07,24140.476563,24377.611328,24093.048828,24235.330078,23988.455078,110439
2016-07-08,24282.757813,24472.466797,23713.630859,24045.621094,23800.677734,169007
2016-07-11,24377.611328,24519.894531,23855.912109,24377.611328,24129.287109,169879
2016-07-12,24567.320313,24662.175781,24330.185547,24377.611328,24129.287109,155042
2016-07-13,24472.466797,24899.312500,24472.466797,24519.894531,24270.121094,292061
2016-07-14,24425.039063,24851.884766,24377.611328,24472.466797,24223.175781,260706
2016-07-15,24757.029297,25610.720703,24709.603516,25421.011719,25162.058594,596618
2016-07-18,25231.302734,25990.138672,25231.302734,25753.001953,25490.666016,280067
2016-07-19,25753.001953,25895.285156,25326.158203,25847.857422,25584.556641,234004
2016-07-20,25847.857422,25895.285156,25468.439453,25515.867188,25255.947266,184431
2016-07-21,25705.576172,26084.994141,25468.439453,26084.994141,25819.277344,246504
2016-07-22,25990.138672,26037.566406,25610.720703,25847.857422,25584.556641,187498
2016-07-25,25847.857422,25942.710938,25515.867188,25942.710938,25678.443359,215399
2016-07-26,25705.576172,25847.857422,25278.730469,25563.292969,25302.890625,210092
2016-07-27,25563.292969,26132.419922,25468.439453,25942.710938,25678.443359,197763
2016-07-28,25942.710938,26986.111328,25942.710938,26986.111328,26711.216797,812668
2016-07-29,26891.257813,27128.392578,26559.265625,27033.539063,26758.158203,289060
2016-08-01,27033.539063,27555.238281,26748.974609,27460.384766,27180.656250,517132
2016-08-02,27365.529297,28029.511719,27365.529297,27792.375000,27509.265625,660475
2016-08-03,27507.810547,27650.093750,26891.257813,27175.820313,26898.990234,352019
2016-08-04,26986.111328,27128.392578,26274.703125,26701.546875,26429.550781,317656
2016-08-05,26559.265625,27080.966797,26559.265625,26606.693359,26335.662109,197690
2016-08-08,26843.830078,27223.248047,26559.265625,26701.546875,26429.550781,230724
2016-08-09,26796.402344,26986.111328,26511.837891,26938.683594,26664.271484,178129
2016-08-10,27223.248047,28076.937500,27080.966797,28076.937500,27790.929688,811984
2016-08-11,28076.937500,28835.775391,27887.228516,28835.775391,28542.037109,1043321
2016-08-12,28835.775391,29784.320313,28551.210938,29689.464844,29387.029297,1255164
2016-08-16,29736.892578,29831.746094,29215.193359,29310.046875,29011.476563,496252
2016-08-17,29215.193359,29310.046875,28029.511719,28408.929688,28119.539063,533201
2016-08-18,28551.210938,29357.474609,28266.646484,28408.929688,28119.539063,373739
2016-08-19,28408.929688,29072.910156,28408.929688,28835.775391,28542.037109,382830
2016-08-22,28978.056641,28978.056641,28029.511719,28740.919922,28448.148438,327081
2016-08-23,28266.646484,28361.501953,25990.138672,26606.693359,26335.662109,1720788
2016-08-24,26701.546875,27223.248047,26274.703125,27128.392578,26852.046875,462349
2016-08-25,27223.248047,27365.529297,26559.265625,26748.974609,26476.494141,364823
2016-08-26,27223.248047,27934.656250,26843.830078,27697.519531,27415.376953,610966
2016-08-29,27555.238281,27792.375000,27033.539063,27602.666016,27321.488281,399619
2016-08-30,27602.666016,30021.457031,27033.539063,29499.755859,29199.253906,2157182
2016-08-31,30400.875000,31207.136719,29736.892578,29926.601563,29621.751953,1375931
2016-09-01,30448.300781,32914.519531,30211.166016,32772.238281,32438.400391,2818626
2016-09-02,33104.226563,33483.644531,32013.400391,33199.082031,32860.894531,1615407
2016-09-05,32345.392578,33104.226563,31728.837891,32535.101563,32203.679688,1658020
2016-09-06,31207.136719,32582.527344,30685.437500,32108.255859,31781.181641,2334641
2016-09-07,32724.810547,32772.238281,31918.546875,32013.400391,31687.292969,687626
2016-09-08,33246.511719,33625.929688,32060.828125,32629.955078,32297.568359,1269516
2016-09-09,32582.527344,32582.527344,30875.146484,31301.992188,30983.132813,939280
2016-09-12,30827.718750,31539.128906,30306.019531,30495.728516,30185.082031,544679
2016-09-13,30780.292969,30922.574219,29736.892578,30400.875000,30091.193359,454492
2016-09-19,29974.029297,30685.437500,29689.464844,30543.156250,30232.025391,410707
2016-09-20,30163.738281,31017.427734,29879.173828,30685.437500,30372.857422,339624
2016-09-21,30353.447266,31112.283203,30116.310547,30543.156250,30232.025391,402840
2016-09-22,31017.427734,32535.101563,30970.001953,32203.109375,31875.070313,904992
2016-09-23,32203.109375,32629.955078,32013.400391,32108.255859,31781.181641,383152
2016-09-26,32108.255859,32203.109375,31349.419922,31539.128906,31217.851563,325999
2016-09-27,31871.119141,33104.226563,31871.119141,32914.519531,32579.232422,852350
2016-09-28,32203.109375,33863.062500,31965.974609,33815.636719,33471.171875,1175769
2016-09-29,33625.929688,33957.917969,33199.082031,33625.929688,33283.398438,421507
2016-09-30,33625.929688,33625.929688,32819.664063,33151.656250,32813.953125,419251
2016-10-04,33104.226563,33199.082031,31633.982422,31871.119141,31546.460938,594951
2016-10-05,31918.546875,31918.546875,31064.855469,31254.564453,30936.187500,452480
2016-10-06,30922.574219,31349.419922,30211.166016,30353.447266,30044.250000,606267
2016-10-07,30068.882813,31112.283203,30021.457031,30827.718750,30513.689453,406156
2016-10-10,31207.136719,31207.136719,30543.156250,30590.583984,30278.970703,219713
2016-10-11,31017.427734,31539.128906,30495.728516,30732.865234,30419.802734,462878
2016-10-12,30448.300781,31396.845703,30400.875000,31349.419922,31030.076172,305016
2016-10-13,31301.992188,31539.128906,30970.001953,30970.001953,30654.523438,283962
2016-10-14,30970.001953,31254.564453,30353.447266,30353.447266,30044.250000,322430
2016-10-17,30353.447266,30638.009766,29499.755859,30211.166016,29903.417969,348012
2016-10-18,30163.738281,30211.166016,29215.193359,29499.755859,29199.253906,532437
2016-10-19,29547.183594,29926.601563,29357.474609,29642.037109,29340.085938,322616
2016-10-20,30068.882813,30590.583984,29689.464844,29689.464844,29387.029297,483099
2016-10-21,29499.755859,30306.019531,29499.755859,29879.173828,29574.806641,248658
2016-10-24,30353.447266,30590.583984,30163.738281,30495.728516,30185.082031,211904
2016-10-25,30353.447266,30543.156250,29974.029297,30068.882813,29762.583984,425043
2016-10-26,30590.583984,30590.583984,28930.628906,29357.474609,29058.421875,536949
2016-10-27,29357.474609,30732.865234,29357.474609,30163.738281,29856.472656,399354
2016-10-28,30116.310547,30448.300781,29404.902344,30306.019531,29997.304688,243442
2016-10-31,30068.882813,30400.875000,29879.173828,30353.447266,30044.250000,194129
2016-11-01,30638.009766,30732.865234,30068.882813,30258.591797,29950.359375,218872
2016-11-02,30400.875000,30638.009766,29547.183594,29642.037109,29340.085938,222839
2016-11-03,29594.611328,30068.882813,29499.755859,29784.320313,29480.919922,207686
2016-11-04,29784.320313,29926.601563,29499.755859,29689.464844,29387.029297,87265
2016-11-07,30021.457031,30211.166016,29310.046875,29642.037109,29340.085938,167548
2016-11-08,30353.447266,30353.447266,29452.328125,30163.738281,29856.472656,251802
2016-11-09,30353.447266,30448.300781,28456.357422,29215.193359,28917.589844,495509
2016-11-10,29879.173828,29879.173828,29120.337891,29120.337891,28823.701172,283961
2016-11-11,28978.056641,29120.337891,27365.529297,27460.384766,27180.656250,890861
2016-11-14,27270.675781,28076.937500,27128.392578,27982.083984,27697.041016,315865
2016-11-15,28314.074219,28788.347656,28219.220703,28551.210938,28260.371094,413190
2016-11-16,28598.638672,28740.919922,28314.074219,28598.638672,28307.316406,258929
2016-11-17,28456.357422,28788.347656,28219.220703,28598.638672,28307.316406,165340
2016-11-18,28456.357422,28930.628906,27887.228516,28930.628906,28635.925781,406040
2016-11-21,28883.201172,29072.910156,28646.066406,28930.628906,28635.925781,255811
2016-11-22,28740.919922,28930.628906,28551.210938,28930.628906,28635.925781,173420
2016-11-23,29025.484375,30163.738281,28930.628906,29642.037109,29340.085938,496345
2016-11-24,29736.892578,29784.320313,29025.484375,29262.619141,28964.531250,263184
2016-11-25,29120.337891,29499.755859,28788.347656,29262.619141,28964.531250,162422
2016-11-28,28978.056641,29310.046875,28503.783203,29072.910156,28776.757813,251779
2016-11-29,29167.765625,29499.755859,29025.484375,29120.337891,28823.701172,258750
2016-11-30,29215.193359,30116.310547,29215.193359,29642.037109,29340.085938,514433
2016-12-01,28788.347656,29310.046875,28646.066406,28740.919922,28448.148438,499356
2016-12-02,28693.492188,29072.910156,28266.646484,28835.775391,28542.037109,245328
2016-12-05,28835.775391,28930.628906,28456.357422,28456.357422,28166.484375,200995
2016-12-06,28551.210938,28693.492188,28029.511719,28456.357422,28166.484375,306637
2016-12-07,28551.210938,28551.210938,27365.529297,27555.238281,27274.544922,418938
2016-12-08,27697.519531,27792.375000,27128.392578,27792.375000,27509.265625,514298
2016-12-09,27555.238281,28029.511719,27365.529297,27982.083984,27697.041016,273019
2016-12-12,28076.937500,28124.365234,27412.957031,27555.238281,27274.544922,330182
2016-12-13,27697.519531,28076.937500,27270.675781,27982.083984,27697.041016,599789
2016-12-14,27934.656250,28551.210938,27839.802734,28361.501953,28072.595703,408888
2016-12-15,28314.074219,28503.783203,28124.365234,28314.074219,28025.650391,194856
2016-12-16,28124.365234,28314.074219,27602.666016,27982.083984,27697.041016,272225
2016-12-19,27792.375000,27839.802734,27365.529297,27412.957031,27133.712891,263838
2016-12-20,27555.238281,27697.519531,27365.529297,27602.666016,27321.488281,175408
2016-12-21,27460.384766,27650.093750,27270.675781,27270.675781,26992.880859,195619
2016-12-22,27223.248047,27555.238281,27175.820313,27555.238281,27274.544922,267446
2016-12-23,27270.675781,27460.384766,27223.248047,27270.675781,26992.880859,207746
2016-12-26,27080.966797,27412.957031,27080.966797,27318.101563,27039.822266,253227
2016-12-27,27223.248047,27555.238281,27175.820313,27223.248047,26945.935547,125306
2016-12-28,27128.392578,27223.248047,26748.974609,26938.683594,26664.271484,210266
2016-12-29,26606.693359,26843.830078,25847.857422,25942.710938,25678.443359,582703
2017-01-02,25942.710938,26084.994141,25278.730469,25373.583984,25115.113281,403465
2017-01-03,25421.011719,25705.576172,25326.158203,25705.576172,25443.724609,445539
2017-01-04,25705.576172,25705.576172,25231.302734,25658.148438,25396.779297,469144
2017-01-05,25610.720703,26084.994141,25610.720703,25990.138672,25725.388672,678933
2017-01-06,24757.029297,25658.148438,24614.748047,25421.011719,25162.058594,2509318
2017-01-09,25278.730469,25326.158203,24519.894531,24709.603516,24457.898438,789756
2017-01-10,24851.884766,24994.166016,24519.894531,24709.603516,24457.898438,400632
2017-01-11,24804.457031,24994.166016,24614.748047,24994.166016,24739.560547,412053
2017-01-12,24994.166016,25847.857422,24899.312500,25800.429688,25537.611328,683506
2017-01-13,25515.867188,25753.001953,25278.730469,25705.576172,25443.724609,390738
2017-01-16,25847.857422,25990.138672,25468.439453,25753.001953,25490.666016,323263
2017-01-17,25753.001953,25800.429688,25515.867188,25563.292969,25302.890625,244712
2017-01-18,25705.576172,26132.419922,25705.576172,25990.138672,25725.388672,339902
2017-01-19,25847.857422,26654.121094,25847.857422,26464.412109,26194.830078,656096
2017-01-20,26559.265625,26606.693359,26132.419922,26559.265625,26288.718750,420546
2017-01-23,26179.847656,26938.683594,26179.847656,26938.683594,26664.271484,593830
2017-01-24,26700.000000,27000.000000,26350.000000,26450.000000,26180.564453,432065
2017-01-25,26450.000000,26600.000000,25800.000000,25900.000000,25636.167969,285310
2017-01-26,25950.000000,26550.000000,25350.000000,26450.000000,26180.564453,419953
2017-01-31,26400.000000,26600.000000,26000.000000,26350.000000,26081.582031,262626
2017-02-01,26500.000000,27000.000000,26350.000000,27000.000000,26724.962891,363021
2017-02-02,27050.000000,27450.000000,26750.000000,27150.000000,26873.433594,299115
2017-02-03,27300.000000,27350.000000,26350.000000,26850.000000,26576.490234,360592
2017-02-06,26700.000000,26900.000000,26400.000000,26450.000000,26180.564453,194877
2017-02-07,26450.000000,26950.000000,26400.000000,26900.000000,26625.982422,197581
2017-02-08,26750.000000,26750.000000,26450.000000,26600.000000,26329.037109,242499
2017-02-09,26500.000000,26950.000000,26500.000000,26800.000000,26527.000000,240182
2017-02-10,27150.000000,27500.000000,26850.000000,27500.000000,27219.869141,405822
2017-02-13,27500.000000,27650.000000,27050.000000,27450.000000,27170.378906,248072
2017-02-14,27350.000000,27850.000000,27300.000000,27800.000000,27516.812500,297848
2017-02-15,27900.000000,28050.000000,27250.000000,27300.000000,27021.906250,351461
2017-02-16,27250.000000,27300.000000,26400.000000,26550.000000,26279.544922,597523
