Date,Open,High,Low,Close,Adj Close,Volume
2016-06-07,118500.000000,120500.000000,116000.000000,118500.000000,115550.125000,684897
2016-06-08,118500.000000,118500.000000,107000.000000,109000.000000,106286.609375,1225334
2016-06-09,111000.000000,113500.000000,108500.000000,112000.000000,109211.929688,599960
2016-06-10,112500.000000,112500.000000,110000.000000,110500.000000,107749.281250,190784
2016-06-13,109000.000000,114000.000000,108500.000000,113000.000000,110187.039063,284273
2016-06-14,113000.000000,113500.000000,110500.000000,110500.000000,107749.281250,192099
2016-06-15,109500.000000,112000.000000,109000.000000,109000.000000,106286.609375,154457
2016-06-16,110500.000000,111000.000000,109000.000000,109000.000000,106286.609375,142771
2016-06-17,109500.000000,111000.000000,108000.000000,109000.000000,106286.609375,169805
2016-06-20,110500.000000,113000.000000,110000.000000,112500.000000,109699.484375,166471
2016-06-21,107500.000000,111000.000000,105000.000000,110500.000000,107749.281250,408618
2016-06-22,110500.000000,110500.000000,108000.000000,108000.000000,105311.500000,305786
2016-06-23,108500.000000,110500.000000,108000.000000,110000.000000,107261.726563,156001
2016-06-24,111500.000000,111500.000000,104000.000000,105500.000000,102873.742188,484122
2016-06-27,102000.000000,105000.000000,101500.000000,103000.000000,100435.976563,287408
2016-06-28,101500.000000,102500.000000,100000.000000,101500.000000,98973.312500,235844
2016-06-29,104000.000000,107500.000000,102500.000000,106000.000000,103361.296875,281520
2016-06-30,107500.000000,109500.000000,106500.000000,108000.000000,105311.500000,252502
2016-07-01,107500.000000,108500.000000,107000.000000,108500.000000,105799.054688,127857
2016-07-04,108000.000000,111000.000000,108000.000000,111000.000000,108236.820313,139507
2016-07-05,110500.000000,111500.000000,109500.000000,110500.000000,107749.281250,142181
2016-07-06,110500.000000,110500.000000,106000.000000,107500.000000,104823.953125,207886
2016-07-07,109000.000000,109000.000000,107500.000000,109000.000000,106286.609375,77370
2016-07-08,109000.000000,110000.000000,103500.000000,104500.000000,101898.632813,294427
2016-07-11,104500.000000,107000.000000,103500.000000,106000.000000,103361.296875,307704
2016-07-12,103500.000000,105500.000000,102500.000000,105000.000000,102386.179688,340611
2016-07-13,106000.000000,106500.000000,105000.000000,105500.000000,102873.742188,143549
2016-07-14,105000.000000,108500.000000,105000.000000,108000.000000,105311.500000,234165
2016-07-15,116500.000000,117000.000000,107500.000000,108500.000000,105799.054688,853416
2016-07-18,109000.000000,111000.000000,107500.000000,108000.000000,105311.500000,186940
2016-07-19,109000.000000,109500.000000,107000.000000,107500.000000,104823.953125,154911
2016-07-20,107000.000000,107000.000000,105000.000000,105000.000000,102386.179688,179334
2016-07-21,105000.000000,108000.000000,105000.000000,107500.000000,104823.953125,175007
2016-07-22,107500.000000,108500.000000,107000.000000,107000.000000,104336.398438,94112
2016-07-25,107500.000000,108000.000000,106500.000000,107000.000000,104336.398438,110659
2016-07-26,106500.000000,108000.000000,106500.000000,107000.000000,104336.398438,101205
2016-07-27,107000.000000,108000.000000,107000.000000,107500.000000,104823.953125,90810
2016-07-28,107500.000000,109500.000000,106500.000000,109500.000000,106774.164063,152105
