Date,Open,High,Low,Close,Adj Close,Volume
2017-07-07,87100.000000,89700.000000,75700.000000,82300.000000,80463.367188,1619864
2017-07-10,82300.000000,88000.000000,81000.000000,88000.000000,86036.171875,840451
2017-07-11,88000.000000,88000.000000,82700.000000,82800.000000,80952.210938,422303
2017-07-12,83700.000000,84600.000000,80000.000000,83500.000000,81636.601563,238407
2017-07-13,83400.000000,84000.000000,80800.000000,81600.000000,79779.000000,218138
2017-07-14,81000.000000,83200.000000,80500.000000,81000.000000,79192.382813,195088
2017-07-17,81800.000000,83000.000000,80900.000000,82200.000000,80365.609375,141369
2017-07-18,82400.000000,83300.000000,81500.000000,83300.000000,81441.062500,165584
2017-07-19,83400.000000,85100.000000,83200.000000,84600.000000,82712.054688,223083
2017-07-20,84600.000000,84900.000000,80000.000000,80500.000000,78703.539063,183151
2017-07-21,80500.000000,81700.000000,80200.000000,81200.000000,79387.929688,92821
2017-07-24,81900.000000,83000.000000,81300.000000,83000.000000,81147.757813,123728
2017-07-25,83400.000000,83800.000000,82600.000000,83300.000000,81441.062500,116806
2017-07-26,83300.000000,85400.000000,83100.000000,85100.000000,83200.882813,121061
2017-07-27,85100.000000,85600.000000,84100.000000,84200.000000,82320.976563,68816
2017-07-28,83700.000000,85500.000000,83300.000000,84800.000000,82907.585938,95657
2017-07-31,81800.000000,84500.000000,81800.000000,82100.000000,80267.843750,77011
2017-08-01,82500.000000,84900.000000,82400.000000,83500.000000,81636.601563,89377
2017-08-02,83100.000000,83600.000000,81900.000000,82900.000000,81049.992188,62216
2017-08-03,82000.000000,83800.000000,81000.000000,83700.000000,81832.125000,82484
2017-08-04,84500.000000,85300.000000,83800.000000,85300.000000,83396.429688,63572
2017-08-07,85600.000000,85800.000000,84300.000000,85600.000000,83689.726563,40097
2017-08-08,86000.000000,86000.000000,84600.000000,85000.000000,83103.125000,40475
2017-08-09,84100.000000,85900.000000,84100.000000,85600.000000,83689.726563,38950
2017-08-10,85000.000000,87300.000000,84500.000000,85300.000000,83396.429688,75619
2017-08-11,85200.000000,86900.000000,84600.000000,86500.000000,84569.648438,60086
2017-08-14,87200.000000,90000.000000,86600.000000,89400.000000,87404.929688,106552
2017-08-16,89400.000000,98500.000000,89200.000000,95300.000000,93173.265625,239188
2017-08-17,95200.000000,95200.000000,91000.000000,92200.000000,90142.445313,129941
2017-08-18,91900.000000,95800.000000,90900.000000,95400.000000,93271.039063,94515
2017-08-21,96400.000000,96400.000000,92400.000000,92500.000000,90435.757813,63817
2017-08-22,92700.000000,94800.000000,90800.000000,93600.000000,91511.195313,98102
2017-08-23,93000.000000,95400.000000,93000.000000,94300.000000,92195.578125,78239
2017-08-24,94400.000000,94800.000000,93100.000000,93900.000000,91804.515625,50476
2017-08-25,93800.000000,93800.000000,91100.000000,92200.000000,90142.445313,60684
2017-08-28,91400.000000,92000.000000,89000.000000,89600.000000,87600.468750,101907
2017-08-29,89300.000000,91000.000000,89300.000000,90800.000000,88773.687500,74316
2017-08-30,90300.000000,90800.000000,88600.000000,90300.000000,88284.843750,54611
2017-08-31,89700.000000,91400.000000,87300.000000,87300.000000,85351.789063,104709
2017-09-01,88000.000000,88800.000000,87300.000000,87400.000000,85449.562500,59116
2017-09-04,87500.000000,88700.000000,85500.000000,86400.000000,84471.882813,47663
2017-09-05,86900.000000,87600.000000,84300.000000,85200.000000,83298.656250,61294
2017-09-06,85300.000000,88700.000000,85100.000000,86300.000000,84374.117188,103961
2017-09-07,86900.000000,87700.000000,85400.000000,86900.000000,84960.718750,47383
2017-09-08,86200.000000,89000.000000,86200.000000,87300.000000,85351.789063,49147
2017-09-11,88400.000000,92300.000000,88400.000000,91700.000000,89653.601563,98648
2017-09-12,91800.000000,92600.000000,90200.000000,92500.000000,90435.757813,58778
