Date,Open,High,Low,Close,Adj Close,Volume
2016-06-07,72142.882813,74101.507813,71163.562500,74101.507813,74101.507813,432237
2016-06-08,75080.828125,75407.265625,73122.195313,75407.265625,75407.265625,461643
2016-06-09,75407.265625,76386.578125,74427.945313,74754.390625,74754.390625,471693
2016-06-10,74427.945313,75733.703125,74101.507813,75407.265625,75407.265625,285147
2016-06-13,74427.945313,74754.390625,71163.562500,71163.562500,71163.562500,300346
2016-06-14,71163.562500,73122.195313,70184.250000,71163.562500,71163.562500,519312
2016-06-15,70510.687500,71490.000000,68552.054688,68552.054688,68552.054688,315687
2016-06-16,68552.054688,70184.250000,67899.179688,68552.054688,68552.054688,313723
2016-06-17,69531.375000,69857.812500,66919.867188,67899.179688,67899.179688,394415
2016-06-20,69531.375000,70510.687500,68878.500000,70184.250000,70184.250000,250805
2016-06-21,70510.687500,70510.687500,68878.500000,68878.500000,68878.500000,177327
2016-06-22,68878.500000,72142.882813,68552.054688,71816.445313,71816.445313,365750
2016-06-23,71490.000000,73122.195313,71163.562500,71490.000000,71490.000000,276196
2016-06-24,73122.195313,73775.070313,67246.304688,67572.742188,67572.742188,1051671
2016-06-27,66266.992188,67572.742188,65287.675781,66593.429688,66593.429688,504324
2016-06-28,65940.554688,68878.500000,65940.554688,68225.617188,68225.617188,311463
2016-06-29,69204.937500,69531.375000,67899.179688,68552.054688,68552.054688,248861
2016-06-30,69857.812500,69857.812500,67899.179688,68878.500000,68878.500000,273743
2016-07-01,69204.937500,69857.812500,67899.179688,68225.617188,68225.617188,194074
2016-07-04,68225.617188,70184.250000,68225.617188,69531.375000,69531.375000,231902
2016-07-05,69531.375000,69531.375000,67899.179688,68552.054688,68552.054688,279564
2016-07-06,68552.054688,68878.500000,65614.109375,66593.429688,66593.429688,442049
2016-07-07,67246.304688,67572.742188,65940.554688,66593.429688,66593.429688,253617
2016-07-08,65614.109375,66266.992188,65287.675781,65614.109375,65614.109375,213971
2016-07-11,66266.992188,66593.429688,65614.109375,65940.554688,65940.554688,248639
2016-07-12,66266.992188,68878.500000,65940.554688,67899.179688,67899.179688,471695
2016-07-13,68878.500000,70184.250000,68225.617188,69531.375000,69531.375000,383934
2016-07-14,68878.500000,69204.937500,67899.179688,68552.054688,68552.054688,223213
2016-07-15,69204.937500,71163.562500,68878.500000,70510.687500,70510.687500,452808
2016-07-18,70837.125000,72469.320313,70184.250000,70837.125000,70837.125000,224831
2016-07-19,70837.125000,71163.562500,69531.375000,70510.687500,70510.687500,200299
2016-07-20,70510.687500,71163.562500,68878.500000,69531.375000,69531.375000,190280
2016-07-21,69857.812500,70510.687500,68878.500000,70184.250000,70184.250000,131153
2016-07-22,69857.812500,72469.320313,69531.375000,70184.250000,70184.250000,329019
2016-07-25,70510.687500,71490.000000,70184.250000,71490.000000,71490.000000,202754
2016-07-26,71163.562500,72469.320313,70510.687500,72469.320313,72469.320313,243252
2016-07-27,73122.195313,75733.703125,72795.757813,75080.828125,75080.828125,831838
2016-07-28,77365.890625,82588.906250,77039.453125,82262.468750,82262.468750,1899131
2016-07-29,82262.468750,82915.343750,80303.835938,81936.031250,81936.031250,771082
2016-08-01,81283.156250,83241.789063,79324.523438,83241.789063,83241.789063,664514
2016-08-02,82262.468750,84221.101563,81609.593750,82915.343750,82915.343750,364529
2016-08-03,81609.593750,83568.226563,80303.835938,82915.343750,82915.343750,413617
2016-08-04,82915.343750,84221.101563,82588.906250,82588.906250,82588.906250,391256
2016-08-05,82588.906250,87159.046875,82588.906250,87159.046875,87159.046875,838868
2016-08-08,88464.796875,91076.304688,85526.851563,85526.851563,85526.851563,822322
2016-08-09,86832.609375,89117.679688,86506.171875,88138.359375,88138.359375,608241
2016-08-10,89117.679688,90749.867188,86506.171875,86832.609375,86832.609375,721935
2016-08-11,86179.734375,88464.796875,85200.414063,88464.796875,88464.796875,368112
2016-08-12,89770.554688,91076.304688,88464.796875,91076.304688,91076.304688,515371
2016-08-16,91402.742188,92382.062500,90096.992188,90096.992188,90096.992188,334519
2016-08-17,89444.117188,91076.304688,89117.679688,91076.304688,91076.304688,284886
2016-08-18,91729.179688,91729.179688,89770.554688,90096.992188,90096.992188,271041
2016-08-19,90423.429688,91402.742188,89117.679688,90749.867188,90749.867188,308352
2016-08-22,89770.554688,90423.429688,85853.289063,88464.796875,88464.796875,510938
2016-08-23,88138.359375,89444.117188,87159.046875,88464.796875,88464.796875,249146
2016-08-24,88464.796875,89117.679688,87159.046875,87811.921875,87811.921875,261426
2016-08-25,86832.609375,88791.234375,86179.734375,88138.359375,88138.359375,289575
2016-08-26,87811.921875,88138.359375,84221.101563,84547.539063,84547.539063,467720
2016-08-29,83568.226563,85853.289063,82915.343750,85853.289063,85853.289063,306753
2016-08-30,85853.289063,87485.484375,83894.664063,85200.414063,85200.414063,236363
2016-08-31,84547.539063,89770.554688,84547.539063,89770.554688,89770.554688,511108
2016-09-01,89444.117188,89770.554688,88138.359375,89444.117188,89444.117188,311377
2016-09-02,89117.679688,89444.117188,86506.171875,88791.234375,88791.234375,279303
2016-09-05,91402.742188,92708.500000,90749.867188,92708.500000,92708.500000,569084
2016-09-06,92708.500000,94014.250000,92055.625000,92708.500000,92708.500000,369928
2016-09-07,93034.937500,94014.250000,92708.500000,93361.375000,93361.375000,255095
2016-09-08,93361.375000,93687.812500,90749.867188,91729.179688,91729.179688,432976
2016-09-09,91729.179688,93361.375000,90749.867188,92708.500000,92708.500000,321402
2016-09-12,90749.867188,90749.867188,87159.046875,87159.046875,87159.046875,561949
2016-09-13,88791.234375,89770.554688,84873.976563,86506.171875,86506.171875,522780
2016-09-19,84873.976563,88791.234375,83568.226563,88791.234375,88791.234375,473054
2016-09-20,87811.921875,89117.679688,85853.289063,86506.171875,86506.171875,232128
2016-09-21,86832.609375,87159.046875,85200.414063,86832.609375,86832.609375,190476
2016-09-22,88138.359375,89444.117188,87485.484375,88791.234375,88791.234375,426639
2016-09-23,89770.554688,90096.992188,88464.796875,90096.992188,90096.992188,206948
2016-09-26,90096.992188,90749.867188,88464.796875,88791.234375,88791.234375,138307
2016-09-27,88138.359375,91076.304688,87485.484375,90749.867188,90749.867188,207045
2016-09-28,90749.867188,91076.304688,88464.796875,88464.796875,88464.796875,245325
2016-09-29,90096.992188,92382.062500,90096.992188,91402.742188,91402.742188,373680
2016-09-30,90096.992188,90749.867188,89444.117188,90096.992188,90096.992188,295623
2016-10-04,91729.179688,92055.625000,90096.992188,91402.742188,91402.742188,291163
2016-10-05,91076.304688,91729.179688,89770.554688,91402.742188,91402.742188,216209
2016-10-06,92055.625000,95646.445313,90749.867188,95320.007813,95320.007813,572359
2016-10-07,95320.007813,98910.828125,94340.687500,97605.070313,97605.070313,677418
2016-10-10,97931.515625,99563.703125,97605.070313,98910.828125,98910.828125,421751
2016-10-11,100543.015625,101195.898438,99563.703125,99890.140625,99890.140625,442320
2016-10-12,99237.265625,100543.015625,98257.953125,99563.703125,99563.703125,275989
2016-10-13,99563.703125,99890.140625,97931.515625,98584.390625,98584.390625,322057
2016-10-14,98584.390625,99890.140625,95972.882813,95972.882813,95972.882813,296728
2016-10-17,96952.195313,98910.828125,96625.757813,96952.195313,96952.195313,269392
