Date,Open,High,Low,Close,Adj Close,Volume
2016-06-07,65800.000000,66000.000000,65000.000000,65500.000000,63989.371094,313699
2016-06-08,65400.000000,66100.000000,65300.000000,65700.000000,64184.761719,264568
2016-06-09,65500.000000,66000.000000,65000.000000,65300.000000,63793.988281,333557
2016-06-10,65500.000000,65600.000000,65100.000000,65600.000000,64087.070313,189283
2016-06-13,66500.000000,68400.000000,66100.000000,66300.000000,64770.921875,887621
2016-06-14,66800.000000,66800.000000,65000.000000,65600.000000,64087.070313,443236
2016-06-15,65300.000000,65400.000000,64300.000000,64600.000000,63110.132813,318503
2016-06-16,64500.000000,65000.000000,62900.000000,63000.000000,61547.027344,367930
2016-06-17,63000.000000,63800.000000,62900.000000,62900.000000,61449.335938,241763
2016-06-20,63000.000000,63900.000000,63000.000000,63700.000000,62230.890625,157506
2016-06-21,63200.000000,63500.000000,63000.000000,63100.000000,61644.722656,210715
2016-06-22,63100.000000,63500.000000,62600.000000,63200.000000,61742.417969,266728
2016-06-23,63000.000000,64800.000000,62900.000000,64400.000000,62914.742188,322665
2016-06-24,65400.000000,65500.000000,61400.000000,62500.000000,61058.566406,809713
2016-06-27,61100.000000,64300.000000,61100.000000,64000.000000,62523.972656,491266
2016-06-28,63300.000000,65600.000000,63300.000000,65300.000000,63793.988281,360770
2016-06-29,65700.000000,67200.000000,65600.000000,66600.000000,65064.007813,612244
2016-06-30,67200.000000,68000.000000,66600.000000,67900.000000,66334.023438,465568
2016-07-01,68000.000000,68000.000000,66700.000000,67100.000000,65552.476563,233309
2016-07-04,67100.000000,68400.000000,66800.000000,66900.000000,65357.085938,255080
2016-07-05,67200.000000,68000.000000,66600.000000,68000.000000,66431.710938,327394
2016-07-06,67800.000000,68600.000000,66100.000000,66200.000000,64673.226563,337139
2016-07-07,66600.000000,67600.000000,66600.000000,66900.000000,65357.085938,293125
2016-07-08,66900.000000,68200.000000,66200.000000,66400.000000,64868.617188,542190
2016-07-11,66000.000000,66300.000000,63800.000000,64100.000000,62621.660156,725578
2016-07-12,64000.000000,64700.000000,63300.000000,64600.000000,63110.132813,296211
2016-07-13,64600.000000,65600.000000,64500.000000,65000.000000,63500.902344,232498
2016-07-14,65000.000000,65200.000000,64500.000000,65000.000000,63500.902344,154640
2016-07-15,64900.000000,65300.000000,64100.000000,64200.000000,62719.355469,258075
2016-07-18,64200.000000,64400.000000,63500.000000,63500.000000,62035.503906,205153
2016-07-19,63300.000000,64400.000000,63100.000000,64000.000000,62523.972656,263788
2016-07-20,64000.000000,64800.000000,64000.000000,64700.000000,63207.824219,287804
2016-07-21,64800.000000,65100.000000,64200.000000,64800.000000,63305.515625,386179
2016-07-22,64800.000000,65400.000000,64600.000000,65300.000000,63793.988281,348051
2016-07-25,64600.000000,64600.000000,62100.000000,62200.000000,60765.480469,1094900
2016-07-26,62000.000000,62100.000000,60300.000000,61700.000000,60277.011719,540092
2016-07-27,61200.000000,61700.000000,60000.000000,60000.000000,58616.218750,889583
2016-07-28,59500.000000,60400.000000,59500.000000,59900.000000,58518.523438,473143
2016-07-29,59800.000000,60300.000000,59600.000000,59600.000000,58225.441406,362456
2016-08-01,59300.000000,59600.000000,57200.000000,57300.000000,55978.492188,711380
2016-08-02,57300.000000,58300.000000,57300.000000,58100.000000,56760.039063,359577
2016-08-03,58200.000000,60000.000000,57200.000000,59400.000000,58030.054688,534812
2016-08-04,59900.000000,61200.000000,59900.000000,60900.000000,59495.464844,501676
2016-08-05,61000.000000,61200.000000,58800.000000,58800.000000,57443.894531,402261
2016-08-08,58500.000000,59700.000000,58200.000000,59100.000000,57736.976563,262251
2016-08-09,59200.000000,60300.000000,59100.000000,59700.000000,58323.136719,257368
2016-08-10,59700.000000,61200.000000,59700.000000,60600.000000,59202.382813,351526
2016-08-11,61100.000000,62000.000000,60700.000000,62000.000000,60570.093750,423282
2016-08-12,62400.000000,62700.000000,61500.000000,62300.000000,60863.175781,361738
2016-08-16,62500.000000,62600.000000,61500.000000,61900.000000,60472.402344,242796
2016-08-17,61500.000000,62300.000000,61300.000000,62200.000000,60765.480469,209666
2016-08-18,62000.000000,62800.000000,62000.000000,62300.000000,60863.175781,237564
2016-08-19,62000.000000,62700.000000,61900.000000,62400.000000,60960.863281,241224
2016-08-22,62400.000000,62700.000000,61600.000000,61700.000000,60277.011719,171809
2016-08-23,61900.000000,63500.000000,61900.000000,63400.000000,61937.804688,425686
2016-08-24,63700.000000,65000.000000,63700.000000,65000.000000,63500.902344,672392
2016-08-25,65100.000000,66200.000000,64500.000000,66100.000000,64575.531250,509607
2016-08-26,66100.000000,67200.000000,65500.000000,67000.000000,65454.769531,720898
2016-08-29,66500.000000,68100.000000,65900.000000,68000.000000,66431.710938,629197
2016-08-30,68400.000000,68500.000000,67500.000000,68000.000000,66431.710938,405513
2016-08-31,67900.000000,68300.000000,67500.000000,67800.000000,66236.335938,226630
2016-09-01,67700.000000,68300.000000,66400.000000,67300.000000,65747.851563,288908
2016-09-02,67300.000000,68600.000000,67300.000000,68100.000000,66529.421875,301032
2016-09-05,68600.000000,69300.000000,68400.000000,68900.000000,67310.960938,235614
2016-09-06,69000.000000,69400.000000,67000.000000,68000.000000,66431.710938,319614
2016-09-07,67900.000000,67900.000000,66100.000000,66300.000000,64770.921875,296699
2016-09-08,66000.000000,67100.000000,66000.000000,67100.000000,65552.476563,223503
2016-09-09,66800.000000,66800.000000,64600.000000,65000.000000,63500.902344,292226
2016-09-12,63500.000000,65100.000000,63100.000000,64500.000000,63012.433594,163107
2016-09-13,65300.000000,65500.000000,64300.000000,64400.000000,62914.742188,211824
2016-09-19,63800.000000,65200.000000,63800.000000,64800.000000,63305.515625,130102
2016-09-20,64300.000000,64800.000000,63700.000000,64200.000000,62719.355469,132355
2016-09-21,64000.000000,64300.000000,63500.000000,64300.000000,62817.050781,115262
2016-09-22,64700.000000,64800.000000,63800.000000,64200.000000,62719.355469,191083
2016-09-23,64600.000000,64600.000000,62500.000000,62600.000000,61156.261719,389769
2016-09-26,62400.000000,63300.000000,61500.000000,62500.000000,61058.566406,257815
2016-09-27,62400.000000,63400.000000,62400.000000,62700.000000,61253.945313,248530
2016-09-28,62700.000000,63700.000000,62500.000000,62600.000000,61156.261719,196492
2016-09-29,63200.000000,63200.000000,62600.000000,62700.000000,61253.945313,174103
2016-09-30,62000.000000,62400.000000,60300.000000,60500.000000,59104.687500,657844
2016-10-04,60700.000000,61600.000000,60700.000000,61000.000000,59593.160156,120934
2016-10-05,61000.000000,61000.000000,60400.000000,60500.000000,59104.687500,163150
2016-10-06,60400.000000,60800.000000,59700.000000,60000.000000,58616.218750,209837
2016-10-07,59800.000000,60400.000000,59500.000000,59800.000000,58420.835938,211953
2016-10-10,60300.000000,60300.000000,59300.000000,59500.000000,58127.750000,196051
2016-10-11,59900.000000,60300.000000,59200.000000,59500.000000,58127.750000,255098
2016-10-12,59500.000000,60700.000000,59400.000000,60300.000000,58909.296875,189839
2016-10-13,60300.000000,60400.000000,59700.000000,60200.000000,58811.605469,183287
2016-10-14,60200.000000,60300.000000,59700.000000,59800.000000,58420.835938,149407
2016-10-17,59900.000000,60100.000000,59200.000000,59300.000000,57932.367188,167985
2016-10-18,59200.000000,60000.000000,59200.000000,59700.000000,58323.136719,131331
2016-10-19,59700.000000,61000.000000,59700.000000,61000.000000,59593.160156,274981
2016-10-20,61400.000000,62500.000000,60600.000000,62400.000000,60960.863281,427769
2016-10-21,62400.000000,62500.000000,61600.000000,62400.000000,60960.863281,249500
2016-10-24,62400.000000,62500.000000,61300.000000,62000.000000,60570.093750,209165
2016-10-25,60100.000000,60200.000000,57300.000000,57700.000000,56369.265625,1442578
2016-10-26,57200.000000,57700.000000,55800.000000,56200.000000,54903.859375,737813
2016-10-27,56800.000000,58900.000000,56800.000000,58200.000000,56857.730469,492251
2016-10-28,58100.000000,58600.000000,57500.000000,57500.000000,56173.875000,181956
2016-10-31,57500.000000,58100.000000,56900.000000,57300.000000,55978.492188,235453
2016-11-01,56800.000000,57000.000000,54600.000000,55100.000000,53829.230469,571545
2016-11-02,54800.000000,54800.000000,51900.000000,52000.000000,50800.722656,646147
2016-11-03,51700.000000,53300.000000,51700.000000,52500.000000,51289.195313,236711
2016-11-04,52200.000000,52900.000000,51400.000000,52600.000000,51386.886719,188972
2016-11-07,53100.000000,53200.000000,52600.000000,53000.000000,51777.656250,110894
2016-11-08,53300.000000,53500.000000,52600.000000,52900.000000,51679.968750,140527
2016-11-09,53000.000000,53500.000000,50100.000000,51500.000000,50312.253906,470985
2016-11-10,52200.000000,53900.000000,51800.000000,53900.000000,52656.902344,332158
2016-11-11,53500.000000,53800.000000,52500.000000,52800.000000,51582.277344,175772
2016-11-14,52300.000000,53500.000000,52000.000000,52900.000000,51679.968750,168325
2016-11-15,52500.000000,53400.000000,52300.000000,52700.000000,51484.578125,178981
2016-11-16,53000.000000,53600.000000,52700.000000,53300.000000,52070.738281,147856
