접수번호,사업연도,종목코드,보고서코드,계정명,개별연결구분,개별연결명,재무제표구분,재무제표명,당기명,당기일자,당기금액,당기누적금액,전기명,전기일자,전기금액,전기누적금액,전전기명,전전기일자,전전기금액,계정과목정렬순서
20160516001596,2015,034220,11011,유동자산,CFS,연결재무제표,BS,재무상태표,제 31 기,2015.12.31 현재,"9,531,634,000,000",,제 30 기,2014.12.31 현재,"9,240,629,000,000",,제 29 기,2013.12.31 현재,"7,731,788,000,000",1
20160516001596,2015,034220,11011,비유동자산,CFS,연결재무제표,BS,재무상태표,제 31 기,2015.12.31 현재,"13,045,526,000,000",,제 30 기,2014.12.31 현재,"13,726,394,000,000",,제 29 기,2013.12.31 현재,"13,983,496,000,000",3
20160516001596,2015,034220,11011,자산총계,CFS,연결재무제표,BS,재무상태표,제 31 기,2015.12.31 현재,"22,577,160,000,000",,제 30 기,2014.12.31 현재,"22,967,023,000,000",,제 29 기,2013.12.31 현재,"21,715,284,000,000",5
20160516001596,2015,034220,11011,유동부채,CFS,연결재무제표,BS,재무상태표,제 31 기,2015.12.31 현재,"6,606,712,000,000",,제 30 기,2014.12.31 현재,"7,549,556,000,000",,제 29 기,2013.12.31 현재,"6,788,919,000,000",7
20160516001596,2015,034220,11011,비유동부채,CFS,연결재무제표,BS,재무상태표,제 31 기,2015.12.31 현재,"3,265,492,000,000",,제 30 기,2014.12.31 현재,"3,634,057,000,000",,제 29 기,2013.12.31 현재,"4,128,945,000,000",9
20160516001596,2015,034220,11011,부채총계,CFS,연결재무제표,BS,재무상태표,제 31 기,2015.12.31 현재,"9,872,204,000,000",,제 30 기,2014.12.31 현재,"11,183,613,000,000",,제 29 기,2013.12.31 현재,"10,917,864,000,000",11
20160516001596,2015,034220,11011,이익잉여금,CFS,연결재무제표,BS,재무상태표,제 31 기,2015.12.31 현재,"8,158,526,000,000",,제 30 기,2014.12.31 현재,"7,455,063,000,000",,제 29 기,2013.12.31 현재,"6,662,655,000,000",17
20160516001596,2015,034220,11011,자본총계,CFS,연결재무제표,BS,재무상태표,제 31 기,2015.12.31 현재,"12,704,956,000,000",,제 30 기,2014.12.31 현재,"11,783,410,000,000",,제 29 기,2013.12.31 현재,"10,797,420,000,000",21
20160516001596,2015,034220,11011,매출액,CFS,연결재무제표,IS,손익계산서,제 31 기,2015.01.01 ~ 2015.12.31,"28,383,884,000,000",,제 30 기,2014.01.01 ~ 2014.12.31,"26,455,529,000,000",,제 29 기,2013.01.01 ~ 2013.12.31,"27,033,035,000,000",23
20160516001596,2015,034220,11011,영업이익,CFS,연결재무제표,IS,손익계산서,제 31 기,2015.01.01 ~ 2015.12.31,"1,625,566,000,000",,제 30 기,2014.01.01 ~ 2014.12.31,"1,357,255,000,000",,제 29 기,2013.01.01 ~ 2013.12.31,"1,163,314,000,000",25
20160516001596,2015,034220,11011,법인세차감전 순이익,CFS,연결재무제표,IS,손익계산서,제 31 기,2015.01.01 ~ 2015.12.31,"1,433,982,000,000",,제 30 기,2014.01.01 ~ 2014.12.31,"1,241,957,000,000",,제 29 기,2013.01.01 ~ 2013.12.31,"830,305,000,000",27
20160516001596,2015,034220,11011,당기순이익,CFS,연결재무제표,IS,손익계산서,제 31 기,2015.01.01 ~ 2015.12.31,"1,023,456,000,000",,제 30 기,2014.01.01 ~ 2014.12.31,"917,404,000,000",,제 29 기,2013.01.01 ~ 2013.12.31,"418,973,000,000",29
20160516001596,2015,034220,11011,유동자산,OFS,재무제표,BS,재무상태표,제 31 기,2015.12.31 현재,"8,246,330,000,000",,제 30 기,2014.12.31 현재,"8,291,088,000,000",,제 29 기,2013.12.31 현재,"6,877,367,000,000",2
20160516001596,2015,034220,11011,비유동자산,OFS,재무제표,BS,재무상태표,제 31 기,2015.12.31 현재,"11,964,363,000,000",,제 30 기,2014.12.31 현재,"12,720,749,000,000",,제 29 기,2013.12.31 현재,"13,767,226,000,000",4
20160516001596,2015,034220,11011,자산총계,OFS,재무제표,BS,재무상태표,제 31 기,2015.12.31 현재,"20,210,693,000,000",,제 30 기,2014.12.31 현재,"21,011,837,000,000",,제 29 기,2013.12.31 현재,"20,644,593,000,000",6
20160516001596,2015,034220,11011,유동부채,OFS,재무제표,BS,재무상태표,제 31 기,2015.12.31 현재,"6,505,979,000,000",,제 30 기,2014.12.31 현재,"7,550,330,000,000",,제 29 기,2013.12.31 현재,"6,754,175,000,000",8
20160516001596,2015,034220,11011,비유동부채,OFS,재무제표,BS,재무상태표,제 31 기,2015.12.31 현재,"2,375,131,000,000",,제 30 기,2014.12.31 현재,"2,837,432,000,000",,제 29 기,2013.12.31 현재,"4,127,993,000,000",10
20160516001596,2015,034220,11011,부채총계,OFS,재무제표,BS,재무상태표,제 31 기,2015.12.31 현재,"8,881,110,000,000",,제 30 기,2014.12.31 현재,"10,387,762,000,000",,제 29 기,2013.12.31 현재,"10,882,168,000,000",12
20160516001596,2015,034220,11011,이익잉여금,OFS,재무제표,BS,재무상태표,제 31 기,2015.12.31 현재,"7,289,333,000,000",,제 30 기,2014.12.31 현재,"6,583,607,000,000",,제 29 기,2013.12.31 현재,"5,722,538,000,000",19
20160516001596,2015,034220,11011,자본총계,OFS,재무제표,BS,재무상태표,제 31 기,2015.12.31 현재,"11,329,583,000,000",,제 30 기,2014.12.31 현재,"10,624,075,000,000",,제 29 기,2013.12.31 현재,"9,762,425,000,000",22
20160516001596,2015,034220,11011,매출액,OFS,재무제표,IS,손익계산서,제 31 기,2015.01.01 ~ 2015.12.31,"25,856,426,000,000",,제 30 기,2014.01.01 ~ 2014.12.31,"25,383,670,000,000",,제 29 기,2013.01.01 ~ 2013.12.31,"25,854,183,000,000",24
20160516001596,2015,034220,11011,영업이익,OFS,재무제표,IS,손익계산서,제 31 기,2015.01.01 ~ 2015.12.31,"770,856,000,000",,제 30 기,2014.01.01 ~ 2014.12.31,"984,790,000,000",,제 29 기,2013.01.01 ~ 2013.12.31,"753,550,000,000",26
20160516001596,2015,034220,11011,법인세차감전 순이익,OFS,재무제표,IS,손익계산서,제 31 기,2015.01.01 ~ 2015.12.31,"1,181,626,000,000",,제 30 기,2014.01.01 ~ 2014.12.31,"1,221,692,000,000",,제 29 기,2013.01.01 ~ 2013.12.31,"386,425,000,000",28
20160516001596,2015,034220,11011,당기순이익,OFS,재무제표,IS,손익계산서,제 31 기,2015.01.01 ~ 2015.12.31,"968,209,000,000",,제 30 기,2014.01.01 ~ 2014.12.31,"973,118,000,000",,제 29 기,2013.01.01 ~ 2013.12.31,"99,672,000,000",30
20160516001777,2016,034220,11013,유동자산,CFS,연결재무제표,BS,재무상태표,제 32 기1분기말,2016.03.31 현재,"8,856,127,000,000",,제 31 기말,2015.12.31 현재,"9,531,634,000,000",,,,,1
20160516001777,2016,034220,11013,비유동자산,CFS,연결재무제표,BS,재무상태표,제 32 기1분기말,2016.03.31 현재,"13,321,816,000,000",,제 31 기말,2015.12.31 현재,"13,045,526,000,000",,,,,3
20160516001777,2016,034220,11013,자산총계,CFS,연결재무제표,BS,재무상태표,제 32 기1분기말,2016.03.31 현재,"22,177,943,000,000",,제 31 기말,2015.12.31 현재,"22,577,160,000,000",,,,,5
20160516001777,2016,034220,11013,유동부채,CFS,연결재무제표,BS,재무상태표,제 32 기1분기말,2016.03.31 현재,"5,776,163,000,000",,제 31 기말,2015.12.31 현재,"6,606,712,000,000",,,,,7
20160516001777,2016,034220,11013,비유동부채,CFS,연결재무제표,BS,재무상태표,제 32 기1분기말,2016.03.31 현재,"3,901,143,000,000",,제 31 기말,2015.12.31 현재,"3,265,492,000,000",,,,,9
20160516001777,2016,034220,11013,부채총계,CFS,연결재무제표,BS,재무상태표,제 32 기1분기말,2016.03.31 현재,"9,677,306,000,000",,제 31 기말,2015.12.31 현재,"9,872,204,000,000",,,,,11
20160516001777,2016,034220,11013,이익잉여금,CFS,연결재무제표,BS,재무상태표,제 32 기1분기말,2016.03.31 현재,"7,981,165,000,000",,제 31 기말,2015.12.31 현재,"8,158,526,000,000",,,,,17
20160516001777,2016,034220,11013,자본총계,CFS,연결재무제표,BS,재무상태표,제 32 기1분기말,2016.03.31 현재,"12,500,637,000,000",,제 31 기말,2015.12.31 현재,"12,704,956,000,000",,,,,21
20160516001777,2016,034220,11013,매출액,CFS,연결재무제표,IS,손익계산서,제 32 기1분기,2016.01.01 ~ 2016.03.31,"5,989,201,000,000","5,989,201,000,000",제 31 기1분기,2015.01.01 ~ 2015.03.31,"7,022,349,000,000","7,022,349,000,000",,,,23
20160516001777,2016,034220,11013,영업이익,CFS,연결재무제표,IS,손익계산서,제 32 기1분기,2016.01.01 ~ 2016.03.31,"39,521,000,000","39,521,000,000",제 31 기1분기,2015.01.01 ~ 2015.03.31,"743,900,000,000","743,900,000,000",,,,25
20160516001777,2016,034220,11013,법인세차감전 순이익,CFS,연결재무제표,IS,손익계산서,제 32 기1분기,2016.01.01 ~ 2016.03.31,"-7,526,000,000","-7,526,000,000",제 31 기1분기,2015.01.01 ~ 2015.03.31,"623,764,000,000","623,764,000,000",,,,27
20160516001777,2016,034220,11013,당기순이익,CFS,연결재무제표,IS,손익계산서,제 32 기1분기,2016.01.01 ~ 2016.03.31,"1,187,000,000","1,187,000,000",제 31 기1분기,2015.01.01 ~ 2015.03.31,"475,751,000,000","475,751,000,000",,,,29
20160516001777,2016,034220,11013,유동자산,OFS,재무제표,BS,재무상태표,제 32 기1분기말,2016.03.31 현재,"7,421,917,000,000",,제 31 기말,2015.12.31 현재,"8,246,330,000,000",,,,,2
20160516001777,2016,034220,11013,비유동자산,OFS,재무제표,BS,재무상태표,제 32 기1분기말,2016.03.31 현재,"11,930,428,000,000",,제 31 기말,2015.12.31 현재,"11,964,363,000,000",,,,,4
20160516001777,2016,034220,11013,자산총계,OFS,재무제표,BS,재무상태표,제 32 기1분기말,2016.03.31 현재,"19,352,345,000,000",,제 31 기말,2015.12.31 현재,"20,210,693,000,000",,,,,6
20160516001777,2016,034220,11013,유동부채,OFS,재무제표,BS,재무상태표,제 32 기1분기말,2016.03.31 현재,"5,238,323,000,000",,제 31 기말,2015.12.31 현재,"6,505,979,000,000",,,,,8
20160516001777,2016,034220,11013,비유동부채,OFS,재무제표,BS,재무상태표,제 32 기1분기말,2016.03.31 현재,"3,018,616,000,000",,제 31 기말,2015.12.31 현재,"2,375,131,000,000",,,,,10
20160516001777,2016,034220,11013,부채총계,OFS,재무제표,BS,재무상태표,제 32 기1분기말,2016.03.31 현재,"8,256,939,000,000",,제 31 기말,2015.12.31 현재,"8,881,110,000,000",,,,,12
20160516001777,2016,034220,11013,이익잉여금,OFS,재무제표,BS,재무상태표,제 32 기1분기말,2016.03.31 현재,"7,055,214,000,000",,제 31 기말,2015.12.31 현재,"7,289,333,000,000",,,,,19
20160516001777,2016,034220,11013,자본총계,OFS,재무제표,BS,재무상태표,제 32 기1분기말,2016.03.31 현재,"11,095,406,000,000",,제 31 기말,2015.12.31 현재,"11,329,583,000,000",,,,,22
20160516001777,2016,034220,11013,매출액,OFS,재무제표,IS,손익계산서,제 32 기1분기,2016.01.01 ~ 2016.03.31,"5,567,470,000,000","5,567,470,000,000",제 31 기1분기,2015.01.01 ~ 2015.03.31,"6,349,476,000,000","6,349,476,000,000",,,,24
20160516001777,2016,034220,11013,영업이익,OFS,재무제표,IS,손익계산서,제 32 기1분기,2016.01.01 ~ 2016.03.31,"-117,251,000,000","-117,251,000,000",제 31 기1분기,2015.01.01 ~ 2015.03.31,"526,665,000,000","526,665,000,000",,,,26
20160516001777,2016,034220,11013,법인세차감전 순이익,OFS,재무제표,IS,손익계산서,제 32 기1분기,2016.01.01 ~ 2016.03.31,"-96,483,000,000","-96,483,000,000",제 31 기1분기,2015.01.01 ~ 2015.03.31,"436,447,000,000","436,447,000,000",,,,28
20160516001777,2016,034220,11013,당기순이익,OFS,재무제표,IS,손익계산서,제 32 기1분기,2016.01.01 ~ 2016.03.31,"-54,104,000,000","-54,104,000,000",제 31 기1분기,2015.01.01 ~ 2015.03.31,"334,772,000,000","334,772,000,000",,,,30
20160816001651,2016,034220,11012,유동자산,CFS,연결재무제표,BS,재무상태표,제 32 기반기말,2016.06.30 현재,"9,180,432,000,000",,제 31 기말,2015.12.31 현재,"9,531,634,000,000",,,,,1
20160816001651,2016,034220,11012,비유동자산,CFS,연결재무제표,BS,재무상태표,제 32 기반기말,2016.06.30 현재,"13,386,557,000,000",,제 31 기말,2015.12.31 현재,"13,045,526,000,000",,,,,3
20160816001651,2016,034220,11012,자산총계,CFS,연결재무제표,BS,재무상태표,제 32 기반기말,2016.06.30 현재,"22,566,989,000,000",,제 31 기말,2015.12.31 현재,"22,577,160,000,000",,,,,5
20160816001651,2016,034220,11012,유동부채,CFS,연결재무제표,BS,재무상태표,제 32 기반기말,2016.06.30 현재,"6,336,969,000,000",,제 31 기말,2015.12.31 현재,"6,606,712,000,000",,,,,7
20160816001651,2016,034220,11012,비유동부채,CFS,연결재무제표,BS,재무상태표,제 32 기반기말,2016.06.30 현재,"3,883,521,000,000",,제 31 기말,2015.12.31 현재,"3,265,492,000,000",,,,,9
20160816001651,2016,034220,11012,부채총계,CFS,연결재무제표,BS,재무상태표,제 32 기반기말,2016.06.30 현재,"10,220,490,000,000",,제 31 기말,2015.12.31 현재,"9,872,204,000,000",,,,,11
20160816001651,2016,034220,11012,이익잉여금,CFS,연결재무제표,BS,재무상태표,제 32 기반기말,2016.06.30 현재,"7,908,569,000,000",,제 31 기말,2015.12.31 현재,"8,158,526,000,000",,,,,17
20160816001651,2016,034220,11012,자본총계,CFS,연결재무제표,BS,재무상태표,제 32 기반기말,2016.06.30 현재,"12,346,499,000,000",,제 31 기말,2015.12.31 현재,"12,704,956,000,000",,,,,21
20160816001651,2016,034220,11012,매출액,CFS,연결재무제표,IS,손익계산서,제 32 기반기,2016.01.01 ~ 2016.06.30,"5,855,142,000,000","11,844,343,000,000",제 31 기반기,2015.01.01 ~ 2015.06.30,"6,707,585,000,000","13,729,934,000,000",,,,23
