접수번호,사업연도,종목코드,보고서코드,계정명,개별연결구분,개별연결명,재무제표구분,재무제표명,당기명,당기일자,당기금액,당기누적금액,전기명,전기일자,전기금액,전기누적금액,전전기명,전전기일자,전전기금액,계정과목정렬순서
20160330003806,2015,066570,11011,유동자산,CFS,연결재무제표,BS,재무상태표,제 14 기,2015.12.31 현재,"16,397,613,000,000",,제 13 기,2014.12.31 현재,"17,482,698,000,000",,제 12 기,2013.12.31 현재,"16,325,058,000,000",1
20160330003806,2015,066570,11011,비유동자산,CFS,연결재무제표,BS,재무상태표,제 14 기,2015.12.31 현재,"19,916,283,000,000",,제 13 기,2014.12.31 현재,"19,585,722,000,000",,제 12 기,2013.12.31 현재,"19,203,006,000,000",3
20160330003806,2015,066570,11011,자산총계,CFS,연결재무제표,BS,재무상태표,제 14 기,2015.12.31 현재,"36,313,896,000,000",,제 13 기,2014.12.31 현재,"37,068,420,000,000",,제 12 기,2013.12.31 현재,"35,528,064,000,000",5
20160330003806,2015,066570,11011,유동부채,CFS,연결재무제표,BS,재무상태표,제 14 기,2015.12.31 현재,"14,779,691,000,000",,제 13 기,2014.12.31 현재,"15,680,577,000,000",,제 12 기,2013.12.31 현재,"14,950,661,000,000",7
20160330003806,2015,066570,11011,비유동부채,CFS,연결재무제표,BS,재무상태표,제 14 기,2015.12.31 현재,"8,550,718,000,000",,제 13 기,2014.12.31 현재,"8,396,746,000,000",,제 12 기,2013.12.31 현재,"7,888,034,000,000",9
20160330003806,2015,066570,11011,부채총계,CFS,연결재무제표,BS,재무상태표,제 14 기,2015.12.31 현재,"23,330,409,000,000",,제 13 기,2014.12.31 현재,"24,077,323,000,000",,제 12 기,2013.12.31 현재,"22,838,695,000,000",11
20160330003806,2015,066570,11011,자본총계,CFS,연결재무제표,BS,재무상태표,제 14 기,2015.12.31 현재,"12,983,487,000,000",,제 13 기,2014.12.31 현재,"12,991,097,000,000",,제 12 기,2013.12.31 현재,"12,689,369,000,000",21
20160330003806,2015,066570,11011,매출액,CFS,연결재무제표,IS,손익계산서,제 14 기,2015.01.01 ~ 2015.12.31,"56,509,008,000,000",,제 13 기,2014.01.01 ~ 2014.12.31,"59,040,767,000,000",,제 12 기,2013.01.01 ~ 2013.12.31,"56,772,302,000,000",23
20160330003806,2015,066570,11011,영업이익,CFS,연결재무제표,IS,손익계산서,제 14 기,2015.01.01 ~ 2015.12.31,"1,192,291,000,000",,제 13 기,2014.01.01 ~ 2014.12.31,"1,828,557,000,000",,제 12 기,2013.01.01 ~ 2013.12.31,"1,249,011,000,000",25
20160330003806,2015,066570,11011,법인세차감전 순이익,CFS,연결재무제표,IS,손익계산서,제 14 기,2015.01.01 ~ 2015.12.31,"593,125,000,000",,제 13 기,2014.01.01 ~ 2014.12.31,"1,218,270,000,000",,제 12 기,2013.01.01 ~ 2013.12.31,"589,544,000,000",27
