접수번호,사업연도,종목코드,보고서코드,계정명,개별연결구분,개별연결명,재무제표구분,재무제표명,당기명,당기일자,당기금액,당기누적금액,전기명,전기일자,전기금액,전기누적금액,전전기명,전전기일자,전전기금액,계정과목정렬순서
20160330003610,2015,035420,11011,유동자산,CFS,연결재무제표,BS,재무상태표,제 17 기,2015.12.31 현재,"2,639,382,642,000",,제 16 기,2014.12.31 현재,"1,945,783,670,000",,제 15 기,2013.12.31 현재,"1,336,088,790,000",1
20160330003610,2015,035420,11011,비유동자산,CFS,연결재무제표,BS,재무상태표,제 17 기,2015.12.31 현재,"1,746,530,376,000",,제 16 기,2014.12.31 현재,"1,448,674,224,000",,제 15 기,2013.12.31 현재,"1,361,658,048,000",3
20160330003610,2015,035420,11011,자산총계,CFS,연결재무제표,BS,재무상태표,제 17 기,2015.12.31 현재,"4,385,913,018,000",,제 16 기,2014.12.31 현재,"3,394,457,894,000",,제 15 기,2013.12.31 현재,"2,697,746,838,000",5
20160330003610,2015,035420,11011,유동부채,CFS,연결재무제표,BS,재무상태표,제 17 기,2015.12.31 현재,"1,683,655,879,000",,제 16 기,2014.12.31 현재,"1,080,709,107,000",,제 15 기,2013.12.31 현재,"832,373,207,000",7
20160330003610,2015,035420,11011,비유동부채,CFS,연결재무제표,BS,재무상태표,제 17 기,2015.12.31 현재,"432,678,620,000",,제 16 기,2014.12.31 현재,"516,330,572,000",,제 15 기,2013.12.31 현재,"390,064,617,000",9
20160330003610,2015,035420,11011,부채총계,CFS,연결재무제표,BS,재무상태표,제 17 기,2015.12.31 현재,"2,116,334,499,000",,제 16 기,2014.12.31 현재,"1,597,039,679,000",,제 15 기,2013.12.31 현재,"1,222,437,824,000",11
20160330003610,2015,035420,11011,이익잉여금,CFS,연결재무제표,BS,재무상태표,제 17 기,2015.12.31 현재,"3,069,369,883,000",,제 16 기,2014.12.31 현재,"2,583,591,599,000",,제 15 기,2013.12.31 현재,"4,556,178,354,000",17
20160330003610,2015,035420,11011,자본총계,CFS,연결재무제표,BS,재무상태표,제 17 기,2015.12.31 현재,"2,269,578,519,000",,제 16 기,2014.12.31 현재,"1,797,418,215,000",,제 15 기,2013.12.31 현재,"1,475,309,016,000",21
20160330003610,2015,035420,11011,매출액,CFS,연결재무제표,IS,손익계산서,제 17 기,2015.01.01 ~ 2015.12.31,"3,251,157,100,000",,제 16 기,2014.01.01 ~ 2014.12.31,"2,758,478,837,000",,제 15 기,2013.01.01 ~ 2013.12.31,"2,259,138,612,000",23
20160330003610,2015,035420,11011,영업이익,CFS,연결재무제표,IS,손익계산서,제 17 기,2015.01.01 ~ 2015.12.31,"762,203,849,000",,제 16 기,2014.01.01 ~ 2014.12.31,"758,199,066,000",,제 15 기,2013.01.01 ~ 2013.12.31,"506,538,818,000",25
20160330003610,2015,035420,11011,법인세차감전 순이익,CFS,연결재무제표,IS,손익계산서,제 17 기,2015.01.01 ~ 2015.12.31,"708,297,337,000",,제 16 기,2014.01.01 ~ 2014.12.31,"658,843,591,000",,제 15 기,2013.01.01 ~ 2013.12.31,"439,747,570,000",27
20160330003610,2015,035420,11011,당기순이익,CFS,연결재무제표,IS,손익계산서,제 17 기,2015.01.01 ~ 2015.12.31,"516,986,279,000",,제 16 기,2014.01.01 ~ 2014.12.31,"451,763,104,000",,제 15 기,2013.01.01 ~ 2013.12.31,"1,895,289,315,000",29
20160330003610,2015,035420,11011,유동자산,OFS,재무제표,BS,재무상태표,제 17 기,2015.12.31 현재,"1,804,796,316,000",,제 16 기,2014.12.31 현재,"1,278,051,845,000",,제 15 기,2013.12.31 현재,"751,396,075,000",2
20160330003610,2015,035420,11011,비유동자산,OFS,재무제표,BS,재무상태표,제 17 기,2015.12.31 현재,"1,578,921,333,000",,제 16 기,2014.12.31 현재,"1,450,392,515,000",,제 15 기,2013.12.31 현재,"1,507,370,920,000",4
20160330003610,2015,035420,11011,자산총계,OFS,재무제표,BS,재무상태표,제 17 기,2015.12.31 현재,"3,383,717,649,000",,제 16 기,2014.12.31 현재,"2,728,444,360,000",,제 15 기,2013.12.31 현재,"2,260,146,995,000",6
20160330003610,2015,035420,11011,유동부채,OFS,재무제표,BS,재무상태표,제 17 기,2015.12.31 현재,"739,150,464,000",,제 16 기,2014.12.31 현재,"394,970,221,000",,제 15 기,2013.12.31 현재,"375,130,507,000",8
20160330003610,2015,035420,11011,비유동부채,OFS,재무제표,BS,재무상태표,제 17 기,2015.12.31 현재,"268,850,850,000",,제 16 기,2014.12.31 현재,"422,127,693,000",,제 15 기,2013.12.31 현재,"270,389,014,000",10
20160330003610,2015,035420,11011,부채총계,OFS,재무제표,BS,재무상태표,제 17 기,2015.12.31 현재,"1,008,001,314,000",,제 16 기,2014.12.31 현재,"817,097,914,000",,제 15 기,2013.12.31 현재,"645,519,521,000",12
20160330003610,2015,035420,11011,이익잉여금,OFS,재무제표,BS,재무상태표,제 17 기,2015.12.31 현재,"3,293,691,504,000",,제 16 기,2014.12.31 현재,"2,672,988,733,000",,제 15 기,2013.12.31 현재,"4,636,701,734,000",19
20160330003610,2015,035420,11011,자본총계,OFS,재무제표,BS,재무상태표,제 17 기,2015.12.31 현재,"2,375,716,335,000",,제 16 기,2014.12.31 현재,"1,911,346,446,000",,제 15 기,2013.12.31 현재,"1,614,627,474,000",22
20160330003610,2015,035420,11011,매출액,OFS,재무제표,IS,손익계산서,제 17 기,2015.01.01 ~ 2015.12.31,"2,141,274,744,000",,제 16 기,2014.01.01 ~ 2014.12.31,"1,637,164,959,000",,제 15 기,2013.01.01 ~ 2013.12.31,"1,223,505,708,000",24
20160330003610,2015,035420,11011,영업이익,OFS,재무제표,IS,손익계산서,제 17 기,2015.01.01 ~ 2015.12.31,"826,491,298,000",,제 16 기,2014.01.01 ~ 2014.12.31,"711,899,571,000",,제 15 기,2013.01.01 ~ 2013.12.31,"590,397,547,000",26
20160330003610,2015,035420,11011,법인세차감전 순이익,OFS,재무제표,IS,손익계산서,제 17 기,2015.01.01 ~ 2015.12.31,"848,500,733,000",,제 16 기,2014.01.01 ~ 2014.12.31,"607,019,475,000",,제 15 기,2013.01.01 ~ 2013.12.31,"542,726,132,000",28
