접수번호,사업연도,종목코드,보고서코드,계정명,개별연결구분,개별연결명,재무제표구분,재무제표명,당기명,당기일자,당기금액,당기누적금액,전기명,전기일자,전기금액,전기누적금액,전전기명,전전기일자,전전기금액,계정과목정렬순서
20160516001867,2015,000660,11011,유동자산,CFS,연결재무제표,BS,재무상태표,제 68 기,2015.12.31 현재,"9,760,030,000,000",,제 67 기,2014.12.31 현재,"10,363,514,000,000",,제 66 기,2013.12.31 현재,"6,653,124,000,000",1
20160516001867,2015,000660,11011,비유동자산,CFS,연결재무제표,BS,재무상태표,제 68 기,2015.12.31 현재,"19,917,876,000,000",,제 67 기,2014.12.31 현재,"16,519,764,000,000",,제 66 기,2013.12.31 현재,"14,144,174,000,000",3
20160516001867,2015,000660,11011,자산총계,CFS,연결재무제표,BS,재무상태표,제 68 기,2015.12.31 현재,"29,677,906,000,000",,제 67 기,2014.12.31 현재,"26,883,278,000,000",,제 66 기,2013.12.31 현재,"20,797,298,000,000",5
20160516001867,2015,000660,11011,유동부채,CFS,연결재무제표,BS,재무상태표,제 68 기,2015.12.31 현재,"4,840,698,000,000",,제 67 기,2014.12.31 현재,"5,765,304,000,000",,제 66 기,2013.12.31 현재,"3,078,239,000,000",7
20160516001867,2015,000660,11011,비유동부채,CFS,연결재무제표,BS,재무상태표,제 68 기,2015.12.31 현재,"3,449,505,000,000",,제 67 기,2014.12.31 현재,"3,081,671,000,000",,제 66 기,2013.12.31 현재,"4,652,200,000,000",9
20160516001867,2015,000660,11011,부채총계,CFS,연결재무제표,BS,재무상태표,제 68 기,2015.12.31 현재,"8,290,203,000,000",,제 67 기,2014.12.31 현재,"8,846,975,000,000",,제 66 기,2013.12.31 현재,"7,730,439,000,000",11
20160516001867,2015,000660,11011,이익잉여금,CFS,연결재무제표,BS,재무상태표,제 68 기,2015.12.31 현재,"14,358,988,000,000",,제 67 기,2014.12.31 현재,"10,276,904,000,000",,제 66 기,2013.12.31 현재,"6,201,322,000,000",17
20160516001867,2015,000660,11011,자본총계,CFS,연결재무제표,BS,재무상태표,제 68 기,2015.12.31 현재,"21,387,703,000,000",,제 67 기,2014.12.31 현재,"18,036,303,000,000",,제 66 기,2013.12.31 현재,"13,066,859,000,000",21
20160516001867,2015,000660,11011,매출액,CFS,연결재무제표,IS,손익계산서,제 68 기,2015.01.01 ~ 2015.12.31,"18,797,998,000,000",,제 67 기,2014.01.01 ~ 2014.12.31,"17,125,566,000,000",,제 66 기,2013.01.01 ~ 2013.12.31,"14,165,102,000,000",23
20160516001867,2015,000660,11011,영업이익,CFS,연결재무제표,IS,손익계산서,제 68 기,2015.01.01 ~ 2015.12.31,"5,336,100,000,000",,제 67 기,2014.01.01 ~ 2014.12.31,"5,109,466,000,000",,제 66 기,2013.01.01 ~ 2013.12.31,"3,379,785,000,000",25
20160516001867,2015,000660,11011,법인세차감전 순이익,CFS,연결재무제표,IS,손익계산서,제 68 기,2015.01.01 ~ 2015.12.31,"5,269,121,000,000",,제 67 기,2014.01.01 ~ 2014.12.31,"5,047,670,000,000",,제 66 기,2013.01.01 ~ 2013.12.31,"3,074,925,000,000",27
20160516001867,2015,000660,11011,당기순이익,CFS,연결재무제표,IS,손익계산서,제 68 기,2015.01.01 ~ 2015.12.31,"4,323,595,000,000",,제 67 기,2014.01.01 ~ 2014.12.31,"4,195,169,000,000",,제 66 기,2013.01.01 ~ 2013.12.31,"2,872,857,000,000",29
20160516001867,2015,000660,11011,유동자산,OFS,재무제표,BS,재무상태표,제 68 기,2015.12.31 현재,"8,421,984,000,000",,제 67 기,2014.12.31 현재,"8,641,074,000,000",,제 66 기,2013.12.31 현재,"5,798,909,000,000",2
20160516001867,2015,000660,11011,비유동자산,OFS,재무제표,BS,재무상태표,제 68 기,2015.12.31 현재,"20,320,214,000,000",,제 67 기,2014.12.31 현재,"16,707,826,000,000",,제 66 기,2013.12.31 현재,"14,097,350,000,000",4
20160516001867,2015,000660,11011,자산총계,OFS,재무제표,BS,재무상태표,제 68 기,2015.12.31 현재,"28,742,198,000,000",,제 67 기,2014.12.31 현재,"25,348,900,000,000",,제 66 기,2013.12.31 현재,"19,896,259,000,000",6
20160516001867,2015,000660,11011,유동부채,OFS,재무제표,BS,재무상태표,제 68 기,2015.12.31 현재,"4,750,892,000,000",,제 67 기,2014.12.31 현재,"4,812,528,000,000",,제 66 기,2013.12.31 현재,"2,476,997,000,000",8
20160516001867,2015,000660,11011,비유동부채,OFS,재무제표,BS,재무상태표,제 68 기,2015.12.31 현재,"3,308,841,000,000",,제 67 기,2014.12.31 현재,"2,861,708,000,000",,제 66 기,2013.12.31 현재,"4,216,651,000,000",10
20160516001867,2015,000660,11011,부채총계,OFS,재무제표,BS,재무상태표,제 68 기,2015.12.31 현재,"8,059,733,000,000",,제 67 기,2014.12.31 현재,"7,674,236,000,000",,제 66 기,2013.12.31 현재,"6,693,648,000,000",12
20160516001867,2015,000660,11011,이익잉여금,OFS,재무제표,BS,재무상태표,제 68 기,2015.12.31 현재,"13,614,710,000,000",,제 67 기,2014.12.31 현재,"9,835,020,000,000",,제 66 기,2013.12.31 현재,"6,181,779,000,000",19
20160516001867,2015,000660,11011,자본총계,OFS,재무제표,BS,재무상태표,제 68 기,2015.12.31 현재,"20,682,465,000,000",,제 67 기,2014.12.31 현재,"17,674,664,000,000",,제 66 기,2013.12.31 현재,"13,202,611,000,000",22
20160516001867,2015,000660,11011,매출액,OFS,재무제표,IS,손익계산서,제 68 기,2015.01.01 ~ 2015.12.31,"18,780,792,000,000",,제 67 기,2014.01.01 ~ 2014.12.31,"16,893,716,000,000",,제 66 기,2013.01.01 ~ 2013.12.31,"13,896,309,000,000",24
20160516001867,2015,000660,11011,영업이익,OFS,재무제표,IS,손익계산서,제 68 기,2015.01.01 ~ 2015.12.31,"5,076,507,000,000",,제 67 기,2014.01.01 ~ 2014.12.31,"5,047,353,000,000",,제 66 기,2013.01.01 ~ 2013.12.31,"3,215,116,000,000",26
20160516001867,2015,000660,11011,법인세차감전 순이익,OFS,재무제표,IS,손익계산서,제 68 기,2015.01.01 ~ 2015.12.31,"5,002,479,000,000",,제 67 기,2014.01.01 ~ 2014.12.31,"4,541,112,000,000",,제 66 기,2013.01.01 ~ 2013.12.31,"2,994,942,000,000",28
20160516001867,2015,000660,11011,당기순이익,OFS,재무제표,IS,손익계산서,제 68 기,2015.01.01 ~ 2015.12.31,"4,019,080,000,000",,제 67 기,2014.01.01 ~ 2014.12.31,"3,771,761,000,000",,제 66 기,2013.01.01 ~ 2013.12.31,"2,796,967,000,000",30
20160516001896,2016,000660,11013,유동자산,CFS,연결재무제표,BS,재무상태표,제 69 기1분기말,2016.03.31 현재,"9,163,101,000,000",,제 68 기말,2015.12.31 현재,"9,760,030,000,000",,,,,1
20160516001896,2016,000660,11013,비유동자산,CFS,연결재무제표,BS,재무상태표,제 69 기1분기말,2016.03.31 현재,"20,634,554,000,000",,제 68 기말,2015.12.31 현재,"19,917,876,000,000",,,,,3
20160516001896,2016,000660,11013,자산총계,CFS,연결재무제표,BS,재무상태표,제 69 기1분기말,2016.03.31 현재,"29,797,655,000,000",,제 68 기말,2015.12.31 현재,"29,677,906,000,000",,,,,5
20160516001896,2016,000660,11013,유동부채,CFS,연결재무제표,BS,재무상태표,제 69 기1분기말,2016.03.31 현재,"4,251,605,000,000",,제 68 기말,2015.12.31 현재,"4,840,698,000,000",,,,,7
20160516001896,2016,000660,11013,비유동부채,CFS,연결재무제표,BS,재무상태표,제 69 기1분기말,2016.03.31 현재,"4,081,361,000,000",,제 68 기말,2015.12.31 현재,"3,449,505,000,000",,,,,9
20160516001896,2016,000660,11013,부채총계,CFS,연결재무제표,BS,재무상태표,제 69 기1분기말,2016.03.31 현재,"8,332,966,000,000",,제 68 기말,2015.12.31 현재,"8,290,203,000,000",,,,,11
20160516001896,2016,000660,11013,이익잉여금,CFS,연결재무제표,BS,재무상태표,제 69 기1분기말,2016.03.31 현재,"14,448,057,000,000",,제 68 기말,2015.12.31 현재,"14,358,988,000,000",,,,,17
20160516001896,2016,000660,11013,자본총계,CFS,연결재무제표,BS,재무상태표,제 69 기1분기말,2016.03.31 현재,"21,464,689,000,000",,제 68 기말,2015.12.31 현재,"21,387,703,000,000",,,,,21
20160516001896,2016,000660,11013,매출액,CFS,연결재무제표,IS,손익계산서,제 69 기1분기,2016.01.01 ~ 2016.03.31,"3,655,717,000,000","3,655,717,000,000",제 68 기1분기,2015.01.01 ~ 2015.03.31,"4,818,341,000,000","4,818,341,000,000",,,,23
20160516001896,2016,000660,11013,영업이익,CFS,연결재무제표,IS,손익계산서,제 69 기1분기,2016.01.01 ~ 2016.03.31,"561,798,000,000","561,798,000,000",제 68 기1분기,2015.01.01 ~ 2015.03.31,"1,588,530,000,000","1,588,530,000,000",,,,25
