접수번호,사업연도,종목코드,보고서코드,계정명,개별연결구분,개별연결명,재무제표구분,재무제표명,당기명,당기일자,당기금액,당기누적금액,전기명,전기일자,전기금액,전기누적금액,전전기명,전전기일자,전전기금액,계정과목정렬순서
20160516003079,2015,003490,11011,유동자산,CFS,연결재무제표,BS,재무상태표,제 54 기,2015.12.31 현재,"3,289,127,053,478",,제 53 기,2014.12.31 현재,"4,948,040,062,635",,제 52 기,2013.12.31 현재,"3,139,832,415,853",1
20160516003079,2015,003490,11011,비유동자산,CFS,연결재무제표,BS,재무상태표,제 54 기,2015.12.31 현재,"20,891,224,059,237",,제 53 기,2014.12.31 현재,"18,517,684,313,621",,제 52 기,2013.12.31 현재,"19,780,605,592,257",3
20160516003079,2015,003490,11011,자산총계,CFS,연결재무제표,BS,재무상태표,제 54 기,2015.12.31 현재,"24,180,351,112,715",,제 53 기,2014.12.31 현재,"23,465,724,376,256",,제 52 기,2013.12.31 현재,"22,920,438,008,110",5
20160516003079,2015,003490,11011,유동부채,CFS,연결재무제표,BS,재무상태표,제 54 기,2015.12.31 현재,"8,450,381,325,032",,제 53 기,2014.12.31 현재,"7,441,886,203,515",,제 52 기,2013.12.31 현재,"7,758,835,172,715",7
20160516003079,2015,003490,11011,비유동부채,CFS,연결재무제표,BS,재무상태표,제 54 기,2015.12.31 현재,"13,230,934,646,401",,제 53 기,2014.12.31 현재,"13,822,679,542,801",,제 52 기,2013.12.31 현재,"12,421,389,751,500",9
20160516003079,2015,003490,11011,부채총계,CFS,연결재무제표,BS,재무상태표,제 54 기,2015.12.31 현재,"21,681,315,971,433",,제 53 기,2014.12.31 현재,"21,264,565,746,316",,제 52 기,2013.12.31 현재,"20,180,224,924,215",11
20160516003079,2015,003490,11011,자본금,CFS,연결재무제표,BS,재무상태표,제 54 기,2015.12.31 현재,"369,752,690,000",,제 53 기,2014.12.31 현재,"298,931,160,000",,제 52 기,2013.12.31 현재,"298,931,160,000",13
20160516003079,2015,003490,11011,이익잉여금,CFS,연결재무제표,BS,재무상태표,제 54 기,2015.12.31 현재,"794,264,809,331",,제 53 기,2014.12.31 현재,"1,389,467,552,177",,제 52 기,2013.12.31 현재,"1,967,196,661,024",17
20160516003079,2015,003490,11011,자본총계,CFS,연결재무제표,BS,재무상태표,제 54 기,2015.12.31 현재,"2,499,035,141,282",,제 53 기,2014.12.31 현재,"2,201,158,629,940",,제 52 기,2013.12.31 현재,"2,740,213,083,895",21
20160516003079,2015,003490,11011,매출액,CFS,연결재무제표,IS,손익계산서,제 54 기,2015.01.01 ~ 2015.12.31,"11,544,831,301,113",,제 53 기,2014.01.01 ~ 2014.12.31,"11,909,748,647,633",,제 52 기,2013.01.01 ~ 2013.12.31,"11,848,707,841,058",23
20160516003079,2015,003490,11011,영업이익,CFS,연결재무제표,IS,손익계산서,제 54 기,2015.01.01 ~ 2015.12.31,"883,088,280,640",,제 53 기,2014.01.01 ~ 2014.12.31,"395,335,341,945",,제 52 기,2013.01.01 ~ 2013.12.31,"-19,562,089,055",25
20160516003079,2015,003490,11011,법인세차감전 순이익,CFS,연결재무제표,IS,손익계산서,제 54 기,2015.01.01 ~ 2015.12.31,"-486,363,128,682",,제 53 기,2014.01.01 ~ 2014.12.31,"-441,694,105,503",,제 52 기,2013.01.01 ~ 2013.12.31,"-470,105,601,132",27
20160516003079,2015,003490,11011,당기순이익,CFS,연결재무제표,IS,손익계산서,제 54 기,2015.01.01 ~ 2015.12.31,"-562,967,287,220",,제 53 기,2014.01.01 ~ 2014.12.31,"-612,921,454,979",,제 52 기,2013.01.01 ~ 2013.12.31,"-383,555,365,584",29
20160516003079,2015,003490,11011,유동자산,OFS,재무제표,BS,재무상태표,제 54 기,2015.12.31 현재,"2,873,562,672,777",,제 53 기,2014.12.31 현재,"2,392,891,900,448",,제 52 기,2013.12.31 현재,"2,925,306,869,481",2
20160516003079,2015,003490,11011,비유동자산,OFS,재무제표,BS,재무상태표,제 54 기,2015.12.31 현재,"20,175,377,272,504",,제 53 기,2014.12.31 현재,"19,027,555,068,723",,제 52 기,2013.12.31 현재,"18,038,947,358,801",4
20160516003079,2015,003490,11011,자산총계,OFS,재무제표,BS,재무상태표,제 54 기,2015.12.31 현재,"23,048,939,945,281",,제 53 기,2014.12.31 현재,"21,420,446,969,171",,제 52 기,2013.12.31 현재,"20,964,254,228,282",6
20160516003079,2015,003490,11011,유동부채,OFS,재무제표,BS,재무상태표,제 54 기,2015.12.31 현재,"8,428,114,074,534",,제 53 기,2014.12.31 현재,"6,350,692,460,258",,제 52 기,2013.12.31 현재,"6,688,805,989,480",8
