접수번호,사업연도,종목코드,보고서코드,계정명,개별연결구분,개별연결명,재무제표구분,재무제표명,당기명,당기일자,당기금액,당기누적금액,전기명,전기일자,전기금액,전기누적금액,전전기명,전전기일자,전전기금액,계정과목정렬순서
20160330003536,2015,005930,11011,유동자산,CFS,연결재무제표,BS,재무상태표,제 47 기,2015.12.31 현재,"124,814,725,000,000",,제 46 기,2014.12.31 현재,"115,146,026,000,000",,제 45 기,2013.12.31 현재,"110,760,271,000,000",1
20160330003536,2015,005930,11011,비유동자산,CFS,연결재무제표,BS,재무상태표,제 47 기,2015.12.31 현재,"117,364,796,000,000",,제 46 기,2014.12.31 현재,"115,276,932,000,000",,제 45 기,2013.12.31 현재,"103,314,747,000,000",3
20160330003536,2015,005930,11011,자산총계,CFS,연결재무제표,BS,재무상태표,제 47 기,2015.12.31 현재,"242,179,521,000,000",,제 46 기,2014.12.31 현재,"230,422,958,000,000",,제 45 기,2013.12.31 현재,"214,075,018,000,000",5
20160330003536,2015,005930,11011,유동부채,CFS,연결재무제표,BS,재무상태표,제 47 기,2015.12.31 현재,"50,502,909,000,000",,제 46 기,2014.12.31 현재,"52,013,913,000,000",,제 45 기,2013.12.31 현재,"51,315,409,000,000",7
20160330003536,2015,005930,11011,비유동부채,CFS,연결재무제표,BS,재무상태표,제 47 기,2015.12.31 현재,"12,616,807,000,000",,제 46 기,2014.12.31 현재,"10,320,857,000,000",,제 45 기,2013.12.31 현재,"12,743,599,000,000",9
20160330003536,2015,005930,11011,부채총계,CFS,연결재무제표,BS,재무상태표,제 47 기,2015.12.31 현재,"63,119,716,000,000",,제 46 기,2014.12.31 현재,"62,334,770,000,000",,제 45 기,2013.12.31 현재,"64,059,008,000,000",11
20160330003536,2015,005930,11011,이익잉여금,CFS,연결재무제표,BS,재무상태표,제 47 기,2015.12.31 현재,"185,132,014,000,000",,제 46 기,2014.12.31 현재,"169,529,604,000,000",,제 45 기,2013.12.31 현재,"148,600,282,000,000",17
20160330003536,2015,005930,11011,자본총계,CFS,연결재무제표,BS,재무상태표,제 47 기,2015.12.31 현재,"179,059,805,000,000",,제 46 기,2014.12.31 현재,"168,088,188,000,000",,제 45 기,2013.12.31 현재,"150,016,010,000,000",21
20160330003536,2015,005930,11011,매출액,CFS,연결재무제표,IS,손익계산서,제 47 기,2015.01.01 ~ 2015.12.31,"200,653,482,000,000",,제 46 기,2014.01.01 ~ 2014.12.31,"206,205,987,000,000",,제 45 기,2013.01.01 ~ 2013.12.31,"228,692,667,000,000",23
20160330003536,2015,005930,11011,영업이익,CFS,연결재무제표,IS,손익계산서,제 47 기,2015.01.01 ~ 2015.12.31,"26,413,442,000,000",,제 46 기,2014.01.01 ~ 2014.12.31,"25,025,071,000,000",,제 45 기,2013.01.01 ~ 2013.12.31,"36,785,013,000,000",25
20160330003536,2015,005930,11011,법인세차감전 순이익,CFS,연결재무제표,IS,손익계산서,제 47 기,2015.01.01 ~ 2015.12.31,"25,960,995,000,000",,제 46 기,2014.01.01 ~ 2014.12.31,"27,875,034,000,000",,제 45 기,2013.01.01 ~ 2013.12.31,"38,364,279,000,000",27
20160330003536,2015,005930,11011,당기순이익,CFS,연결재무제표,IS,손익계산서,제 47 기,2015.01.01 ~ 2015.12.31,"19,060,144,000,000",,제 46 기,2014.01.01 ~ 2014.12.31,"23,394,358,000,000",,제 45 기,2013.01.01 ~ 2013.12.31,"30,474,764,000,000",29
20160330003536,2015,005930,11011,유동자산,OFS,재무제표,BS,재무상태표,제 47 기,2015.12.31 현재,"67,002,055,000,000",,제 46 기,2014.12.31 현재,"62,054,773,000,000",,제 45 기,2013.12.31 현재,"60,603,694,000,000",2
20160330003536,2015,005930,11011,비유동자산,OFS,재무제표,BS,재무상태표,제 47 기,2015.12.31 현재,"101,967,575,000,000",,제 46 기,2014.12.31 현재,"102,005,810,000,000",,제 45 기,2013.12.31 현재,"94,222,263,000,000",4
