접수번호,사업연도,종목코드,보고서코드,계정명,개별연결구분,개별연결명,재무제표구분,재무제표명,당기명,당기일자,당기금액,당기누적금액,전기명,전기일자,전기금액,전기누적금액,전전기명,전전기일자,전전기금액,계정과목정렬순서
20160330003624,2015,010140,11011,유동자산,CFS,연결재무제표,BS,재무상태표,제 42 기,2015.12.31 현재,"10,110,480,734,368",,제 41 기,2014.12.31 현재,"10,581,203,886,408",,제 40 기,2013.12.31 현재,"10,716,937,140,906",1
20160330003624,2015,010140,11011,비유동자산,CFS,연결재무제표,BS,재무상태표,제 42 기,2015.12.31 현재,"7,191,111,253,098",,제 41 기,2014.12.31 현재,"6,541,030,196,178",,제 40 기,2013.12.31 현재,"6,710,209,384,327",3
20160330003624,2015,010140,11011,자산총계,CFS,연결재무제표,BS,재무상태표,제 42 기,2015.12.31 현재,"17,301,591,987,466",,제 41 기,2014.12.31 현재,"17,122,234,082,586",,제 40 기,2013.12.31 현재,"17,427,146,525,233",5
20160330003624,2015,010140,11011,유동부채,CFS,연결재무제표,BS,재무상태표,제 42 기,2015.12.31 현재,"9,570,119,230,078",,제 41 기,2014.12.31 현재,"10,008,363,701,451",,제 40 기,2013.12.31 현재,"9,443,674,996,355",7
20160330003624,2015,010140,11011,비유동부채,CFS,연결재무제표,BS,재무상태표,제 42 기,2015.12.31 현재,"3,465,726,998,103",,제 41 기,2014.12.31 현재,"1,540,709,085,368",,제 40 기,2013.12.31 현재,"2,137,675,723,883",9
20160330003624,2015,010140,11011,부채총계,CFS,연결재무제표,BS,재무상태표,제 42 기,2015.12.31 현재,"13,035,846,228,181",,제 41 기,2014.12.31 현재,"11,549,072,786,819",,제 40 기,2013.12.31 현재,"11,581,350,720,238",11
20160330003624,2015,010140,11011,자본금,CFS,연결재무제표,BS,재무상태표,제 42 기,2015.12.31 현재,"1,154,951,155,000",,제 41 기,2014.12.31 현재,"1,154,951,155,000",,제 40 기,2013.12.31 현재,"1,154,951,155,000",13
20160330003624,2015,010140,11011,자본총계,CFS,연결재무제표,BS,재무상태표,제 42 기,2015.12.31 현재,"4,265,745,759,285",,제 41 기,2014.12.31 현재,"5,573,161,295,767",,제 40 기,2013.12.31 현재,"5,845,795,804,995",21
20160330003624,2015,010140,11011,매출액,CFS,연결재무제표,IS,손익계산서,제 42 기,2015.01.01 ~ 2015.12.31,"9,714,441,843,944",,제 41 기,2014.01.01 ~ 2014.12.31,"12,879,061,898,890",,제 40 기,2013.01.01 ~ 2013.12.31,"14,834,500,941,591",23
20160330003624,2015,010140,11011,영업이익,CFS,연결재무제표,IS,손익계산서,제 42 기,2015.01.01 ~ 2015.12.31,"-1,501,905,498,704",,제 41 기,2014.01.01 ~ 2014.12.31,"183,019,978,883",,제 40 기,2013.01.01 ~ 2013.12.31,"914,214,285,258",25
