접수번호,계정명,당기명,당기일자,당기금액,전기명,전기일자,전기금액
20160516003065,유동자산,제 49 기1분기말,2016.03.31 현재,"67,485,844,000,000",제 48 기말,2015.12.31 현재,"67,529,210,000,000"
20160516003065,비유동자산,제 49 기1분기말,2016.03.31 현재,"97,641,513,000,000",제 48 기말,2015.12.31 현재,"97,838,736,000,000"
20160516003065,자산총계,제 49 기1분기말,2016.03.31 현재,"165,127,357,000,000",제 48 기말,2015.12.31 현재,"165,367,946,000,000"
20160516003065,유동부채,제 49 기1분기말,2016.03.31 현재,"40,703,307,000,000",제 48 기말,2015.12.31 현재,"41,213,520,000,000"
20160516003065,비유동부채,제 49 기1분기말,2016.03.31 현재,"56,922,898,000,000",제 48 기말,2015.12.31 현재,"57,273,025,000,000"
20160516003065,부채총계,제 49 기1분기말,2016.03.31 현재,"97,626,205,000,000",제 48 기말,2015.12.31 현재,"98,486,545,000,000"
20160516003065,자본총계,제 49 기1분기말,2016.03.31 현재,"67,501,152,000,000",제 48 기말,2015.12.31 현재,"66,881,401,000,000"
20160516003065,매출액,제 49 기1분기,2016.01.01 ~ 2016.03.31,"22,350,624,000,000",제 48 기1분기,2015.01.01 ~ 2015.03.31,"20,942,756,000,000"
20160516003065,영업이익,제 49 기1분기,2016.01.01 ~ 2016.03.31,"1,342,391,000,000",제 48 기1분기,2015.01.01 ~ 2015.03.31,"1,588,028,000,000"
20160516003065,법인세차감전 순이익,제 49 기1분기,2016.01.01 ~ 2016.03.31,"2,163,431,000,000",제 48 기1분기,2015.01.01 ~ 2015.03.31,"2,321,003,000,000"
20160516003065,당기순이익,제 49 기1분기,2016.01.01 ~ 2016.03.31,"1,768,131,000,000",제 48 기1분기,2015.01.01 ~ 2015.03.31,"1,983,285,000,000"
20160516003065,유동자산,제 49 기1분기말,2016.03.31 현재,"22,614,012,000,000",제 48 기말,2015.12.31 현재,"22,098,375,000,000"
20160516003065,비유동자산,제 49 기1분기말,2016.03.31 현재,"44,836,108,000,000",제 48 기말,2015.12.31 현재,"44,879,849,000,000"
