접수일자,보고자,보유비율 증감
2019-05-23,김범수,-3.31
2019-06-11,김범수,0.00
2019-07-03,국민연금공단,1.02
2019-08-16,김범수,-0.11
2019-09-18,김범수,-0.06
2019-11-01,김범수,-0.04
2019-11-08,김범수,-0.74
2019-11-19,김범수,-0.01
2020-01-06,국민연금공단,1.01
2020-01-30,김범수,-1.83
2020-02-07,국민연금공단,0.36
2020-02-24,김범수,-0.09
2020-05-12,김범수,-0.11
2020-08-19,김범수,-0.31
2020-10-06,국민연금공단,-1.04
2020-10-12,김범수,-0.07
2020-10-26,김범수,-0.09
2020-11-10,김범수,-0.01
2021-01-19,김범수,-0.14
2021-02-19,BlackRockFundAdvisors,0.22
2021-04-16,김범수,-1.10
2021-05-12,김범수,-0.03
