접수일자,보고자,보유비율 증감
2019-07-03,국민연금공단,1.03
2019-07-09,"TheCapitalGroupCompanies,Inc.",0.59
2019-10-04,국민연금공단,1.00
2019-10-10,"TheCapitalGroupCompanies,Inc.",0.09
2020-01-15,"TheCapitalGroupCompanies,Inc.",-2.56
2020-02-05,"TheCapitalGroupCompanies,Inc.",5.01
2020-02-07,국민연금공단,0.41
2020-03-09,"TheCapitalGroupCompanies,Inc.",0.23
2020-03-26,현대모비스,0.27
2020-04-09,"TheCapitalGroupCompanies,Inc.",-1.08
2020-06-02,국민연금공단,1.01
2020-10-30,현대모비스,-0.00
2020-12-18,현대모비스,-0.00
2021-01-05,국민연금공단,-1.00
2021-02-02,국민연금공단,-1.04
2021-02-05,국민연금공단,-0.14
2021-03-31,현대모비스,0.00
